Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-97.96;1.34;-63.02;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-97.96;1.34;-63.02;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-93.38;-1.30;-62.54;0.09;-251.48;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-93.38;-1.30;-62.54;0.09;-251.48;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-71.40;-0.03;79.01;0.00;-251.72;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-70.97;-0.02;77.22;0.00;-122.79;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-67.15;0.00;34.00;0.00;64.17;0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-67.01;0.00;31.99;0.00;116.15;0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-63.40;-0.01;5.90;0.00;149.90;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-63.42;-0.01;5.71;0.00;150.78;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-66.92;0.01;-34.76;0.00;64.46;0.02;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-66.93;0.01;-34.86;0.00;61.85;0.02;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-97.57;1.33;63.01;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-97.57;1.33;63.01;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-92.99;-1.30;62.54;-0.09;251.47;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-92.99;-1.30;62.54;-0.09;251.47;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-99.72;1.36;-63.10;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-99.72;1.36;-63.10;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-95.13;-1.33;-62.61;0.09;-251.79;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-95.13;-1.33;-62.61;0.09;-251.79;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-71.16;-0.02;79.08;0.00;-252.03;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-70.73;-0.01;77.28;0.00;-122.99;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-66.51;0.00;34.07;0.00;64.19;0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-66.38;0.00;32.06;0.00;116.28;0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-62.78;0.00;5.83;0.00;150.27;-0.01;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-62.80;0.00;5.64;0.00;151.13;-0.01;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-66.69;0.01;-34.83;0.00;64.48;0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-66.70;0.01;-34.92;0.00;61.87;0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-99.32;1.36;63.10;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-99.32;1.36;63.10;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-94.74;-1.32;62.61;-0.09;251.79;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-94.74;-1.32;62.61;-0.09;251.79;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-96.30;1.32;-62.15;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-96.30;1.32;-62.15;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;26;4.000;;-91.71;-1.28;-61.69;0.09;-248.05;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;22;26;4.000;;-91.71;-1.28;-61.69;0.09;-248.05;-0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;23;26;0.000;;-69.83;-0.03;78.10;0.00;-248.29;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;23;55;1.650;;-69.40;-0.02;76.30;0.00;-120.87;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;24;27;0.000;;-65.35;0.00;33.77;0.00;62.97;0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;24;59;1.575;;-65.21;0.00;31.76;0.00;114.59;0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;25;28;0.000;;-61.61;0.00;6.12;0.00;147.56;-0.01;Beam | 1 - IPE 500 | L : 0.150 m
1;25;76;0.150;;-61.62;0.00;5.93;0.00;148.46;-0.01;Beam | 1 - IPE 500 | L : 0.150 m
1;26;29;0.000;;-65.36;0.01;-33.84;0.00;63.26;0.02;Beam | 1 - IPE 500 | L : 0.075 m
1;26;72;0.075;;-65.36;0.01;-33.94;0.00;60.72;0.02;Beam | 1 - IPE 500 | L : 0.075 m
1;27;31;0.000;;-95.91;1.31;62.15;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
