Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;1.1;11.2;-0.3;
8;4;;0.0;0.0;0.0;0.0;0.0;6.8;0.4;
9;5;;0.0;0.0;0.0;0.0;-1.1;11.0;0.6;
40;41;;0.0;0.0;0.0;0.0;0.9;9.5;-0.2;
41;42;;0.0;0.0;0.0;0.0;0.0;4.9;0.4;
42;43;;0.0;0.0;0.0;0.0;-0.9;9.3;0.5;
90;55;;0.0;0.0;0.0;0.0;0.0;-0.3;-12.1;
90;49;;0.0;0.0;0.0;0.0;0.0;-8.4;-12.9;
92;26;;0.0;0.0;0.0;0.0;0.0;-1.9;-7.0;
92;33;;0.0;0.0;0.0;0.0;0.0;-2.7;-6.2;
93;57;;0.0;0.0;0.0;0.0;0.0;2.4;-11.4;
93;50;;0.0;0.0;0.0;0.0;0.0;-11.1;-13.6;
95;58;;0.0;0.0;0.0;0.0;0.0;4.5;-10.8;
95;51;;0.0;0.0;0.0;0.0;0.0;-13.2;-14.2;
97;59;;0.0;0.0;0.0;0.0;0.0;3.5;-10.9;
97;54;;0.0;0.0;0.0;0.0;0.0;-12.1;-14.0;
99;60;;0.0;0.0;0.0;0.0;0.0;2.1;-11.3;
99;53;;0.0;0.0;0.0;0.0;0.0;-10.7;-13.6;
101;83;;0.0;0.0;0.0;0.0;0.0;-0.2;-12.1;
101;55;;0.0;0.0;0.0;0.0;0.0;-8.6;-13.0;
102;64;;0.0;0.0;0.0;0.0;0.0;-8.4;-12.9;
102;69;;0.0;0.0;0.0;0.0;0.0;-0.4;-12.1;
103;37;;0.0;0.0;0.0;0.0;0.0;-2.7;-6.2;
103;30;;0.0;0.0;0.0;0.0;0.0;-2.0;-7.0;
104;65;;0.0;0.0;0.0;0.0;0.0;-11.0;-13.6;
104;71;;0.0;0.0;0.0;0.0;0.0;2.3;-11.4;
105;66;;0.0;0.0;0.0;0.0;0.0;-13.0;-14.1;
105;72;;0.0;0.0;0.0;0.0;0.0;4.3;-10.8;
106;68;;0.0;0.0;0.0;0.0;0.0;-12.0;-14.0;
106;73;;0.0;0.0;0.0;0.0;0.0;3.4;-11.0;
107;67;;0.0;0.0;0.0;0.0;0.0;-10.6;-13.6;
107;74;;0.0;0.0;0.0;0.0;0.0;2.0;-11.3;
108;19;;0.0;0.0;0.0;0.0;0.0;-1.9;-7.0;
108;26;;0.0;0.0;0.0;0.0;0.0;-2.7;-6.2;
119;63;;0.0;0.0;0.0;0.0;0.0;2.1;-7.1;
119;52;;0.0;0.0;0.0;0.0;0.0;-7.3;-8.2;
121;62;;0.0;0.0;0.0;0.0;0.0;-7.3;-8.2;
121;76;;0.0;0.0;0.0;0.0;0.0;2.1;-7.1;
124;84;;0.0;0.0;0.0;0.0;0.0;2.7;-11.4;
124;57;;0.0;0.0;0.0;0.0;0.0;-11.4;-13.7;
125;85;;0.0;0.0;0.0;0.0;0.0;4.9;-10.9;
125;58;;0.0;0.0;0.0;0.0;0.0;-13.6;-14.5;
126;86;;0.0;0.0;0.0;0.0;0.0;4.1;-10.8;
126;59;;0.0;0.0;0.0;0.0;0.0;-12.7;-14.2;
127;87;;0.0;0.0;0.0;0.0;0.0;2.8;-11.2;
127;60;;0.0;0.0;0.0;0.0;0.0;-11.3;-13.8;
128;69;;0.0;0.0;0.0;0.0;0.0;-8.5;-13.0;
128;95;;0.0;0.0;0.0;0.0;0.0;-0.2;-12.2;
129;30;;0.0;0.0;0.0;0.0;0.0;-2.7;-6.2;
129;23;;0.0;0.0;0.0;0.0;0.0;-1.9;-7.0;
130;71;;0.0;0.0;0.0;0.0;0.0;-11.3;-13.6;
130;96;;0.0;0.0;0.0;0.0;0.0;2.5;-11.4;
131;72;;0.0;0.0;0.0;0.0;0.0;-13.4;-14.4;
131;97;;0.0;0.0;0.0;0.0;0.0;4.8;-11.0;
132;73;;0.0;0.0;0.0;0.0;0.0;-12.6;-14.1;
132;98;;0.0;0.0;0.0;0.0;0.0;4.0;-10.9;
133;74;;0.0;0.0;0.0;0.0;0.0;-11.3;-13.7;
133;99;;0.0;0.0;0.0;0.0;0.0;2.7;-11.2;
134;89;;0.0;0.0;0.0;0.0;0.0;2.8;-7.0;
134;63;;0.0;0.0;0.0;0.0;0.0;-8.0;-8.3;
