No.;;Imposed Displacement;;;Imposed Rotation;;;;
;Assigned to Supported Nodes No.;u_X' [mm];u_Y' [mm];u_Z' [mm];Φ_X' [rad];Φ_Y' [rad];Φ_Z' [rad];Options;Comment
