Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;-1.5;-15.4;-0.6;
8;4;;0.0;0.0;0.0;0.0;0.0;-8.7;0.0;
9;5;;0.0;0.0;0.0;0.0;1.4;-15.2;0.4;
40;41;;0.0;0.0;0.0;0.0;-1.6;-16.3;-0.7;
41;42;;0.0;0.0;0.0;0.0;-0.1;-9.1;0.0;
42;43;;0.0;0.0;0.0;0.0;1.5;-16.0;0.5;
90;55;;0.0;0.0;0.0;0.0;0.0;-12.3;-18.7;
90;49;;0.0;0.0;0.0;0.0;0.0;-0.5;-17.5;
92;26;;0.1;-0.1;0.0;0.0;0.0;-4.2;-8.8;
92;33;;0.0;0.0;0.0;0.0;0.0;-2.4;-9.9;
93;57;;0.0;0.0;0.0;0.0;0.0;-16.4;-19.6;
93;50;;0.0;0.0;0.0;0.0;0.0;3.5;-16.4;
95;58;;0.0;0.0;0.0;0.0;0.0;-19.6;-21.2;
95;51;;0.0;0.0;0.0;0.0;0.0;6.6;-16.3;
97;59;;0.0;0.0;0.0;0.0;0.0;-18.1;-20.2;
97;54;;0.0;0.0;0.0;0.0;0.0;4.9;-15.8;
99;60;;0.0;0.0;0.0;0.0;0.0;-15.9;-19.6;
99;53;;0.0;0.0;0.0;0.0;0.0;2.7;-16.3;
101;83;;0.0;0.0;0.0;0.0;0.0;-12.6;-18.6;
101;55;;0.0;0.0;0.0;0.0;0.0;-0.2;-17.4;
102;64;;0.0;0.0;0.0;0.0;0.0;-0.6;-17.5;
102;69;;0.0;0.0;0.0;0.0;0.0;-12.2;-18.7;
103;37;;0.0;0.0;0.0;0.0;0.0;-2.4;-9.9;
103;30;;0.1;-0.1;0.0;0.0;0.0;-4.2;-8.8;
104;65;;0.0;0.0;0.0;0.0;0.0;3.3;-16.4;
104;71;;0.0;0.0;0.0;0.0;0.0;-16.2;-19.5;
105;66;;0.0;0.0;0.0;0.0;0.0;6.4;-16.3;
105;72;;0.0;0.0;0.0;0.0;0.0;-19.3;-21.1;
106;68;;0.0;0.0;0.0;0.0;0.0;4.7;-15.8;
106;73;;0.0;0.0;0.0;0.0;0.0;-17.9;-20.2;
107;67;;0.0;0.0;0.0;0.0;0.0;2.5;-16.3;
107;74;;0.0;0.0;0.0;0.0;0.0;-15.8;-19.6;
108;19;;0.1;-0.1;0.0;0.0;0.0;-4.2;-8.8;
108;26;;0.0;0.0;0.0;0.0;0.0;-2.4;-9.9;
119;63;;0.0;0.0;0.0;0.0;0.0;-11.0;-11.9;
119;52;;0.0;0.0;0.0;0.0;0.0;2.7;-10.3;
121;62;;0.0;0.0;0.0;0.0;0.0;2.7;-10.3;
121;76;;0.0;0.0;0.0;0.0;0.0;-11.0;-11.9;
124;84;;0.0;0.0;0.0;0.0;0.0;-16.8;-19.6;
124;57;;0.0;0.0;0.0;0.0;0.0;3.9;-16.2;
125;85;;0.0;0.0;0.0;0.0;0.0;-20.2;-20.9;
125;58;;0.0;0.0;0.0;0.0;0.0;7.2;-15.7;
126;86;;0.0;0.0;0.0;0.0;0.0;-19.0;-20.4;
126;59;;0.0;0.0;0.0;0.0;0.0;5.8;-15.5;
127;87;;0.0;0.0;0.0;0.0;0.0;-17.0;-19.8;
127;60;;0.0;0.0;0.0;0.0;0.0;3.7;-16.1;
128;69;;0.0;0.0;0.0;0.0;0.0;-0.3;-17.4;
128;95;;0.0;0.0;0.0;0.0;0.0;-12.5;-18.6;
129;30;;0.0;0.0;0.0;0.0;0.0;-2.4;-9.9;
129;23;;0.1;-0.1;0.0;0.0;0.0;-4.2;-8.8;
130;71;;0.0;0.0;0.0;0.0;0.0;3.8;-16.2;
130;96;;0.0;0.0;0.0;0.0;0.0;-16.7;-19.5;
131;72;;0.0;0.0;0.0;0.0;0.0;6.9;-15.7;
131;97;;0.0;0.0;0.0;0.0;0.0;-20.0;-20.8;
132;73;;0.0;0.0;0.0;0.0;0.0;5.6;-15.5;
132;98;;0.0;0.0;0.0;0.0;0.0;-18.8;-20.3;
133;74;;0.0;0.0;0.0;0.0;0.0;3.6;-16.1;
133;99;;0.0;0.0;0.0;0.0;0.0;-16.9;-19.8;
134;89;;0.0;0.0;0.0;0.0;0.0;-12.1;-12.0;
134;63;;0.0;0.0;0.0;0.0;0.0;3.6;-10.1;
135;76;;0.0;0.0;0.0;0.0;0.0;3.6;-10.1;
135;100;;0.0;0.0;0.0;0.0;0.0;-12.1;-12.0;
148;111;;0.0;0.0;0.0;0.0;0.0;-13.1;-18.7;
148;83;;0.0;0.0;0.0;0.0;0.0;-0.1;-17.1;
149;12;;0.3;-0.3;0.0;0.0;0.0;-4.2;-8.9;
149;19;;0.0;0.0;0.0;0.0;0.0;-2.4;-9.8;
150;112;;0.0;0.0;0.0;0.0;0.0;-17.1;-19.6;
150;84;;0.0;0.0;0.0;0.0;0.0;3.9;-16.0;
151;113;;0.0;0.0;0.0;0.0;0.0;-20.2;-20.5;
151;85;;0.0;0.0;0.0;0.0;0.0;7.0;-15.1;
152;114;;0.0;0.0;0.0;0.0;0.0;-18.7;-20.3;
152;86;;0.0;0.0;0.0;0.0;0.0;5.5;-15.4;
153;115;;0.0;0.0;0.0;0.0;0.0;-16.4;-19.7;
153;87;;0.0;0.0;0.0;0.0;0.0;3.3;-16.0;
154;95;;0.0;0.0;0.0;0.0;0.0;-0.2;-17.1;
154;123;;0.0;0.0;0.0;0.0;0.0;-13.1;-18.7;
155;23;;0.0;0.0;0.0;0.0;0.0;-2.4;-9.8;
155;16;;0.3;-0.3;0.0;0.0;0.0;-4.2;-8.9;
156;96;;0.0;0.0;0.0;0.0;0.0;3.7;-16.0;
156;124;;0.0;0.0;0.0;0.0;0.0;-16.9;-19.6;
157;97;;0.0;0.0;0.0;0.0;0.0;6.7;-15.1;
157;125;;0.0;0.0;0.0;0.0;0.0;-19.9;-20.4;
158;98;;0.0;0.0;0.0;0.0;0.0;5.3;-15.4;
158;126;;0.0;0.0;0.0;0.0;0.0;-18.5;-20.3;
159;99;;0.0;0.0;0.0;0.0;0.0;3.2;-16.0;
159;127;;0.0;0.0;0.0;0.0;0.0;-16.3;-19.7;
160;117;;0.0;0.0;0.0;0.0;0.0;-11.2;-11.8;
160;89;;0.0;0.0;0.0;0.0;0.0;3.1;-10.1;
161;100;;0.0;0.0;0.0;0.0;0.0;3.1;-10.1;
161;128;;0.0;0.0;0.0;0.0;0.0;-11.2;-11.8;
174;139;;0.0;0.0;0.0;0.0;0.0;-5.0;-15.0;
174;111;;0.0;0.0;0.0;0.0;0.0;1.2;-17.2;
175;2;;0.5;-0.5;0.0;0.0;0.0;-3.3;-5.8;
175;12;;0.0;0.0;0.0;0.0;0.0;-2.3;-10.5;
176;140;;0.0;0.0;0.0;0.0;0.0;-10.8;-18.2;
176;112;;0.0;0.0;0.0;0.0;0.0;6.9;-15.6;
177;141;;0.0;0.0;0.0;0.0;0.0;-23.9;-20.6;
177;113;;0.0;0.0;0.0;0.0;0.0;12.5;-13.9;
178;142;;0.0;0.0;0.0;0.0;0.0;-21.0;-20.0;
178;114;;0.0;0.0;0.0;0.0;0.0;12.4;-14.4;
179;143;;0.0;0.0;0.0;0.0;0.0;-20.1;-20.5;
179;115;;0.0;0.0;0.0;0.0;0.0;11.3;-14.9;
180;123;;0.0;0.0;0.0;0.0;0.0;1.1;-17.2;
180;151;;0.0;0.0;0.0;0.0;0.0;-4.6;-15.0;
181;16;;0.0;0.0;0.0;0.0;0.0;-2.3;-10.5;
181;6;;0.4;-0.4;0.0;0.0;0.0;-3.2;-5.8;
182;124;;0.0;0.0;0.0;0.0;0.0;6.8;-15.6;
182;152;;0.0;0.0;0.0;0.0;0.0;-10.6;-18.2;
183;125;;0.0;0.0;0.0;0.0;0.0;12.3;-14.0;
