FE Node No.;Coordinates;;;
;X [m];Y [m];Z [m];
884;18.973867860662754;20;-4.102613213933725;
885;19.1790942885302;20;-4.08209057114698;
886;19.38432071639765;20;-4.061567928360235;
887;19.5895471442651;20;-4.04104528557349;
888;19.79477357213255;20;-4.020522642786746;
889;9.85074404160964;15.5;-4.985076744160964;
890;9.85074408321928;16;-4.985076488321928;
891;9.850744124828921;16.5;-4.985076232482894;
892;9.850744166438561;17;-4.985075976643858;
893;9.850744208048202;17.5;-4.98507572080482;
894;9.85074424965784;18;-4.985075464965784;
895;9.85074429126748;18.5;-4.985075209126748;
896;9.85074433287712;19;-4.985074953287714;
897;9.85074437448676;19.5;-4.985074697448678;
898;9.869401;15;-4.986942375;
899;9.888058;15;-4.98880775;
900;9.906715;15;-4.990673125000002;
901;9.925372;15;-4.9925385;
902;9.944029;15;-4.994403875;
903;9.962686;15;-4.99626925;
904;9.981343;15;-4.998134625;
905;10.14925562551324;19.5;-4.985074697448678;
906;10.14925566712288;19;-4.985074953287714;
907;10.14925570873252;18.5;-4.985075209126748;
908;10.14925575034216;18;-4.985075464965784;
909;10.149255791951798;17.5;-4.98507572080482;
910;10.149255833561439;17;-4.985075976643858;
911;10.149255875171079;16.5;-4.985076232482894;
912;10.14925591678072;16;-4.985076488321928;
913;10.14925595839036;15.5;-4.985076744160964;
914;10.354482375;15;-4.964554250000002;
915;10.559708749999999;15;-4.9440315;
916;10.764935125;15;-4.92350875;
917;10.9701615;15;-4.902986;
918;11.175387875;15;-4.882463250000002;
919;11.38061425;15;-4.8619405;
920;11.585840625;15;-4.84141775;
921;10.354481995711836;20;-4.964551800428818;
922;10.559708407520075;20;-4.944029159247994;
923;10.764934819328312;20;-4.92350651806717;
924;10.97016123113655;20;-4.902983876886346;
925;11.175387642944788;20;-4.882461235705522;
926;11.380614054753025;20;-4.861938594524698;
927;11.585840466561264;20;-4.841415953343874;
928;10.037314;0;-4.99626925;
929;3.283623;10.5;-4.328363000000001;
930;3.283623;11;-4.328363000000001;
931;3.283623;11.5;-4.328363000000001;
932;3.283623;12;-4.328363000000001;
933;3.283623;12.5;-4.328363000000001;
934;3.283623;13;-4.328363000000001;
935;3.283623;13.5;-4.328363000000001;
936;3.283623;14;-4.328363000000001;
937;3.283623;14.5;-4.328363000000001;
938;10.055971;0;-4.994403875;
939;4.925434;10.5;-4.492544;
940;4.925434;11;-4.492544;
941;4.925434;11.5;-4.492544;
942;4.925434;12;-4.492544;
943;4.925434;12.5;-4.492544;
944;4.925434;13;-4.492544;
945;4.925434;13.5;-4.492544;
946;4.925434;14;-4.492544;
947;4.925434;14.5;-4.492544;
948;6.567122;10.5;-4.656713;
949;6.567122;11;-4.656713;
950;6.567122;11.5;-4.656713;
951;6.567122;12;-4.656713;
952;6.567122;12.5;-4.656713;
953;6.567122;13;-4.656713;
954;6.567122;13.5;-4.656713;
955;6.567122;14;-4.656713;
956;6.567122;14.5;-4.656713;
957;10.074628;0;-4.9925385;
958;8.208933;10.5;-4.820895;
959;8.208933;11;-4.820895;
960;8.208933;11.5;-4.820895;
961;8.208933;12;-4.820895;
962;8.208933;12.5;-4.820895;
963;8.208933;13;-4.820895;
964;8.208933;13.5;-4.820895;
965;8.208933;14;-4.820895;
966;8.208933;14.5;-4.820895;
967;18.358189;14.5;-4.164181;
968;18.358189;14;-4.164181;
969;18.358189;13.5;-4.164181;
970;18.358189;13;-4.164181;
971;18.358189;12.5;-4.164181;
972;18.358189;12;-4.164181;
973;18.358189;11.5;-4.164181;
974;18.358189;11;-4.164181;
975;18.358189;10.5;-4.164181;
976;10.111942;0;-4.98880775;
977;20;14.5;-4;
978;20;14;-4;
979;20;13.5;-4;
980;20;13;-4;
981;20;12.5;-4;
982;20;12;-4;
983;20;11.5;-4;
984;20;11;-4;
985;20;10.5;-4;
986;16.716377;14.5;-4.328363000000001;
987;16.716377;14;-4.328363000000001;
988;16.716377;13.5;-4.328363000000001;
989;16.716377;13;-4.328363000000001;
990;16.716377;12.5;-4.328363000000001;
991;16.716377;12;-4.328363000000001;
992;16.716377;11.5;-4.328363000000001;
993;16.716377;11;-4.328363000000001;
994;16.716377;10.5;-4.328363000000001;
995;10.130599;0;-4.986942375;
996;15.074566;14.5;-4.492544;
997;15.074566;14;-4.492544;
998;15.074566;13.5;-4.492544;
999;15.074566;13;-4.492544;
1000;15.074566;12.5;-4.492544;
1001;15.074566;12;-4.492544;
1002;15.074566;11.5;-4.492544;
1003;15.074566;11;-4.492544;
1004;15.074566;10.5;-4.492544;
1005;13.432878;14.5;-4.656713;
1006;13.432878;14;-4.656713;
1007;13.432878;13.5;-4.656713;
1008;13.432878;13;-4.656713;
1009;13.432878;12.5;-4.656713;
1010;13.432878;12;-4.656713;
1011;13.432878;11.5;-4.656713;
1012;13.432878;11;-4.656713;
1013;13.432878;10.5;-4.656713;
1014;15.00932075;0;-4.499068000000001;
1015;11.791067;14.5;-4.820895;
1016;11.791067;14;-4.820895;
1017;11.791067;13.5;-4.820895;
1018;11.791067;13;-4.820895;
1019;11.791067;12.5;-4.820895;
1020;11.791067;12;-4.820895;
1021;11.791067;11.5;-4.820895;
1022;11.791067;11;-4.820895;
1023;11.791067;10.5;-4.820895;
1024;15.018641500000003;0;-4.498136;
1025;10.093285;0;-4.990673125000002;
1026;9.850744;10.5;-4.985077;
1027;9.850744;11;-4.985077;
1028;9.850744;11.5;-4.985077;
1029;9.850744;12;-4.985077;
1030;9.850744;12.5;-4.985077;
1031;9.850744;13;-4.985077;
1032;9.850744;13.5;-4.985077;
1033;9.850744;14;-4.985077;
1034;9.850744;14.5;-4.985077;
1035;10.149256;14.5;-4.985077;
1036;10.149256;14;-4.985077;
1037;10.149256;13.5;-4.985077;
1038;10.149256;13;-4.985077;
1039;10.149256;12.5;-4.985077;
1040;10.149256;12;-4.985077;
1041;10.149256;11.5;-4.985077;
1042;10.149256;11;-4.985077;
1043;10.149256;10.5;-4.985077;
1044;1.8470375;10;-4.184703750000001;
1045;2.052264;10;-4.2052265;
1046;2.2574905;10;-4.22574925;
1047;2.462717;10;-4.246272000000001;
1048;2.6679435;10;-4.266794750000001;
1049;2.87317;10;-4.287317500000001;
1050;3.0783965;10;-4.30784025;
1051;3.488849375;10;-4.348885625000001;
1052;3.69407575;10;-4.36940825;
1053;3.899302125;10;-4.389930875;
1054;4.1045285;10;-4.4104535;
1055;4.309754875000001;10;-4.430976125;
1056;4.51498125;10;-4.45149875;
1057;4.720207625;10;-4.472021375;
1058;4.93475475;10;-4.493476;
1059;4.9440755;10;-4.494408;
1060;4.95339625;10;-4.49534;
1061;4.962717;10;-4.496272;
1062;4.97203775;10;-4.497204;
1063;4.9813585;10;-4.498136;
1064;4.99067925;10;-4.499068000000001;
1065;6.772348375;10;-4.67723575;
1066;6.97757475;10;-4.6977585;
1067;7.182801125;10;-4.71828125;
1068;7.3880275;10;-4.738804;
1069;7.593253875;10;-4.75932675;
1070;7.79848025;10;-4.7798495;
1071;8.003706625;10;-4.800372250000002;
1072;8.414159375000002;10;-4.84141775;
1073;8.61938575;10;-4.8619405;
1074;8.824612125;10;-4.882463250000002;
1075;9.0298385;10;-4.902986;
1076;9.235064875;10;-4.92350875;
1077;9.440291250000001;10;-4.9440315;
1078;9.645517625;10;-4.964554250000002;
1079;9.869401;10;-4.986942375;
1080;9.888058;10;-4.98880775;
1081;9.906715;10;-4.990673125000002;
1082;9.925372;10;-4.9925385;
1083;9.944029;10;-4.994403875;
1084;9.962686;10;-4.99626925;
1085;9.981343;10;-4.998134625;
1086;10.354482375;10;-4.964554250000002;
1087;10.559708749999999;10;-4.9440315;
1088;10.764935125;10;-4.92350875;
1089;10.9701615;10;-4.902986;
1090;11.175387875;10;-4.882463250000002;
1091;11.38061425;10;-4.8619405;
1092;11.585840625;10;-4.84141775;
1093;11.996293375;10;-4.800372250000002;
1094;12.20151975;10;-4.7798495;
1095;12.406746125;10;-4.75932675;
1096;12.6119725;10;-4.738804;
1097;12.817198875;10;-4.71828125;
1098;13.022425250000001;10;-4.6977585;
1099;13.227651625;10;-4.67723575;
1100;13.62876825;10;-4.637123875;
1101;13.8246585;10;-4.61753475;
1102;14.02054875;10;-4.597945625;
1103;14.216439000000001;10;-4.5783565;
1104;14.41232925;10;-4.558767375;
1105;14.6082195;10;-4.53917825;
1106;14.80410975;10;-4.519589125;
1107;15.279792375000001;10;-4.472021375;
1108;15.485018750000002;10;-4.45149875;
1109;15.690245125;10;-4.430976125;
1110;15.895471500000003;10;-4.4104535;
1111;16.100697875;10;-4.389930875;
1112;16.30592425;10;-4.36940825;
1113;16.511150625000003;10;-4.348885625000001;
1114;16.9216035;10;-4.30784025;
1115;17.12683;10;-4.287317500000001;
1116;17.3320565;10;-4.266794750000001;
1117;17.537283000000002;10;-4.246272000000001;
1118;17.7425095;10;-4.22574925;
1119;17.947736;10;-4.2052265;
1120;18.1529625;10;-4.184703750000001;
1121;18.563415375;10;-4.143658375;
1122;18.76864175;10;-4.123135750000001;
1123;18.973868125;10;-4.102613125000001;
1124;19.179094499999994;10;-4.0820905;
1125;19.384320875;10;-4.061567875;
1126;19.58954725;10;-4.04104525;
1127;19.794773625;10;-4.020522625;
1128;1.641811;5.5;-4.164181;
1129;1.641811;6;-4.164181;
1130;1.641811;6.5;-4.164181;
1131;1.641811;7;-4.164181;
1132;1.641811;7.5;-4.164181;
1133;1.641811;8;-4.164181;
1134;1.641811;8.5;-4.164181;
1135;1.641811;9;-4.164181;
1136;1.641811;9.5;-4.164181;
1137;0;5.5;-4;
1138;0;6;-4;
1139;0;6.5;-4;
1140;0;7;-4;
1141;0;7.5;-4;
1142;0;8;-4;
1143;0;8.5;-4;
1144;0;9;-4;
1145;0;9.5;-4;
1146;15.02796225;0;-4.497204;
1147;3.283623;5.5;-4.328363000000001;
1148;3.283623;6;-4.328363000000001;
1149;3.283623;6.5;-4.328363000000001;
1150;3.283623;7;-4.328363000000001;
1151;3.283623;7.5;-4.328363000000001;
1152;3.283623;8;-4.328363000000001;
1153;3.283623;8.5;-4.328363000000001;
1154;3.283623;9;-4.328363000000001;
1155;3.283623;9.5;-4.328363000000001;
1156;15.037283;0;-4.496272;
1157;4.925434;5.5;-4.492544;
1158;4.925434;6;-4.492544;
1159;4.925434;6.5;-4.492544;
1160;4.925434;7;-4.492544;
1161;4.925434;7.5;-4.492544;
1162;4.925434;8;-4.492544;
1163;4.925434;8.5;-4.492544;
1164;4.925434;9;-4.492544;
1165;4.925434;9.5;-4.492544;
1166;6.567122;5.5;-4.656713;
1167;6.567122;6;-4.656713;
1168;6.567122;6.5;-4.656713;
1169;6.567122;7;-4.656713;
1170;6.567122;7.5;-4.656713;
1171;6.567122;8;-4.656713;
1172;6.567122;8.5;-4.656713;
1173;6.567122;9;-4.656713;
1174;6.567122;9.5;-4.656713;
1175;15.0559245;0;-4.494408;
1176;8.208933;5.5;-4.820895;
1177;8.208933;6;-4.820895;
1178;8.208933;6.5;-4.820895;
1179;8.208933;7;-4.820895;
1180;8.208933;7.5;-4.820895;
1181;8.208933;8;-4.820895;
1182;8.208933;8.5;-4.820895;
1183;8.208933;9;-4.820895;
1184;8.208933;9.5;-4.820895;
1185;18.358189;9.5;-4.164181;
1186;18.358189;9;-4.164181;
1187;18.358189;8.5;-4.164181;
1188;18.358189;8;-4.164181;
1189;18.358189;7.5;-4.164181;
1190;18.358189;7;-4.164181;
1191;18.358189;6.5;-4.164181;
1192;18.358189;6;-4.164181;
1193;18.358189;5.5;-4.164181;
1194;20;0;-2.5;
1195;20;9.5;-4;
1196;20;9;-4;
1197;20;8.5;-4;
1198;20;8;-4;
1199;20;7.5;-4;
1200;20;7;-4;
1201;20;6.5;-4;
1202;20;6;-4;
1203;20;5.5;-4;
1204;16.716377;9.5;-4.328363000000001;
1205;16.716377;9;-4.328363000000001;
1206;16.716377;8.5;-4.328363000000001;
1207;16.716377;8;-4.328363000000001;
1208;16.716377;7.5;-4.328363000000001;
1209;16.716377;7;-4.328363000000001;
1210;16.716377;6.5;-4.328363000000001;
1211;16.716377;6;-4.328363000000001;
1212;16.716377;5.5;-4.328363000000001;
1213;20;0;-3;
1214;15.074566;9.5;-4.492544;
1215;15.074566;9;-4.492544;
1216;15.074566;8.5;-4.492544;
1217;15.074566;8;-4.492544;
1218;15.074566;7.5;-4.492544;
1219;15.074566;7;-4.492544;
1220;15.074566;6.5;-4.492544;
1221;15.074566;6;-4.492544;
1222;15.074566;5.5;-4.492544;
1223;13.432878;9.5;-4.656713;
1224;13.432878;9;-4.656713;
1225;13.432878;8.5;-4.656713;
1226;13.432878;8;-4.656713;
1227;13.432878;7.5;-4.656713;
1228;13.432878;7;-4.656713;
1229;13.432878;6.5;-4.656713;
1230;13.432878;6;-4.656713;
1231;13.432878;5.5;-4.656713;
1232;20;0;-3.5;
1233;11.791067;9.5;-4.820895;
1234;11.791067;9;-4.820895;
1235;11.791067;8.5;-4.820895;
1236;11.791067;8;-4.820895;
1237;11.791067;7.5;-4.820895;
1238;11.791067;7;-4.820895;
1239;11.791067;6.5;-4.820895;
1240;11.791067;6;-4.820895;
1241;11.791067;5.5;-4.820895;
1242;5;0;-0.5;
1243;15.06524525;0;-4.493476;
1244;9.850744;5.5;-4.985077;
1245;9.850744;6;-4.985077;
1246;9.850744;6.5;-4.985077;
1247;9.850744;7;-4.985077;
1248;9.850744;7.5;-4.985077;
1249;9.850744;8;-4.985077;
1250;9.850744;8.5;-4.985077;
1251;9.850744;9;-4.985077;
1252;9.850744;9.5;-4.985077;
1253;10.149256;9.5;-4.985077;
1254;10.149256;9;-4.985077;
1255;10.149256;8.5;-4.985077;
1256;10.149256;8;-4.985077;
1257;10.149256;7.5;-4.985077;
1258;10.149256;7;-4.985077;
1259;10.149256;6.5;-4.985077;
1260;10.149256;6;-4.985077;
1261;10.149256;5.5;-4.985077;
1262;1.8470375;5;-4.184703750000001;
1263;2.052264;5;-4.2052265;
1264;2.2574905;5;-4.22574925;
1265;2.462717;5;-4.246272000000001;
1266;2.6679435;5;-4.266794750000001;
1267;2.87317;5;-4.287317500000001;
1268;3.0783965;5;-4.30784025;
1269;3.488849375;5;-4.348885625000001;
1270;3.69407575;5;-4.36940825;
1271;3.899302125;5;-4.389930875;
1272;4.1045285;5;-4.4104535;
1273;4.309754875000001;5;-4.430976125;
1274;4.51498125;5;-4.45149875;
1275;4.720207625;5;-4.472021375;
1276;4.93475475;5;-4.493476;
1277;4.9440755;5;-4.494408;
1278;4.95339625;5;-4.49534;
1279;4.962717;5;-4.496272;
1280;4.97203775;5;-4.497204;
1281;4.9813585;5;-4.498136;
1282;4.99067925;5;-4.499068000000001;
1283;6.772348375;5;-4.67723575;
1284;6.97757475;5;-4.6977585;
1285;7.182801125;5;-4.71828125;
1286;7.3880275;5;-4.738804;
1287;7.593253875;5;-4.75932675;
1288;7.79848025;5;-4.7798495;
1289;8.003706625;5;-4.800372250000002;
1290;8.414159375000002;5;-4.84141775;
1291;8.61938575;5;-4.8619405;
1292;8.824612125;5;-4.882463250000002;
1293;9.0298385;5;-4.902986;
1294;9.235064875;5;-4.92350875;
1295;9.440291250000001;5;-4.9440315;
1296;9.645517625;5;-4.964554250000002;
1297;9.869401;5;-4.986942375;
1298;9.888058;5;-4.98880775;
1299;9.906715;5;-4.990673125000002;
1300;9.925372;5;-4.9925385;
1301;9.944029;5;-4.994403875;
1302;9.962686;5;-4.99626925;
1303;9.981343;5;-4.998134625;
1304;10.354482375;5;-4.964554250000002;
1305;10.559708749999999;5;-4.9440315;
1306;10.764935125;5;-4.92350875;
1307;10.9701615;5;-4.902986;
1308;11.175387875;5;-4.882463250000002;
1309;11.38061425;5;-4.8619405;
1310;11.585840625;5;-4.84141775;
1311;11.996293375;5;-4.800372250000002;
1312;12.20151975;5;-4.7798495;
1313;12.406746125;5;-4.75932675;
1314;12.6119725;5;-4.738804;
1315;12.817198875;5;-4.71828125;
1316;13.022425250000001;5;-4.6977585;
1317;13.227651625;5;-4.67723575;
1318;13.62876825;5;-4.637123875;
1319;13.8246585;5;-4.61753475;
1320;14.02054875;5;-4.597945625;
1321;14.216439000000001;5;-4.5783565;
1322;14.41232925;5;-4.558767375;
1323;14.6082195;5;-4.53917825;
1324;14.80410975;5;-4.519589125;
1325;15.279792375000001;5;-4.472021375;
1326;15.485018750000002;5;-4.45149875;
1327;15.690245125;5;-4.430976125;
1328;15.895471500000003;5;-4.4104535;
1329;16.100697875;5;-4.389930875;
1330;16.30592425;5;-4.36940825;
1331;16.511150625000003;5;-4.348885625000001;
1332;16.9216035;5;-4.30784025;
1333;17.12683;5;-4.287317500000001;
1334;17.3320565;5;-4.266794750000001;
1335;17.537283000000002;5;-4.246272000000001;
1336;17.7425095;5;-4.22574925;
1337;17.947736;5;-4.2052265;
1338;18.1529625;5;-4.184703750000001;
1339;18.563415375;5;-4.143658375;
1340;18.76864175;5;-4.123135750000001;
1341;18.973868125;5;-4.102613125000001;
1342;19.179094499999994;5;-4.0820905;
1343;19.384320875;5;-4.061567875;
1344;19.58954725;5;-4.04104525;
1345;19.794773625;5;-4.020522625;
1346;1.641811;0.5;-4.164181;
1347;1.641811;1;-4.164181;
1348;1.641811;1.5;-4.164181;
1349;1.641811;2;-4.164181;
1350;1.641811;2.5;-4.164181;
1351;1.641811;3;-4.164181;
1352;1.641811;3.5;-4.164181;
1353;1.641811;4;-4.164181;
1354;1.641811;4.5;-4.164181;
1355;0;0.5;-4;
1356;0;1;-4;
1357;0;1.5;-4;
1358;0;2;-4;
1359;0;2.5;-4;
1360;0;3;-4;
1361;0;3.5;-4;
1362;0;4;-4;
1363;0;4.5;-4;
1364;5;0;-4;
1365;3.283623;0.5;-4.328363000000001;
1366;3.283623;1;-4.328363000000001;
1367;3.283623;1.5;-4.328363000000001;
1368;3.283623;2;-4.328363000000001;
1369;3.283623;2.5;-4.328363000000001;
1370;3.283623;3;-4.328363000000001;
1371;3.283623;3.5;-4.328363000000001;
1372;3.283623;4;-4.328363000000001;
1373;3.283623;4.5;-4.328363000000001;
1374;10;0;-0.5;
1375;4.925434;0.5;-4.492544;
1376;4.925434;1;-4.492544;
1377;4.925434;1.5;-4.492544;
1378;4.925434;2;-4.492544;
1379;4.925434;2.5;-4.492544;
1380;4.925434;3;-4.492544;
1381;4.925434;3.5;-4.492544;
1382;4.925434;4;-4.492544;
1383;4.925434;4.5;-4.492544;
1384;6.567122;0.5;-4.656713;
1385;6.567122;1;-4.656713;
1386;6.567122;1.5;-4.656713;
1387;6.567122;2;-4.656713;
1388;6.567122;2.5;-4.656713;
1389;6.567122;3;-4.656713;
1390;6.567122;3.5;-4.656713;
1391;6.567122;4;-4.656713;
1392;6.567122;4.5;-4.656713;
1393;10;0;-1;
1394;8.208933;0.5;-4.820895;
1395;8.208933;1;-4.820895;
1396;8.208933;1.5;-4.820895;
1397;8.208933;2;-4.820895;
1398;8.208933;2.5;-4.820895;
1399;8.208933;3;-4.820895;
1400;8.208933;3.5;-4.820895;
1401;8.208933;4;-4.820895;
1402;8.208933;4.5;-4.820895;
1403;18.358189;4.5;-4.164181;
1404;18.358189;4;-4.164181;
1405;18.358189;3.5;-4.164181;
1406;18.358189;3;-4.164181;
1407;18.358189;2.5;-4.164181;
1408;18.358189;2;-4.164181;
1409;18.358189;1.5;-4.164181;
1410;18.358189;1;-4.164181;
1411;18.358189;0.5;-4.164181;
1412;10;0;-2;
1413;20;4.5;-4;
1414;20;4;-4;
1415;20;3.5;-4;
1416;20;3;-4;
1417;20;2.5;-4;
1418;20;2;-4;
1419;20;1.5;-4;
1420;20;1;-4;
1421;20;0.5;-4;
1422;16.716377;4.5;-4.328363000000001;
1423;16.716377;4;-4.328363000000001;
1424;16.716377;3.5;-4.328363000000001;
1425;16.716377;3;-4.328363000000001;
1426;16.716377;2.5;-4.328363000000001;
1427;16.716377;2;-4.328363000000001;
1428;16.716377;1.5;-4.328363000000001;
1429;16.716377;1;-4.328363000000001;
1430;16.716377;0.5;-4.328363000000001;
1431;10;0;-2.5;
1432;15.074566;4.5;-4.492544;
1433;15.074566;4;-4.492544;
1434;15.074566;3.5;-4.492544;
1435;15.074566;3;-4.492544;
1436;15.074566;2.5;-4.492544;
1437;15.074566;2;-4.492544;
1438;15.074566;1.5;-4.492544;
1439;15.074566;1;-4.492544;
1440;15.074566;0.5;-4.492544;
1441;13.432878;4.5;-4.656713;
1442;13.432878;4;-4.656713;
1443;13.432878;3.5;-4.656713;
1444;13.432878;3;-4.656713;
1445;13.432878;2.5;-4.656713;
1446;13.432878;2;-4.656713;
1447;13.432878;1.5;-4.656713;
1448;13.432878;1;-4.656713;
1449;13.432878;0.5;-4.656713;
1450;10;0;-3;
1451;11.791067;4.5;-4.820895;
1452;11.791067;4;-4.820895;
1453;11.791067;3.5;-4.820895;
1454;11.791067;3;-4.820895;
1455;11.791067;2.5;-4.820895;
1456;11.791067;2;-4.820895;
1457;11.791067;1.5;-4.820895;
1458;11.791067;1;-4.820895;
1459;11.791067;0.5;-4.820895;
1460;10;0;-4;
1461;10;0;-1.5;
1462;9.850744;0.5;-4.985077;
1463;9.850744;1;-4.985077;
1464;9.850744;1.5;-4.985077;
1465;9.850744;2;-4.985077;
1466;9.850744;2.5;-4.985077;
1467;9.850744;3;-4.985077;
1468;9.850744;3.5;-4.985077;
1469;9.850744;4;-4.985077;
1470;9.850744;4.5;-4.985077;
1471;10.149256;4.5;-4.985077;
1472;10.149256;4;-4.985077;
1473;10.149256;3.5;-4.985077;
1474;10.149256;3;-4.985077;
1475;10.149256;2.5;-4.985077;
1476;10.149256;2;-4.985077;
1477;10.149256;1.5;-4.985077;
1478;10.149256;1;-4.985077;
1479;10.149256;0.5;-4.985077;
1480;1.8470375;0;-4.184703750000001;
1481;2.052264;0;-4.2052265;
1482;2.2574905;0;-4.22574925;
1483;2.462717;0;-4.246272000000001;
1484;2.6679435;0;-4.266794750000001;
1485;2.87317;0;-4.287317500000001;
1486;3.0783965;0;-4.30784025;
1487;3.488849375;0;-4.348885625000001;
1488;3.69407575;0;-4.36940825;
1489;3.899302125;0;-4.389930875;
1490;4.1045285;0;-4.4104535;
1491;4.309754875000001;0;-4.430976125;
1492;4.51498125;0;-4.45149875;
1493;4.720207625;0;-4.472021375;
1494;4.93475475;0;-4.493476;
1495;4.9440755;0;-4.494408;
1496;4.95339625;0;-4.49534;
1497;4.962717;0;-4.496272;
1498;4.97203775;0;-4.497204;
1499;4.9813585;0;-4.498136;
1500;4.99067925;0;-4.499068000000001;
1501;6.772348375;0;-4.67723575;
1502;6.97757475;0;-4.6977585;
1503;7.182801125;0;-4.71828125;
1504;7.3880275;0;-4.738804;
1505;7.593253875;0;-4.75932675;
1506;7.79848025;0;-4.7798495;
1507;8.003706625;0;-4.800372250000002;
1508;8.414159375000002;0;-4.84141775;
1509;8.61938575;0;-4.8619405;
1510;8.824612125;0;-4.882463250000002;
1511;9.0298385;0;-4.902986;
1512;9.235064875;0;-4.92350875;
1513;9.440291250000001;0;-4.9440315;
1514;9.645517625;0;-4.964554250000002;
1515;9.869401;0;-4.986942375;
1516;9.888058;0;-4.98880775;
1517;9.906715;0;-4.990673125000002;
1518;9.925372;0;-4.9925385;
1519;9.944029;0;-4.994403875;
1520;9.962686;0;-4.99626925;
1521;9.981343;0;-4.998134625;
1522;10.354482375;0;-4.964554250000002;
1523;10.559708749999999;0;-4.9440315;
1524;10.764935125;0;-4.92350875;
1525;10.9701615;0;-4.902986;
1526;11.175387875;0;-4.882463250000002;
1527;11.38061425;0;-4.8619405;
1528;11.585840625;0;-4.84141775;
1529;11.996293375;0;-4.800372250000002;
1530;12.20151975;0;-4.7798495;
1531;12.406746125;0;-4.75932675;
1532;12.6119725;0;-4.738804;
1533;12.817198875;0;-4.71828125;
1534;13.022425250000001;0;-4.6977585;
1535;13.227651625;0;-4.67723575;
1536;13.62876825;0;-4.637123875;
1537;13.8246585;0;-4.61753475;
1538;14.02054875;0;-4.597945625;
1539;14.216439000000001;0;-4.5783565;
1540;14.41232925;0;-4.558767375;
1541;14.6082195;0;-4.53917825;
1542;14.80410975;0;-4.519589125;
1543;15.279792375000001;0;-4.472021375;
1544;15.485018750000002;0;-4.45149875;
1545;15.690245125;0;-4.430976125;
1546;15.895471500000003;0;-4.4104535;
1547;16.100697875;0;-4.389930875;
1548;16.30592425;0;-4.36940825;
1549;16.511150625000003;0;-4.348885625000001;
1550;16.9216035;0;-4.30784025;
1551;17.12683;0;-4.287317500000001;
1552;17.3320565;0;-4.266794750000001;
1553;17.537283000000002;0;-4.246272000000001;
1554;17.7425095;0;-4.22574925;
1555;17.947736;0;-4.2052265;
1556;18.1529625;0;-4.184703750000001;
1557;18.563415375;0;-4.143658375;
1558;18.76864175;0;-4.123135750000001;
1559;18.973868125;0;-4.102613125000001;
1560;19.179094499999994;0;-4.0820905;
1561;19.384320875;0;-4.061567875;
1562;19.58954725;0;-4.04104525;
1563;19.794773625;0;-4.020522625;
1564;1.64181138064564;20.5;-4.164181128064564;
1565;1.64181133835168;21;-4.164181113835168;
1566;1.64181129605772;21.5;-4.164181099605772;
1567;1.64181125376376;22;-4.164181085376377;
1568;1.6418112114698;22.5;-4.16418107114698;
1569;1.64181116917584;23;-4.164181056917584;
1570;1.64181112688188;23.5;-4.164181042688188;
1571;1.64181108458792;24;-4.164181028458792;
1572;1.64181104229396;24.5;-4.164181014229397;
1573;0;20.5;-4;
1574;0;21;-4;
1575;0;21.5;-4;
1576;0;22;-4;
1577;0;22.5;-4;
1578;0;23;-4;
1579;0;23.5;-4;
1580;0;24;-4;
1581;0;24.5;-4;
1582;3.283622798659983;20.5;-4.328362349866002;
1583;3.283622821031096;21;-4.328362422103112;
1584;3.283622843402209;21.5;-4.328362494340223;
1585;3.283622865773322;22;-4.328362566577334;
1586;3.283622888144435;22.5;-4.328362638814445;
1587;3.283622910515548;23;-4.328362711051557;
1588;3.283622932886661;23.5;-4.328362783288667;
1589;3.283622955257774;24;-4.328362855525779;
1590;3.283622977628887;24.5;-4.328362927762889;
1591;20;0;-0.5;
1592;4.925434096250726;20.5;-4.492543469625077;
1593;4.9254340855562;21;-4.492543528555625;
1594;4.925434074861676;21.5;-4.492543587486171;
1595;4.92543406416715;22;-4.492543646416718;
1596;4.925434053472626;22.5;-4.492543705347265;
1597;4.9254340427781;23;-4.492543764277812;
1598;4.925434032083576;23.5;-4.492543823208359;
1599;4.92543402138905;24;-4.492543882138906;
1600;4.925434010694526;24.5;-4.492543941069453;
1601;20;0;-1;
1602;6.567121582270436;20.5;-4.65671223822704;
1603;6.567121628684832;21;-4.65671232286848;
1604;6.567121675099228;21.5;-4.65671240750992;
1605;6.567121721513624;22;-4.65671249215136;
1606;6.56712176792802;22.5;-4.6567125767928;
1607;6.567121814342416;23;-4.65671266143424;
1608;6.567121860756812;23.5;-4.65671274607568;
1609;6.56712190717121;24;-4.65671283071712;
1610;6.567121953585604;24.5;-4.65671291535856;
1611;8.20893310946746;20.5;-4.820893480946746;
1612;8.208933097304408;21;-4.82089364973044;
1613;8.208933085141359;21.5;-4.820893818514136;
1614;8.208933072978306;22;-4.82089398729783;
1615;8.208933060815257;22.5;-4.820894156081526;
1616;8.208933048652204;23;-4.82089432486522;
1617;8.208933036489155;23.5;-4.820894493648916;
1618;8.208933024326102;24;-4.82089466243261;
1619;8.208933012163053;24.5;-4.820894831216306;
1620;20;0;-1.5;
1621;5;0;-1.5;
1622;18.35818895770604;24.5;-4.164181014229397;
1623;18.35818891541208;24;-4.164181028458792;
1624;18.35818887311812;23.5;-4.164181042688188;
1625;18.35818883082416;23;-4.164181056917584;
1626;18.3581887885302;22.5;-4.16418107114698;
1627;18.35818874623624;22;-4.164181085376377;
1628;18.35818870394228;21.5;-4.164181099605772;
