FE Node No.;Coordinates;;;
;X [m];Y [m];Z [m];
229;20;20;-4;
230;20;15;-4;
231;16.7163772237111;20;-4.32836227762889;
232;16.716377;15;-4.328363000000001;
233;15.0745658930547;20;-4.492543410694531;
234;15.074566;15;-4.492544;
235;13.432878464144;20;-4.6567121535856;
236;13.432878;15;-4.656713;
237;11.7910668783695;20;-4.82089331216305;
238;11.791067;15;-4.820895;
239;0;10;-4;
240;0;15;-4;
241;9.850744;15;-4.985077;
242;9.8507444160964;20;-4.98507444160964;
243;10.1492555839036;20;-4.98507444160964;
244;10.149256;15;-4.985077;
245;3.283623;10;-4.328363000000001;
246;3.283623;15;-4.328363000000001;
247;4.925434;10;-4.492544;
248;4.925434;15;-4.492544;
249;6.567122;10;-4.656713;
250;6.567122;15;-4.656713;
251;8.208933;10;-4.820895;
252;8.208933;15;-4.820895;
253;18.358189;15;-4.164181;
254;18.358189;10;-4.164181;
255;20;15;-4;
256;20;10;-4;
257;16.716377;15;-4.328363000000001;
258;16.716377;10;-4.328363000000001;
259;15.074566;15;-4.492544;
260;15.074566;10;-4.492544;
261;13.432878;15;-4.656713;
262;13.432878;10;-4.656713;
263;11.791067;15;-4.820895;
264;11.791067;10;-4.820895;
265;9.850744;10;-4.985077;
266;9.850744;15;-4.985077;
267;10.149256;15;-4.985077;
268;10.149256;10;-4.985077;
269;1.641811;5;-4.164181;
270;1.641811;10;-4.164181;
271;0;5;-4;
272;0;10;-4;
273;3.283623;5;-4.328363000000001;
274;3.283623;10;-4.328363000000001;
275;4.925434;5;-4.492544;
276;4.925434;10;-4.492544;
277;6.567122;5;-4.656713;
278;6.567122;10;-4.656713;
279;8.208933;5;-4.820895;
280;8.208933;10;-4.820895;
281;18.358189;10;-4.164181;
282;18.358189;5;-4.164181;
283;20;10;-4;
284;20;5;-4;
285;16.716377;10;-4.328363000000001;
286;16.716377;5;-4.328363000000001;
287;15.074566;10;-4.492544;
288;15.074566;5;-4.492544;
289;13.432878;10;-4.656713;
290;13.432878;5;-4.656713;
291;11.791067;10;-4.820895;
292;11.791067;5;-4.820895;
293;9.850744;5;-4.985077;
294;9.850744;10;-4.985077;
295;10.149256;10;-4.985077;
296;10.149256;5;-4.985077;
297;1.641811;0;-4.164181;
298;1.641811;5;-4.164181;
299;0;0;-4;
300;0;5;-4;
301;3.283623;0;-4.328363000000001;
302;3.283623;5;-4.328363000000001;
303;4.925434;0;-4.492544;
304;4.925434;5;-4.492544;
305;6.567122;0;-4.656713;
306;6.567122;5;-4.656713;
307;8.208933;0;-4.820895;
308;8.208933;5;-4.820895;
309;18.358189;5;-4.164181;
310;18.358189;0;-4.164181;
311;20;5;-4;
312;20;0;-4;
313;16.716377;5;-4.328363000000001;
314;16.716377;0;-4.328363000000001;
315;15.074566;5;-4.492544;
316;15.074566;0;-4.492544;
317;13.432878;5;-4.656713;
318;13.432878;0;-4.656713;
319;11.791067;5;-4.820895;
320;11.791067;0;-4.820895;
321;9.850744;0;-4.985077;
322;9.850744;5;-4.985077;
323;10.149256;5;-4.985077;
324;10.149256;0;-4.985077;
325;1.6418114229396;20;-4.16418114229396;
326;1.641811;25;-4.164181;
327;0;20;-4;
328;0;25;-4;
329;3.28362277628887;20;-4.32836227762889;
330;3.283623;25;-4.328363000000001;
331;4.92543410694525;20;-4.492543410694531;
332;4.925434;25;-4.492544;
333;6.56712153585604;20;-4.6567121535856;
334;6.567122;25;-4.656713;
335;8.20893312163051;20;-4.82089331216305;
336;8.208933;25;-4.820895;
337;18.358189;25;-4.164181;
338;18.3581885770604;20;-4.16418114229396;
339;20;25;-4;
340;20;20;-4;
341;16.716377;25;-4.328363000000001;
342;16.7163772237111;20;-4.32836227762889;
343;15.074566;25;-4.492544;
344;15.0745658930547;20;-4.492543410694531;
345;13.432878;25;-4.656713;
