Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-49.69;0.05;-24.97;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-49.69;0.05;-24.97;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-48.34;0.04;-23.01;0.02;-35.99;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-48.34;0.04;-23.02;0.02;-35.99;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-46.11;0.03;-21.69;0.04;-91.06;-0.14;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-46.11;0.03;-21.69;0.04;-91.06;-0.14;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-22.18;-0.23;28.23;-0.14;-91.13;-0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-22.00;-0.34;26.77;-0.16;-45.75;0.13;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-8.18;0.12;13.26;0.04;22.52;0.57;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-8.05;0.14;11.83;0.04;42.27;0.34;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-6.87;-0.47;-0.30;-0.09;60.25;-0.89;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-6.89;-0.47;-0.44;-0.09;60.19;-0.80;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-20.68;-0.26;-14.15;-0.03;21.90;0.57;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-20.68;-0.26;-14.22;-0.03;20.83;0.59;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-49.65;0.05;26.63;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-49.65;0.05;26.63;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-48.30;0.04;23.67;-0.02;37.74;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-48.30;0.04;23.67;-0.02;37.74;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-46.07;0.03;20.77;-0.04;92.45;-0.14;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-46.07;0.03;20.77;-0.04;92.45;-0.14;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-32.99;0.04;-21.48;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-32.99;0.04;-21.48;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-31.63;0.04;-19.37;0.02;-30.64;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-31.63;0.04;-19.37;0.02;-30.64;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-29.39;0.03;-17.80;0.04;-76.29;-0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-29.39;0.03;-17.80;0.04;-76.29;-0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-30.58;-0.18;25.08;-0.13;-76.35;-0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-30.41;-0.26;23.62;-0.14;-36.17;0.12;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-34.59;0.14;10.12;0.04;21.49;0.56;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-34.46;0.16;8.68;0.04;36.29;0.29;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-33.32;-0.45;2.88;-0.09;43.33;-0.91;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-33.33;-0.45;2.74;-0.09;43.75;-0.84;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-29.21;-0.27;-11.01;-0.03;20.82;0.56;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-29.22;-0.27;-11.08;-0.03;20.00;0.58;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-33.04;0.04;22.72;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-33.04;0.04;22.72;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-31.68;0.04;19.94;-0.02;32.00;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-31.68;0.04;19.93;-0.02;32.00;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-29.44;0.03;17.35;-0.04;77.75;-0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-29.44;0.03;17.35;-0.04;77.75;-0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-33.50;0.04;-23.67;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-33.50;0.04;-23.67;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-32.15;0.03;-20.82;0.02;-33.37;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-32.15;0.03;-20.83;0.02;-33.37;-0.05;Beam | 1 - IPE 500 | L : 4.000 m
