Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;1.32;-3.28;6.96;0.00;0.00;-0.01;
7;;1.46;-1.46;6.17;0.00;0.00;0.00;
8;;3.74;-5.30;8.86;0.00;0.00;0.00;
9;;0.00;-4.82;16.23;0.00;0.00;0.00;
10;;0.00;-3.33;12.56;0.00;0.00;0.00;
11;;-24.97;1.83;50.26;0.00;0.00;0.00;
17;;37.98;1.63;52.81;0.00;0.00;0.00;
18;;-25.05;-1.16;52.14;0.00;0.00;0.00;
24;;38.05;-0.95;54.72;0.00;0.00;0.00;
25;;-24.37;-0.21;49.78;0.00;0.00;0.00;
31;;37.37;-0.23;52.34;0.00;0.00;0.00;
32;;-24.35;-0.21;49.75;0.00;0.00;0.00;
38;;37.34;-0.22;52.31;0.00;0.00;0.00;
39;;1.32;3.22;6.96;0.00;0.00;0.01;
45;;1.46;1.41;6.17;0.00;0.00;0.00;
46;;3.74;5.19;8.86;0.00;0.00;0.00;
47;;0.00;4.68;16.23;0.00;0.00;0.00;
48;;0.00;3.22;12.56;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;38.05;-0.95;54.72;0.00;0.00;0.00;
18;P_x;-25.05;-1.16;52.14;0.00;0.00;0.00;
46;P_y;3.74;5.19;8.86;0.00;0.00;0.00;
8;P_y;3.74;-5.30;8.86;0.00;0.00;0.00;
24;P_z;38.05;-0.95;54.72;0.00;0.00;0.00;
45;P_z;1.46;1.41;6.17;0.00;0.00;0.00;
1;M_x;1.32;-3.28;6.96;0.00;0.00;-0.01;
1;M_x;1.32;-3.28;6.96;0.00;0.00;-0.01;
1;M_y;1.32;-3.28;6.96;0.00;0.00;-0.01;
1;M_y;1.32;-3.28;6.96;0.00;0.00;-0.01;
39;M_z;1.32;3.22;6.96;0.00;0.00;0.01;
1;M_z;1.32;-3.28;6.96;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;65.04;0.00;515.68;Loads;;;
Σ;;65.04;0.00;515.68;Support Forces;;;
