Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
3;3;0.000;κ_y;-0.01;-0.01;0.07;4.4;-1.9;-1.9;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_z;-0.01;0.00;0.06;4.5;0.4;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_z;-0.01;-0.01;0.07;4.4;-1.9;-1.9;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-0.01;0.00;0.07;4.7;0.4;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-0.01;-0.01;0.06;4.4;-1.9;-1.9;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;-0.01;-0.01;0.09;16.1;-1.5;-2.1;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;-0.01;-0.01;0.08;16.1;-1.3;-1.9;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;-0.01;-0.01;0.08;16.1;-1.3;-1.9;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;-0.01;-0.01;0.08;16.1;-1.2;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;ε_x;-0.01;-0.01;0.09;16.1;-1.5;-2.1;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;ε_x;-0.01;-0.01;0.08;16.1;-1.2;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xy;-0.01;-0.01;0.08;16.1;-1.2;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xy;-0.01;-0.01;0.09;16.1;-1.5;-2.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xz;-0.01;-0.01;0.09;16.1;-1.5;-2.1;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xz;-0.01;-0.01;0.08;16.1;-1.2;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_x;-0.01;-0.01;0.08;16.1;-1.2;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_x;-0.01;-0.01;0.09;16.1;-1.5;-2.1;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_y;-0.01;-0.01;0.08;16.1;-1.2;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_y;-0.01;-0.01;0.09;16.1;-1.5;-2.1;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_z;-0.01;-0.01;0.08;16.1;-1.2;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_z;-0.01;-0.01;0.09;16.1;-1.5;-2.1;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;-0.01;-0.01;0.09;16.1;-1.2;-1.8;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;-0.01;-0.01;0.08;16.1;-1.5;-2.1;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;-0.01;0.00;0.10;75.0;-1.6;-3.6;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;-0.01;0.00;0.10;75.0;-1.5;-3.6;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;-0.01;0.00;0.10;75.0;-1.5;-3.6;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;-0.01;0.00;0.10;75.1;-1.5;-3.5;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;ε_x;-0.01;0.00;0.10;75.0;-1.6;-3.6;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;ε_x;-0.01;0.00;0.10;75.1;-1.5;-3.5;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;γ_xy;-0.01;0.00;0.10;75.1;-1.5;-3.5;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xy;-0.01;0.00;0.10;75.0;-1.6;-3.6;Beam | 3 - HEA 140 | L : 0.075 m
