Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;1.31;-0.45;2.00;0.01;-1.14;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;1.35;-0.16;1.60;0.00;1.83;0.57;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;1.51;-0.25;-0.01;-0.01;1.80;0.57;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;1.53;0.01;-0.16;-0.01;1.75;0.65;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;1.53;0.11;-0.21;-0.01;1.71;0.64;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;1.53;0.11;-0.21;-0.01;1.71;0.64;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;1.55;0.42;-0.41;-0.01;1.45;0.42;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;1.71;0.33;-2.01;-0.03;1.42;0.42;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;1.75;0.61;-2.41;-0.03;-2.23;-0.43;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;1.92;0.21;-4.02;-0.10;-2.26;-0.43;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;1.92;0.22;-4.03;-0.10;-2.41;-0.44;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;1.92;0.22;-4.03;-0.10;-2.41;-0.44;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;1.92;0.22;-4.04;-0.10;-2.56;-0.45;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;0.02;-0.51;2.47;0.02;-2.91;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;0.07;-0.23;2.09;0.02;0.68;0.20;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;0.23;-0.28;0.48;0.00;0.65;0.20;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;0.24;0.01;0.32;0.00;0.93;0.30;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;0.27;0.39;0.08;0.01;1.12;0.09;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;0.43;0.37;-1.52;0.00;1.09;0.09;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;0.47;0.66;-1.93;0.00;-1.76;-0.83;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;0.57;0.59;-2.94;-0.01;-1.77;-0.83;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;0.57;0.59;-2.98;-0.01;-2.22;-0.91;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;1.82;-0.60;3.01;0.01;-2.15;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;1.82;-0.60;2.97;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;1.72;-0.67;1.95;0.00;-1.68;-0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;1.68;-0.38;1.55;0.00;1.21;0.08;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;1.52;-0.40;-0.06;0.00;1.24;0.08;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;1.49;-0.01;-0.29;0.00;1.07;0.29;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;1.48;0.27;-0.46;0.00;0.81;0.20;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;1.32;0.22;-2.06;-0.02;0.84;0.20;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;1.28;0.50;-2.44;-0.02;-2.70;-0.44;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;1.94;-0.24;4.15;0.10;-2.91;-0.48;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;1.94;-0.23;4.14;0.10;-2.75;-0.47;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;1.94;-0.23;4.14;0.10;-2.75;-0.47;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;1.94;-0.23;4.13;0.10;-2.60;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;1.78;-0.62;2.52;0.03;-2.57;-0.46;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;1.74;-0.34;2.12;0.03;1.26;0.40;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;1.57;-0.43;0.52;0.01;1.29;0.41;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;1.55;-0.11;0.31;0.01;1.63;0.63;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;1.55;-0.11;0.31;0.01;1.63;0.63;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;1.55;-0.02;0.26;0.01;1.69;0.65;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;1.53;0.24;0.11;0.01;1.81;0.57;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;1.37;0.14;-1.49;0.00;1.84;0.57;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;1.34;0.44;-1.90;-0.01;-0.96;0.01;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;5;5;0.000;N;1.94;-0.24;4.15;0.10;-2.91;-0.48;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;0.02;-0.51;2.47;0.02;-2.91;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
1;192;145;1.650;V_y;0.47;0.66;-1.93;0.00;-1.76;-0.83;Beam | 3 - HEA 140 | L : 1.650 m
1;194;156;0.000;V_y;1.72;-0.67;1.95;0.00;-1.68;-0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;1.94;-0.24;4.15;0.10;-2.91;-0.48;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;1.92;0.22;-4.04;-0.10;-2.56;-0.45;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;1.94;-0.23;4.13;0.10;-2.60;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;1.92;0.21;-4.02;-0.10;-2.26;-0.43;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_y;1.37;0.14;-1.49;0.00;1.84;0.57;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;1.94;-0.24;4.15;0.10;-2.91;-0.48;Beam | 3 - HEA 140 | L : 0.075 m
1;188;;0.612;M_z;1.53;0.01;-0.16;-0.01;1.75;0.65;Beam | 3 - HEA 140 | L : 1.650 m
1;4;4;0.000;M_z;1.82;-0.60;3.01;0.01;-2.15;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;;1.94;0.66;4.15;0.10;1.84;0.65;
1;;;;;0.02;-0.67;-4.04;-0.10;-2.91;-0.94;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-22.13;-0.22;28.29;-0.14;-91.76;-0.07;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-21.95;-0.33;26.82;-0.16;-46.29;0.11;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-21.63;-0.16;23.61;-0.10;-46.41;0.11;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-21.48;-0.22;22.13;-0.12;-8.66;0.35;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-21.17;-0.13;18.93;-0.09;-8.78;0.35;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-21.02;-0.15;17.44;-0.10;21.22;0.59;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-20.71;0.25;14.23;0.04;21.10;0.59;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-20.70;0.25;14.16;0.04;22.17;0.57;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-8.27;0.12;13.31;0.04;22.17;0.57;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-8.14;0.14;11.89;0.04;42.01;0.34;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-7.82;0.23;8.68;0.06;41.89;0.34;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-7.68;0.25;7.18;0.05;54.98;-0.13;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-7.37;0.33;3.98;0.07;54.86;-0.13;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-7.22;0.35;2.48;0.05;60.19;-0.81;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-7.02;0.47;0.45;0.09;60.12;-0.81;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-7.01;0.47;0.31;0.09;60.17;-0.89;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-6.99;-0.47;-0.22;-0.09;60.17;-0.89;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-7.00;-0.47;-0.35;-0.09;60.13;-0.81;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-7.20;-0.35;-2.38;-0.05;60.10;-0.81;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-7.35;-0.34;-3.88;-0.07;54.94;-0.14;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-7.67;-0.26;-7.09;-0.05;54.90;-0.14;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-7.81;-0.24;-8.58;-0.06;41.97;0.34;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-8.12;-0.15;-11.79;-0.03;41.93;0.34;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-8.26;-0.12;-13.21;-0.04;22.24;0.58;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-20.69;-0.26;-14.07;-0.04;22.24;0.58;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-20.70;-0.26;-14.13;-0.04;21.18;0.60;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-21.01;0.14;-17.34;0.10;21.14;0.58;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-21.16;0.12;-18.83;0.09;-8.70;0.35;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-21.47;0.21;-22.04;0.12;-8.74;0.35;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-21.63;0.16;-23.52;0.10;-46.33;0.12;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-21.94;0.33;-26.72;0.16;-46.37;0.11;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-22.12;0.22;-28.19;0.13;-91.67;-0.07;Beam | 1 - IPE 500 | L : 1.650 m
