No.;;;;;Load;Member Load Parameters;;;;;;;;;;;;;;;;;;
;Assigned to Members No.;Load Type;Load Distribution;Coordinate System;Direction;p [kN/m];;;;;;;;;;;;;;;;;Options;Comment
48;36;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
49;37;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
50;38;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
51;39;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
52;40;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
53;41;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
54;42;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
55;214;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
56;215;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
57;216;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
58;217;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
59;218;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
60;219;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
61;220;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
62;221;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
63;222;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
64;223;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
65;224;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
66;225;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
