Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-0.6;0.9;0.0;
2;0.7;-0.3;-0.7;0.0;0.2;-1.4;-1.2;
3;1.7;0.1;-1.7;0.1;-6.0;0.5;0.6;
4;2.2;0.0;-2.2;0.1;-3.2;0.0;0.0;
5;1.7;-0.1;-1.7;0.1;-5.9;-0.3;-0.6;
6;0.7;0.3;-0.7;0.0;0.2;1.5;1.2;
7;0.0;0.0;0.0;0.0;-0.6;-1.0;0.0;
8;0.0;0.0;0.0;0.0;-0.9;-0.4;0.0;
9;0.0;0.0;0.0;0.0;-1.2;-0.4;0.0;
10;0.0;0.0;0.0;0.0;-0.9;-0.3;0.0;
11;0.0;0.0;0.0;0.0;-0.1;1.8;0.0;
12;3.0;-2.9;-0.6;0.1;-0.2;-1.8;-0.3;
13;21.1;-0.9;-1.7;21.0;-5.7;-4.5;0.5;
14;33.8;0.3;-2.2;33.7;-3.1;0.0;0.0;
15;21.0;1.5;-1.7;20.9;-5.6;4.5;-0.5;
16;3.5;3.5;-0.6;0.1;-0.2;1.7;0.3;
17;0.0;0.0;0.0;0.0;-0.1;-2.0;0.0;
18;0.0;0.0;0.0;0.0;-0.2;1.7;0.0;
19;2.8;-2.7;-0.8;0.1;-0.2;-1.7;-0.2;
20;20.1;-0.8;-1.8;20.0;-5.4;-4.2;0.5;
21;31.9;0.3;-2.2;31.8;-2.9;0.0;0.0;
22;19.9;1.4;-1.8;19.8;-5.3;4.2;-0.5;
23;3.3;3.2;-0.8;0.1;-0.2;1.6;0.2;
24;0.0;0.0;0.0;0.0;-0.2;-1.9;0.0;
25;0.0;0.0;0.0;0.0;-0.2;1.7;0.0;
26;2.9;-2.8;-0.8;0.1;-0.2;-1.7;-0.2;
27;20.3;-0.9;-1.8;20.2;-5.2;-4.3;0.4;
28;32.4;0.3;-2.4;32.3;-2.6;0.0;0.0;
29;20.2;1.4;-1.8;20.1;-5.1;4.3;-0.4;
30;3.4;3.3;-0.8;0.1;-0.2;1.6;0.2;
31;0.0;0.0;0.0;0.0;-0.2;-1.9;0.0;
32;0.0;0.0;0.0;0.0;-0.2;1.7;0.0;
33;2.9;-2.8;-0.9;0.1;-0.2;-1.7;-0.2;
34;20.4;-0.9;-1.9;20.3;-5.1;-4.3;0.4;
35;32.5;0.3;-2.4;32.4;-2.4;0.0;0.0;
36;20.3;1.4;-1.9;20.1;-5.0;4.3;-0.4;
37;3.4;3.3;-0.9;0.1;-0.2;1.6;0.2;
38;0.0;0.0;0.0;0.0;-0.2;-1.9;0.0;
39;0.0;0.0;0.0;0.0;-1.3;1.3;0.0;
40;1.0;-0.4;-0.9;0.0;0.7;-1.7;-1.9;
41;2.0;0.1;-2.0;0.1;-5.8;0.5;0.6;
42;2.5;0.0;-2.5;0.1;-2.6;0.0;0.0;
43;2.0;-0.1;-2.0;0.1;-5.7;-0.3;-0.6;
44;1.0;0.3;-0.9;0.0;0.7;1.8;1.9;
45;0.0;0.0;0.0;0.0;-1.3;-1.4;0.0;
46;0.0;0.0;0.0;0.0;-1.7;-0.4;0.0;
47;0.0;0.0;0.0;0.0;-2.2;-0.4;0.0;
48;0.0;0.0;0.0;0.0;-1.6;-0.3;0.0;
49;5.7;-2.3;-1.3;5.1;-2.2;-3.8;0.0;
50;12.6;-1.6;-1.7;12.3;-3.8;-4.6;0.2;
51;20.1;-0.9;-1.9;19.9;-5.1;-4.3;0.4;
52;32.5;0.3;-2.4;32.4;-2.5;-0.1;0.0;
53;30.8;0.1;-2.2;30.8;-3.5;-1.8;0.2;
54;26.5;-0.3;-2.0;26.4;-4.4;-3.3;0.4;
55;5.7;-2.3;-1.3;5.1;-2.3;-3.8;0.0;
57;12.5;-1.6;-1.6;12.3;-4.0;-4.6;0.2;
58;20.0;-0.9;-1.8;19.9;-5.3;-4.3;0.4;
59;26.4;-0.3;-1.9;26.3;-4.7;-3.3;0.4;
60;30.7;0.1;-2.0;30.7;-3.8;-1.8;0.3;
62;32.5;0.3;-2.4;32.4;-2.5;0.2;0.0;
63;32.4;0.3;-2.3;32.3;-2.7;-0.1;0.0;
64;5.9;2.9;-1.3;5.0;-2.2;3.8;0.0;
65;12.5;2.2;-1.7;12.2;-3.8;4.6;-0.2;
66;19.9;1.4;-1.9;19.8;-5.0;4.3;-0.4;
67;30.8;0.4;-2.2;30.7;-3.4;1.9;-0.2;
68;26.4;0.8;-2.0;26.3;-4.3;3.3;-0.4;
69;5.9;2.8;-1.3;5.0;-2.3;3.8;0.0;
71;12.5;2.2;-1.6;12.2;-3.9;4.6;-0.2;
72;19.9;1.4;-1.8;19.7;-5.2;4.3;-0.4;
73;26.3;0.8;-1.9;26.2;-4.6;3.3;-0.4;
74;30.7;0.4;-2.0;30.6;-3.7;1.9;-0.3;
