Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;0.0;-0.1;-0.6;
8;4;;0.0;0.0;0.0;0.0;0.0;0.1;-0.1;
9;5;;0.0;0.0;0.0;0.0;0.0;-0.1;0.4;
40;41;;0.0;0.0;0.0;0.0;0.0;0.0;-0.6;
41;42;;0.0;0.0;0.0;0.0;0.0;0.1;-0.1;
42;43;;0.0;0.0;0.0;0.0;0.0;0.0;0.4;
90;55;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
90;49;;0.0;0.0;0.0;0.0;0.0;-9.0;-26.4;
92;26;;0.0;0.0;0.0;0.0;0.0;-5.2;-13.8;
92;33;;0.0;0.0;0.0;0.0;0.0;-4.5;-13.6;
93;57;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
93;50;;0.0;0.0;0.0;0.0;0.0;-9.1;-26.4;
95;58;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
95;51;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
97;59;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
97;54;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
99;60;;0.0;0.0;0.0;0.0;0.0;-9.4;-26.5;
99;53;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.4;
101;83;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
101;55;;0.0;0.0;0.0;0.0;0.0;-9.1;-26.4;
102;64;;0.0;0.0;0.0;0.0;0.0;-9.0;-26.4;
102;69;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
103;37;;0.0;0.0;0.0;0.0;0.0;-4.5;-13.6;
103;30;;0.0;0.0;0.0;0.0;0.0;-5.2;-13.8;
104;65;;0.0;0.0;0.0;0.0;0.0;-9.1;-26.4;
104;71;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
105;66;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
105;72;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
106;68;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
106;73;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
107;67;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.4;
107;74;;0.0;0.0;0.0;0.0;0.0;-9.4;-26.5;
108;19;;0.0;0.0;0.0;0.0;0.0;-5.2;-13.8;
108;26;;0.0;0.0;0.0;0.0;0.0;-4.5;-13.6;
119;63;;0.0;0.0;0.0;0.0;0.0;-5.7;-16.0;
119;52;;0.0;0.0;0.0;0.0;0.0;-5.6;-16.0;
121;62;;0.0;0.0;0.0;0.0;0.0;-5.6;-16.0;
121;76;;0.0;0.0;0.0;0.0;0.0;-5.7;-16.0;
124;84;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
124;57;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
125;85;;0.0;0.0;0.0;0.0;0.0;-9.4;-26.5;
125;58;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
126;86;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.5;
126;59;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.5;
127;87;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.5;
127;60;;0.0;0.0;0.0;0.0;0.0;-9.4;-26.5;
128;69;;0.0;0.0;0.0;0.0;0.0;-9.1;-26.4;
128;95;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
129;30;;0.0;0.0;0.0;0.0;0.0;-4.5;-13.6;
129;23;;0.0;0.0;0.0;0.0;0.0;-5.2;-13.8;
130;71;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
130;96;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
131;72;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.4;
131;97;;0.0;0.0;0.0;0.0;0.0;-9.4;-26.5;
132;73;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.5;
132;98;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.5;
133;74;;0.0;0.0;0.0;0.0;0.0;-9.4;-26.5;
133;99;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.5;
134;89;;0.0;0.0;0.0;0.0;0.0;-5.5;-16.0;
134;63;;0.0;0.0;0.0;0.0;0.0;-5.8;-16.0;
135;76;;0.0;0.0;0.0;0.0;0.0;-5.8;-16.0;
135;100;;0.0;0.0;0.0;0.0;0.0;-5.5;-16.0;
148;111;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
148;83;;0.0;0.0;0.0;0.0;0.0;-9.1;-26.4;
149;12;;0.0;0.0;0.0;0.0;0.0;-5.2;-13.8;
149;19;;0.0;0.0;0.0;0.0;0.0;-4.5;-13.6;
150;112;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
150;84;;0.0;0.0;0.0;0.0;0.0;-9.1;-26.4;
151;113;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
151;85;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
152;114;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
152;86;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
153;115;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
153;87;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.5;
154;95;;0.0;0.0;0.0;0.0;0.0;-9.1;-26.4;
154;123;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
155;23;;0.0;0.0;0.0;0.0;0.0;-4.5;-13.6;
155;16;;0.0;0.0;0.0;0.0;0.0;-5.2;-13.8;
156;96;;0.0;0.0;0.0;0.0;0.0;-9.1;-26.4;
156;124;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
157;97;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
157;125;;0.0;0.0;0.0;0.0;0.0;-9.6;-26.5;
158;98;;0.0;0.0;0.0;0.0;0.0;-9.2;-26.4;
158;126;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
159;99;;0.0;0.0;0.0;0.0;0.0;-9.3;-26.5;
159;127;;0.0;0.0;0.0;0.0;0.0;-9.5;-26.5;
160;117;;0.0;0.0;0.0;0.0;0.0;-5.8;-16.0;
160;89;;0.0;0.0;0.0;0.0;0.0;-5.6;-16.0;
161;100;;0.0;0.0;0.0;0.0;0.0;-5.6;-16.0;
161;128;;0.0;0.0;0.0;0.0;0.0;-5.8;-16.0;
174;139;;0.0;0.0;0.0;0.0;0.0;-10.3;-26.1;
174;111;;0.0;0.0;0.0;0.0;0.0;-8.5;-26.8;
175;2;;0.1;-0.1;0.0;0.0;0.0;-5.1;-13.0;
175;12;;0.0;0.0;0.0;0.0;0.0;-4.4;-14.4;
176;140;;0.0;0.0;0.0;0.0;0.0;-12.2;-26.8;
176;112;;0.0;0.0;0.0;0.0;0.0;-6.4;-26.2;
177;141;;0.0;0.0;0.0;0.0;0.0;-15.1;-27.3;
177;113;;0.0;0.0;0.0;0.0;0.0;-3.6;-25.7;
178;142;;0.0;0.0;0.0;0.0;0.0;-16.6;-27.4;
178;114;;0.0;0.0;0.0;0.0;0.0;-2.2;-25.6;
179;143;;0.0;0.0;0.0;0.0;0.0;-17.7;-27.5;
179;115;;0.0;0.0;0.0;0.0;0.0;-1.1;-25.4;
180;123;;0.0;0.0;0.0;0.0;0.0;-8.4;-26.8;
180;151;;0.0;0.0;0.0;0.0;0.0;-10.3;-26.1;
181;16;;0.0;0.0;0.0;0.0;0.0;-4.4;-14.4;
181;6;;0.1;-0.1;0.0;0.0;0.0;-5.1;-13.0;
182;124;;0.0;0.0;0.0;0.0;0.0;-6.3;-26.2;
182;152;;0.0;0.0;0.0;0.0;0.0;-12.3;-26.8;
183;125;;0.0;0.0;0.0;0.0;0.0;-3.5;-25.7;
183;153;;0.0;0.0;0.0;0.0;0.0;-15.2;-27.3;
184;126;;0.0;0.0;0.0;0.0;0.0;-2.1;-25.6;
184;154;;0.0;0.0;0.0;0.0;0.0;-16.6;-27.4;
185;127;;0.0;0.0;0.0;0.0;0.0;-1.0;-25.4;
185;155;;0.0;0.0;0.0;0.0;0.0;-17.7;-27.5;
186;145;;0.0;0.0;0.0;0.0;0.0;-14.9;-17.1;
186;117;;0.0;0.0;0.0;0.0;0.0;3.6;-15.0;
187;128;;0.0;0.0;0.0;0.0;0.0;3.6;-15.0;
