Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;2.2;1.5;0.0;
2;1.5;-0.4;1.4;0.0;-1.2;-1.7;3.2;
3;3.1;0.1;3.1;0.1;10.0;0.5;-1.1;
4;3.9;0.0;3.9;0.1;5.0;0.0;0.0;
5;3.1;-0.1;3.1;0.1;9.9;-0.3;1.1;
6;1.4;0.3;1.4;0.0;-1.3;1.7;-3.2;
7;0.0;0.0;0.0;0.0;2.2;-1.6;0.0;
8;0.0;0.0;0.0;0.0;2.7;-0.3;0.0;
9;0.0;0.0;0.0;0.0;3.6;-0.3;0.0;
10;0.0;0.0;0.0;0.0;2.7;-0.3;0.0;
11;0.0;0.0;0.0;0.0;0.3;1.3;0.0;
12;2.3;-1.9;1.3;0.1;0.4;-1.3;0.4;
13;14.9;-0.5;3.0;14.6;8.8;-3.1;-0.7;
14;23.4;0.2;3.8;23.1;4.6;0.0;0.0;
15;14.8;1.0;3.0;14.4;8.7;3.1;0.7;
16;2.7;2.3;1.3;0.1;0.4;1.2;-0.4;
17;0.0;0.0;0.0;0.0;0.3;-1.4;0.0;
18;0.0;0.0;0.0;0.0;0.3;1.4;0.0;
19;2.5;-2.3;1.1;0.1;0.3;-1.4;0.4;
20;16.5;-0.7;2.8;16.2;9.2;-3.5;-0.8;
21;26.4;0.2;3.7;26.1;4.9;0.0;0.0;
22;16.4;1.2;2.8;16.1;9.0;3.5;0.8;
23;2.9;2.7;1.1;0.1;0.3;1.3;-0.4;
24;0.0;0.0;0.0;0.0;0.3;-1.6;0.0;
25;0.0;0.0;0.0;0.0;0.3;1.3;0.0;
26;2.4;-2.1;1.2;0.1;0.3;-1.3;0.4;
27;15.2;-0.6;2.9;14.9;9.0;-3.2;-0.7;
28;24.1;0.2;3.8;23.8;4.6;0.0;0.0;
29;15.1;1.0;2.9;14.8;8.8;3.2;0.7;
30;2.7;2.4;1.1;0.1;0.3;1.2;-0.4;
31;0.0;0.0;0.0;0.0;0.3;-1.4;0.0;
32;0.0;0.0;0.0;0.0;0.3;1.3;0.0;
33;2.4;-2.1;1.2;0.1;0.3;-1.3;0.4;
34;15.2;-0.6;2.9;14.9;8.9;-3.2;-0.7;
35;24.1;0.2;3.9;23.8;4.4;0.0;0.0;
36;15.1;1.0;2.9;14.8;8.7;3.2;0.7;
37;2.7;2.4;1.2;0.1;0.3;1.2;-0.4;
38;0.0;0.0;0.0;0.0;0.3;-1.4;0.0;
39;0.0;0.0;0.0;0.0;1.1;0.9;0.0;
40;1.2;-0.3;1.2;0.0;-0.4;-1.2;1.9;
41;3.0;0.1;3.0;0.1;9.4;0.4;-0.9;
42;3.9;0.0;3.9;0.1;4.6;0.0;0.0;
43;3.0;-0.1;3.0;0.1;9.2;-0.2;0.9;
44;1.2;0.2;1.2;0.0;-0.4;1.3;-1.9;
45;0.0;0.0;0.0;0.0;1.1;-1.0;0.0;
46;0.0;0.0;0.0;0.0;1.5;-0.3;0.0;
47;0.0;0.0;0.0;0.0;2.0;-0.3;0.0;
48;0.0;0.0;0.0;0.0;1.5;-0.2;0.0;
49;4.5;-1.7;1.9;3.7;4.0;-2.8;0.0;
50;9.5;-1.2;2.5;9.1;6.8;-3.4;-0.4;
51;15.0;-0.7;2.9;14.7;8.9;-3.2;-0.7;
52;24.1;0.2;3.8;23.8;4.6;-0.1;0.0;
53;22.9;0.1;3.3;22.6;6.3;-1.3;-0.5;
54;19.7;-0.2;3.1;19.4;7.8;-2.4;-0.7;
55;4.5;-1.7;1.9;3.7;4.1;-2.8;0.0;
57;9.5;-1.2;2.5;9.1;6.9;-3.4;-0.4;
58;15.0;-0.7;2.9;14.7;9.1;-3.2;-0.7;
59;19.7;-0.2;3.0;19.4;8.1;-2.4;-0.7;
60;22.9;0.1;3.2;22.6;6.6;-1.3;-0.5;
62;24.1;0.2;3.8;23.8;4.6;0.1;0.0;
63;24.1;0.2;3.7;23.8;4.8;-0.1;-0.1;
64;4.6;2.1;1.9;3.7;4.0;2.8;0.0;
65;9.4;1.6;2.5;9.0;6.7;3.4;0.4;
66;14.9;1.1;2.9;14.6;8.7;3.2;0.7;
67;22.8;0.3;3.3;22.6;6.2;1.4;0.4;
68;19.6;0.6;3.1;19.3;7.7;2.5;0.7;
69;4.6;2.1;1.9;3.7;4.1;2.8;0.0;
71;9.4;1.6;2.5;9.0;6.8;3.4;0.4;
72;14.9;1.1;2.8;14.6;8.9;3.2;0.7;
73;19.6;0.6;3.0;19.3;7.9;2.5;0.7;
74;22.8;0.3;3.2;22.6;6.5;1.4;0.5;
76;24.1;0.2;3.7;23.8;4.8;0.1;0.1;
83;4.8;-1.9;1.9;4.1;4.2;-3.0;0.0;
84;10.2;-1.3;2.4;9.8;7.0;-3.7;-0.4;
85;16.2;-0.7;2.8;16.0;9.2;-3.5;-0.8;
86;21.4;-0.2;3.0;21.2;8.3;-2.7;-0.8;
87;25.0;0.1;3.1;24.8;6.9;-1.5;-0.5;
89;26.4;0.2;3.6;26.1;5.1;-0.1;-0.1;
95;5.0;2.4;1.8;4.0;4.2;3.0;0.0;
96;10.2;1.8;2.4;9.7;6.9;3.7;0.4;
97;16.1;1.2;2.8;15.8;9.1;3.5;0.8;
98;21.3;0.7;3.0;21.1;8.2;2.7;0.7;
99;24.9;0.4;3.1;24.7;6.8;1.5;0.5;
100;26.4;0.2;3.6;26.1;5.1;0.1;0.1;
111;4.5;-1.6;2.0;3.7;3.7;-2.8;0.0;
112;9.3;-1.1;2.6;8.9;6.6;-3.3;-0.4;
113;14.6;-0.6;2.9;14.3;8.9;-3.1;-0.7;
114;19.2;-0.1;3.1;18.9;7.9;-2.3;-0.7;
115;22.2;0.1;3.3;21.9;6.6;-1.3;-0.5;
116;4.9;0.0;4.3;2.4;-2.2;-0.9;1.5;
117;23.4;0.2;3.7;23.1;4.9;-0.1;-0.1;
118;5.2;0.4;4.7;2.2;0.9;1.1;0.0;
119;3.2;0.1;3.2;0.1;8.2;0.6;-0.8;
120;4.3;-0.1;4.1;1.0;5.1;-0.8;-0.3;
121;4.5;0.2;4.3;1.3;3.7;0.5;-0.7;
122;4.0;0.0;4.0;0.1;4.2;0.2;-0.1;
123;4.6;2.0;2.0;3.6;3.7;2.7;0.0;
124;9.3;1.5;2.6;8.8;6.5;3.3;0.4;
125;14.5;1.0;2.9;14.2;8.7;3.1;0.7;
126;19.1;0.6;3.1;18.8;7.8;2.4;0.7;
127;22.1;0.3;3.3;21.9;6.5;1.3;0.5;
128;23.3;0.2;3.7;23.0;4.8;0.1;0.1;
129;4.9;-0.1;4.3;2.4;-2.5;0.9;-1.4;
130;5.2;-0.4;4.7;2.1;0.7;-1.1;0.0;
131;3.2;-0.1;3.2;0.1;8.0;-0.4;0.8;
132;4.3;0.0;4.1;1.2;5.1;0.8;0.3;
133;4.5;-0.3;4.3;1.4;3.7;-0.6;0.7;
134;4.0;-0.1;4.0;0.1;4.2;-0.3;0.1;
139;7.9;0.0;7.4;2.8;-10.7;-1.0;2.8;
140;7.8;0.4;7.4;2.5;-6.5;1.2;0.0;
141;3.6;0.1;3.6;0.1;7.1;0.7;-0.9;
142;5.5;-0.1;5.4;1.0;1.6;-0.8;0.4;
143;5.8;0.2;5.7;1.3;-0.1;0.5;-0.6;
145;4.1;0.0;4.1;0.1;3.8;0.2;-0.2;
151;7.9;-0.1;7.4;2.8;-11.2;0.9;-2.8;
152;7.8;-0.4;7.4;2.4;-6.7;-1.3;0.0;
153;3.6;-0.1;3.6;0.1;7.0;-0.5;0.9;
154;5.5;0.0;5.4;1.1;1.6;0.8;-0.4;
155;5.8;-0.2;5.6;1.4;0.0;-0.6;0.6;
156;4.1;-0.1;4.1;0.1;3.8;-0.2;0.1;
Total;26.4;2.7;7.4;26.1;10.0;3.7;3.2;
max/min;0.0;-2.3;0.0;0.0;-11.2;-3.7;-3.2;
