Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
125;85;Min.;0.0;0.0;0.0;0.0;0.0;-20.2;-28.5;
125;58;Max.;0.0;0.0;0.0;0.0;0.0;10.2;-6.8;
125;58;Min.;0.0;0.0;0.0;0.0;0.0;-20.1;-28.4;
126;86;Max.;0.0;0.0;0.0;0.0;0.0;9.7;-6.5;
126;86;Min.;0.0;0.0;0.0;0.0;0.0;-19.0;-28.1;
126;59;Max.;0.0;0.0;0.0;0.0;0.0;8.7;-6.8;
126;59;Min.;0.0;0.0;0.0;0.0;0.0;-18.8;-28.0;
127;87;Max.;0.0;0.0;0.0;0.0;0.0;7.7;-7.1;
127;87;Min.;0.0;0.0;0.0;0.0;0.0;-17.0;-27.7;
127;60;Max.;0.0;0.0;0.0;0.0;0.0;6.7;-7.3;
127;60;Min.;0.0;0.0;0.0;0.0;0.0;-16.8;-27.6;
128;69;Max.;0.0;0.0;0.0;0.0;0.0;2.7;-8.6;
128;69;Min.;0.0;0.0;0.0;0.0;0.0;-13.1;-26.9;
128;95;Max.;0.0;0.0;0.0;0.0;0.0;3.1;-8.5;
128;95;Min.;0.0;0.0;0.0;0.0;0.0;-13.2;-27.1;
129;30;Max.;0.0;0.0;0.0;0.0;0.0;-0.9;-4.3;
129;30;Min.;0.0;0.0;0.0;0.0;0.0;-5.2;-14.1;
129;23;Max.;0.1;0.1;0.0;0.0;0.0;-1.2;-4.4;
129;23;Min.;0.1;-0.1;0.0;0.0;0.0;-5.6;-14.1;
130;71;Max.;0.0;0.0;0.0;0.0;0.0;6.7;-7.5;
130;71;Min.;0.0;0.0;0.0;0.0;0.0;-16.6;-27.5;
130;96;Max.;0.0;0.0;0.0;0.0;0.0;7.3;-7.4;
130;96;Min.;0.0;0.0;0.0;0.0;0.0;-16.7;-27.6;
131;72;Max.;0.0;0.0;0.0;0.0;0.0;9.9;-6.8;
131;72;Min.;0.0;0.0;0.0;0.0;0.0;-19.9;-28.4;
131;97;Max.;0.0;0.0;0.0;0.0;0.0;10.6;-6.7;
131;97;Min.;0.0;0.0;0.0;0.0;0.0;-20.0;-28.4;
132;73;Max.;0.0;0.0;0.0;0.0;0.0;8.6;-6.8;
