Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;-0.2;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;-0.2;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;3.3;0.0;-3.3;0.2;1.2;0.0;-1.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;3.3;0.0;-3.3;0.2;1.2;0.0;-1.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;3.5;0.0;-3.5;0.2;1.4;0.1;-0.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.190;;3.5;0.0;-3.5;0.2;1.8;0.1;0.5;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;0.2;0.0;-0.1;0.2;3.3;-0.5;2.6;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;0.2;0.0;-0.1;0.2;3.3;-0.5;2.6;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;-0.2;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_x;0.2;0.0;-0.1;0.2;3.3;-0.5;2.6;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;-0.2;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_y;3.6;0.0;-3.5;0.2;1.7;0.1;0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_z;0.2;0.0;-0.1;0.2;3.3;-0.5;2.6;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;-0.2;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_x;0.2;0.0;-0.1;0.2;3.3;-0.5;2.6;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;-0.2;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;φ_y;3.2;0.0;-3.2;0.1;2.1;0.1;1.1;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_y;0.2;0.0;-0.1;0.2;3.3;-0.5;2.6;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_z;0.2;0.0;-0.1;0.2;3.3;-0.5;2.6;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;-0.2;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;3.6;0.0;0.0;0.2;3.3;0.1;2.6;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;0.0;-3.5;0.0;0.0;-0.5;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
2;2;0.000;;0.6;0.3;0.5;0.1;2.9;-0.5;-3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;2.1;0.3;-1.9;0.9;11.2;-1.2;-2.5;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;2.1;0.3;-1.9;0.9;11.2;-1.2;-2.5;Beam | 3 - HEA 140 | L : 1.650 m
2;;1.005;;2.6;0.3;-2.4;1.1;13.0;-1.2;-2.3;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;4.0;0.3;-3.5;1.9;19.4;-0.9;-1.2;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;2;0.000;u_x;0.6;0.3;0.5;0.1;2.9;-0.5;-3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_x;4.0;0.3;-3.5;1.9;19.4;-0.9;-1.2;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_y;0.6;0.3;0.5;0.1;2.9;-0.5;-3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_y;4.0;0.3;-3.5;1.9;19.4;-0.9;-1.2;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_z;4.0;0.3;-3.5;1.9;19.4;-0.9;-1.2;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_z;0.6;0.3;0.5;0.1;2.9;-0.5;-3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_x;4.0;0.3;-3.5;1.9;19.4;-0.9;-1.2;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_x;0.6;0.3;0.5;0.1;2.9;-0.5;-3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_y;0.6;0.3;0.5;0.1;2.9;-0.5;-3.1;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.990;φ_y;2.6;0.3;-2.3;1.1;12.8;-1.2;-2.3;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_z;4.0;0.3;-3.5;1.9;19.4;-0.9;-1.2;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_z;0.6;0.3;0.5;0.1;2.9;-0.5;-3.1;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;4.0;0.3;0.5;1.9;19.4;-0.5;-1.2;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;0.4;0.3;-3.5;0.1;2.9;-1.2;-3.1;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;;
3;3;0.000;;0.5;0.3;-0.4;0.1;-1.4;0.2;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;0.8;0.3;-0.6;0.5;3.2;-0.8;-0.8;Beam | 3 - HEA 140 | L : 1.575 m
