Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.80;-1.83;0.30;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.80;-1.83;0.30;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-8.34;-0.28;-0.73;0.00;-0.32;1.59;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-8.34;-0.29;-0.73;0.00;-0.32;1.59;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-8.27;-0.04;-0.88;0.00;-0.51;1.62;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.190;;-8.13;0.39;-1.13;0.00;-0.97;1.54;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.58;1.14;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.58;1.14;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-7.58;1.14;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.80;-1.83;0.30;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-7.58;1.14;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.80;-1.83;0.30;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.80;-1.83;0.30;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-7.58;1.14;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_T;-8.80;-1.83;0.30;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-7.58;1.14;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
1;;0.500;M_y;-8.65;-1.31;-0.04;0.00;0.06;0.79;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-7.58;1.14;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-8.27;-0.04;-0.88;0.00;-0.51;1.62;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-7.58;1.14;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-7.58;1.14;0.30;0.00;0.06;1.62;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-8.80;-1.83;-1.58;0.00;-3.56;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-2.93;-0.79;4.85;0.05;-4.18;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;-2.90;-0.59;4.65;0.04;-0.26;0.60;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;-2.90;-0.59;4.65;0.04;-0.26;0.60;Beam | 3 - HEA 140 | L : 1.650 m
2;;1.005;;-2.90;-0.50;4.61;0.04;0.58;0.70;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-2.89;-0.04;4.44;0.04;3.50;0.87;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-2.89;-0.04;4.44;0.04;3.50;0.87;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-2.93;-0.79;4.85;0.05;-4.18;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;-2.89;-0.04;4.44;0.04;3.50;0.87;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;-2.93;-0.79;4.85;0.05;-4.18;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;-2.93;-0.79;4.85;0.05;-4.18;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;-2.89;-0.04;4.44;0.04;3.50;0.87;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;-2.93;-0.79;4.85;0.05;-4.18;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;-2.89;-0.04;4.44;0.04;3.50;0.87;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;-2.89;-0.04;4.44;0.04;3.50;0.87;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;-2.93;-0.79;4.85;0.05;-4.18;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;-2.89;-0.04;4.44;0.04;3.50;0.87;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;-2.93;-0.79;4.85;0.05;-4.18;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-2.89;-0.04;4.85;0.05;3.50;0.87;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-2.93;-0.79;4.44;0.04;-4.18;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-3.01;-1.00;5.49;0.02;-6.23;-1.15;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;-2.98;-0.88;5.31;0.02;-1.98;-0.38;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;-2.98;-0.88;5.31;0.02;-1.98;-0.38;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-2.96;-0.54;5.11;0.02;2.13;0.19;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;-2.96;-0.54;5.11;0.02;2.13;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;-3.01;-1.00;5.49;0.02;-6.23;-1.15;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;-2.96;-0.54;5.11;0.02;2.13;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;-3.01;-1.00;5.49;0.02;-6.23;-1.15;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;-3.01;-1.00;5.49;0.02;-6.23;-1.15;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;-2.96;-0.54;5.11;0.02;2.13;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.591;M_T;-2.99;-0.93;5.35;0.02;-3.03;-0.56;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_T;-3.01;-1.00;5.49;0.02;-6.23;-1.15;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;-2.96;-0.54;5.11;0.02;2.13;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;-3.01;-1.00;5.49;0.02;-6.23;-1.15;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;-2.96;-0.54;5.11;0.02;2.13;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;-3.01;-1.00;5.49;0.02;-6.23;-1.15;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-2.96;-0.54;5.49;0.02;2.13;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-3.01;-1.00;5.11;0.02;-6.23;-1.15;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;0.52;-0.47;7.37;0.02;-5.40;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;0.52;-0.47;7.35;0.02;-4.84;-0.64;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;0.52;-0.47;7.35;0.02;-4.84;-0.64;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;0.52;-0.46;7.33;0.02;-4.29;-0.60;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;N;0.52;-0.47;7.37;0.02;-5.40;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;N;0.52;-0.46;7.33;0.02;-4.29;-0.60;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_y;0.52;-0.46;7.33;0.02;-4.29;-0.60;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_y;0.52;-0.47;7.37;0.02;-5.40;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_z;0.52;-0.47;7.37;0.02;-5.40;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_z;0.52;-0.46;7.33;0.02;-4.29;-0.60;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_T;0.52;-0.46;7.33;0.02;-4.29;-0.60;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_T;0.52;-0.47;7.37;0.02;-5.40;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_y;0.52;-0.46;7.33;0.02;-4.29;-0.60;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_y;0.52;-0.47;7.37;0.02;-5.40;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_z;0.52;-0.46;7.33;0.02;-4.29;-0.60;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_z;0.52;-0.47;7.37;0.02;-5.40;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
