Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
125;19.9;1.4;0.0;19.9;-0.1;4.4;0.0;
126;26.4;0.8;0.0;26.4;-0.1;3.4;0.0;
127;30.8;0.4;0.0;30.8;-0.1;1.9;0.0;
128;32.5;0.3;0.0;32.5;-0.1;0.2;0.0;
129;3.0;-0.1;0.0;3.0;0.0;1.2;0.0;
130;2.8;-0.6;0.0;2.8;0.0;-1.4;0.0;
131;0.2;-0.1;0.0;0.1;0.0;-0.4;0.0;
132;1.7;0.0;0.0;1.7;0.0;1.1;0.0;
133;2.1;-0.4;0.0;2.0;0.0;-0.9;0.0;
134;0.2;-0.1;0.0;0.2;0.0;-0.3;0.0;
139;3.0;0.0;0.0;3.0;-0.1;-1.2;0.0;
140;2.8;0.5;0.0;2.8;-0.1;1.4;0.0;
141;0.2;0.1;0.0;0.1;-0.1;0.6;0.0;
142;1.6;-0.1;0.0;1.6;-0.1;-1.1;0.0;
143;2.0;0.3;0.0;1.9;-0.1;0.8;0.0;
145;0.1;0.0;0.0;0.1;-0.1;0.3;0.0;
151;3.0;-0.1;0.0;3.0;-0.1;1.2;0.0;
152;2.8;-0.6;0.0;2.8;-0.1;-1.4;0.0;
153;0.2;-0.1;0.0;0.1;-0.1;-0.4;0.0;
154;1.7;0.0;0.0;1.7;-0.1;1.1;0.0;
155;2.1;-0.4;0.0;2.0;-0.1;-0.9;0.0;
156;0.2;-0.1;0.0;0.2;-0.1;-0.3;0.0;
Total;32.5;3.3;0.0;32.5;0.0;4.6;0.0;
max/min;0.0;-2.8;0.0;0.0;-0.1;-4.6;0.0;
