Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.57;-1.29;-2.81;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.57;-1.29;-2.81;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.96;-0.18;-1.08;0.01;-2.92;1.11;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.96;-0.18;-1.08;0.01;-2.92;1.11;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-7.87;-0.01;-0.82;0.01;-3.15;1.13;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-6.94;0.83;0.31;0.01;-3.26;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-6.94;0.83;0.31;0.01;-3.26;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-6.94;0.83;0.31;0.01;-3.26;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.57;-1.29;-2.81;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-6.94;0.83;0.31;0.01;-3.26;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.57;-1.29;-2.81;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-6.94;0.83;0.31;0.01;-3.26;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.57;-1.29;-2.81;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-8.17;-0.55;-1.66;0.01;-2.24;0.92;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-6.94;0.83;0.31;0.01;-3.26;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-8.57;-1.29;-2.81;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.667;M_y;-7.48;0.54;-0.06;0.01;-3.52;0.86;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-7.87;-0.01;-0.82;0.01;-3.15;1.13;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-6.94;0.83;0.31;0.01;-3.26;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-6.94;0.83;0.31;0.01;0.00;1.13;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-8.57;-1.29;-2.81;0.01;-3.52;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;1.47;-0.68;4.62;0.01;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;1.52;-0.23;4.08;0.00;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;1.52;-0.23;4.08;0.00;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;1.47;-0.68;4.62;0.01;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;1.52;-0.23;4.08;0.00;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;1.47;-0.68;4.62;0.01;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;1.47;-0.68;4.62;0.01;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;1.52;-0.23;4.08;0.00;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;1.47;-0.68;4.62;0.01;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;1.52;-0.23;4.08;0.00;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;1.52;-0.23;4.08;0.00;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;1.47;-0.68;4.62;0.01;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;1.52;-0.23;4.08;0.00;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;1.47;-0.68;4.62;0.01;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;1.52;-0.23;4.62;0.01;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;1.47;-0.68;4.08;0.00;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;0.80;-0.81;5.66;0.03;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;0.87;-0.37;5.15;0.02;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;0.87;-0.37;5.15;0.02;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;0.80;-0.81;5.66;0.03;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;0.87;-0.37;5.15;0.02;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;0.80;-0.81;5.66;0.03;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;0.80;-0.81;5.66;0.03;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;0.87;-0.37;5.15;0.02;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.394;M_T;0.82;-0.77;5.53;0.03;-4.39;-0.41;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;0.87;-0.37;5.15;0.02;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;0.87;-0.37;5.15;0.02;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;0.80;-0.81;5.66;0.03;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;0.87;-0.37;5.15;0.02;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;0.80;-0.81;5.66;0.03;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;0.87;-0.37;5.66;0.03;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;0.80;-0.81;5.15;0.02;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;2.80;-0.93;7.16;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;N;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;N;2.80;-0.93;7.16;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_y;2.80;-0.93;7.16;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_y;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_z;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_z;2.80;-0.93;7.16;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_T;2.80;-0.93;7.16;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_T;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_y;2.80;-0.93;7.16;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_y;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_z;2.80;-0.93;7.16;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_z;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;2.80;-0.93;7.21;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;2.80;-0.94;7.16;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;3.00;-0.44;9.95;0.15;-6.71;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
