No.;;;;;Load;Member Load Parameters;;;;;;;;;;;;;;;;;;
;Assigned to Members No.;Load Type;Load Distribution;Coordinate System;Direction;p [kN/m];;;;;;;;;;;;;;;;;Options;Comment
1;90;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
2;92;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
3;93;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
4;95;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
5;97;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
6;99;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
7;101;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
8;108;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
9;119;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
10;121;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
11;124;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
12;125;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
13;126;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
14;127;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
15;134;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
16;135;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
17;148;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
18;149;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
19;150;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
20;151;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
21;152;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
22;153;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
23;160;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
24;161;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
25;174;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
26;175;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
27;176;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
28;177;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
29;178;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
30;179;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
31;186;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
32;187;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
33;200;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
34;201;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
35;202;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
36;203;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
37;204;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
38;205;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
39;212;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
40;213;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
41;102;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
42;103;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
43;104;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
44;105;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
45;106;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
46;107;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
47;128;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
48;129;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
49;130;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
50;131;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
51;132;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
52;133;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
53;154;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
54;155;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
55;156;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
