Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-97.19;1.33;-56.32;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-97.19;1.33;-56.32;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-95.39;0.32;-59.34;-0.01;-86.78;-1.24;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-95.39;0.32;-59.34;-0.01;-86.78;-1.24;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-92.57;-1.29;-61.53;0.09;-239.03;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-92.57;-1.29;-61.53;0.09;-239.03;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-73.33;-0.01;78.03;0.01;-239.27;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;0.825;;-73.11;0.00;77.15;0.01;-175.24;-0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;0.825;;-73.11;0.00;77.15;0.01;-175.24;-0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;1.005;;-73.06;0.01;76.95;0.01;-161.37;-0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-72.92;0.02;76.22;0.01;-111.97;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-69.19;0.00;32.83;0.01;71.27;0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;12;;0.787;;-69.12;0.01;31.82;0.01;96.73;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;12;;0.787;;-69.12;0.01;31.82;0.01;96.73;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-69.06;0.01;30.80;0.01;121.39;-0.03;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-65.57;0.05;4.86;0.00;150.65;0.04;Beam | 1 - IPE 500 | L : 0.150 m
1;13;;0.075;;-65.58;0.05;4.76;0.00;151.01;0.04;Beam | 1 - IPE 500 | L : 0.150 m
1;13;;0.075;;-65.58;0.05;4.76;0.00;151.01;0.04;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-65.59;0.05;4.66;0.00;151.37;0.03;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-68.89;-0.01;-36.30;-0.01;57.52;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-68.90;-0.01;-36.39;-0.01;54.80;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-99.18;1.36;68.19;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-99.18;1.36;68.19;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-97.40;0.33;66.80;0.02;101.29;-1.27;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-97.40;0.33;66.80;0.02;101.29;-1.27;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-94.64;-1.32;65.26;-0.10;266.01;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-94.64;-1.32;65.26;-0.10;266.01;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-99.02;1.35;-56.46;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-99.02;1.35;-56.46;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-97.22;0.33;-59.48;-0.01;-86.99;-1.26;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-97.22;0.33;-59.48;-0.01;-86.99;-1.26;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-94.41;-1.32;-61.66;0.09;-239.58;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-94.41;-1.32;-61.66;0.09;-239.58;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-73.15;-0.01;78.16;0.01;-239.82;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;0.825;;-72.93;0.00;77.27;0.01;-175.69;-0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;0.825;;-72.93;0.00;77.27;0.01;-175.69;-0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;1.005;;-72.88;0.00;77.07;0.01;-161.80;-0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-72.74;0.01;76.35;0.01;-112.31;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-68.58;0.00;32.92;0.01;71.35;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;18;;0.787;;-68.51;0.00;31.91;0.01;96.88;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;18;;0.787;;-68.51;0.00;31.91;0.01;96.88;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-68.44;0.00;30.89;0.01;121.61;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-64.94;0.03;4.77;0.00;151.19;0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;19;;0.075;;-64.95;0.03;4.67;0.00;151.54;0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;19;;0.075;;-64.95;0.03;4.67;0.00;151.54;0.02;Beam | 1 - IPE 500 | L : 0.150 m
