Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-46.68;0.62;-17.05;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-46.68;0.62;-17.05;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-44.85;0.14;-22.16;0.00;-29.41;-0.57;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-44.85;0.14;-22.16;0.00;-29.41;-0.57;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-41.83;-0.59;-26.38;0.01;-91.89;0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-41.83;-0.59;-26.38;0.01;-91.89;0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-36.13;0.02;34.06;0.02;-91.98;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;0.825;;-36.01;0.03;33.07;0.02;-64.28;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;0.825;;-36.01;0.03;33.07;0.02;-64.28;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;1.005;;-35.99;0.03;32.85;0.02;-58.35;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-35.90;0.03;32.07;0.02;-37.42;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-34.40;0.00;13.52;0.01;40.45;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;12;;0.787;;-34.31;0.01;12.54;0.01;50.71;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;12;;0.787;;-34.31;0.01;12.54;0.01;50.71;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-34.22;0.01;11.55;0.01;60.19;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-32.86;0.08;0.58;0.01;68.54;0.12;Beam | 1 - IPE 500 | L : 0.150 m
1;13;;0.075;;-32.87;0.09;0.49;0.01;68.58;0.11;Beam | 1 - IPE 500 | L : 0.150 m
1;13;;0.075;;-32.87;0.09;0.49;0.01;68.58;0.11;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-32.88;0.09;0.40;0.01;68.61;0.10;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-34.23;-0.02;-19.00;-0.01;17.50;-0.02;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-34.24;-0.02;-19.09;-0.01;16.07;-0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-50.31;0.67;36.68;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-50.31;0.67;36.68;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-48.50;0.16;34.45;0.00;53.36;-0.62;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-48.50;0.15;34.45;0.00;53.36;-0.62;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-45.52;-0.64;32.51;-0.02;136.33;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-45.52;-0.64;32.51;-0.02;136.33;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-47.58;0.63;-17.13;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-47.58;0.63;-17.13;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-45.75;0.15;-22.25;0.00;-29.54;-0.58;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-45.75;0.14;-22.25;0.00;-29.54;-0.58;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-42.73;-0.60;-26.46;0.01;-92.23;0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-42.73;-0.60;-26.46;0.01;-92.23;0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-36.07;0.02;34.14;0.01;-92.31;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;0.825;;-35.95;0.03;33.15;0.01;-64.56;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;0.825;;-35.95;0.03;33.15;0.01;-64.56;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;1.005;;-35.92;0.03;32.93;0.01;-58.61;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-35.84;0.03;32.15;0.01;-37.62;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-34.10;-0.01;13.57;0.01;40.51;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;18;;0.787;;-34.01;-0.01;12.59;0.01;50.81;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;18;;0.787;;-34.01;-0.01;12.59;0.01;50.81;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-33.92;0.00;11.60;0.01;60.34;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-32.54;0.06;0.53;0.01;68.86;0.08;Beam | 1 - IPE 500 | L : 0.150 m
1;19;;0.075;;-32.55;0.06;0.43;0.01;68.90;0.08;Beam | 1 - IPE 500 | L : 0.150 m
1;19;;0.075;;-32.55;0.06;0.43;0.01;68.90;0.08;Beam | 1 - IPE 500 | L : 0.150 m
