Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
1;1;0.000;;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;0.00;-0.02;0.0;-1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;0.00;-0.02;0.0;-1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;ε_x;-0.01;0.00;-0.02;0.0;-1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;ε_x;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xy;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xy;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xz;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xz;-0.01;0.00;-0.02;0.0;-1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;κ_x;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_x;-0.01;0.00;-0.02;0.0;-1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;κ_y;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_y;-0.01;0.00;-0.02;0.0;-1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;κ_z;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_z;-0.01;0.00;-0.02;0.0;-1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-0.01;0.00;-0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-0.01;0.00;-0.02;0.0;-1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;0.00;0.00;0.09;0.0;-1.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;0.00;0.00;0.09;0.0;1.7;0.0;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;ε_x;0.00;0.00;0.09;0.0;1.7;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;ε_x;0.00;0.00;0.09;0.0;-1.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;γ_xy;0.00;0.00;0.09;0.0;-1.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;γ_xy;0.00;0.00;0.09;0.0;1.7;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;γ_xz;0.00;0.00;0.09;0.0;-1.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;γ_xz;0.00;0.00;0.09;0.0;1.7;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_x;0.00;0.00;0.09;0.0;-1.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_x;0.00;0.00;0.09;0.0;1.7;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_y;0.00;0.00;0.09;0.0;1.7;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_y;0.00;0.00;0.09;0.0;-1.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_z;0.00;0.00;0.09;0.0;1.7;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_z;0.00;0.00;0.09;0.0;-1.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;0.00;0.00;0.09;0.0;1.7;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;0.00;0.00;0.09;0.0;-1.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;0.00;0.00;0.11;0.0;-2.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;0.00;0.00;0.10;0.0;0.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;ε_x;0.00;0.00;0.10;0.0;0.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;ε_x;0.00;0.00;0.11;0.0;-2.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;γ_xy;0.00;0.00;0.11;0.0;-2.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;;1.181;γ_xy;0.00;0.00;0.10;0.0;0.0;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;γ_xz;0.00;0.00;0.11;0.0;-2.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;γ_xz;0.00;0.00;0.10;0.0;0.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_x;0.00;0.00;0.10;0.0;0.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_x;0.00;0.00;0.11;0.0;-2.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_y;0.00;0.00;0.10;0.0;0.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_y;0.00;0.00;0.11;0.0;-2.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_z;0.00;0.00;0.11;0.0;-2.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_z;0.00;0.00;0.10;0.0;0.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;0.00;0.00;0.11;0.0;0.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;0.00;0.00;0.10;0.0;-2.9;0.0;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;0.00;0.00;0.14;0.0;-2.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;ε_x;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;ε_x;0.00;0.00;0.14;0.0;-2.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xy;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xy;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xz;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xz;0.00;0.00;0.14;0.0;-2.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_x;0.00;0.00;0.14;0.0;-2.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_x;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_y;0.00;0.00;0.14;0.0;-2.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_y;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_z;0.00;0.00;0.14;0.0;-2.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_z;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;0.00;0.00;0.14;0.0;-2.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;0.00;0.00;0.14;0.0;-2.5;0.0;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;0.00;0.00;0.19;0.0;-2.6;0.0;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;;0.045;ε_x;0.00;0.00;0.19;0.0;-2.8;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;ε_x;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xy;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xy;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xz;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;γ_xz;0.00;0.00;0.19;0.0;-2.6;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_x;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_x;0.00;0.00;0.19;0.0;-2.6;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_y;0.00;0.00;0.19;0.0;-2.6;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_y;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_z;0.00;0.00;0.19;0.0;-2.6;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_z;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;0.00;0.00;0.19;0.0;-2.6;0.0;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;0.00;0.00;0.19;0.0;-3.0;0.0;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;
6;7;0.000;;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-0.01;0.00;0.01;0.0;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-0.01;0.00;0.01;0.0;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;6;4.000;ε_x;-0.01;0.00;0.01;0.0;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;ε_x;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xy;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xy;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xz;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;γ_xz;-0.01;0.00;0.01;0.0;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_x;-0.01;0.00;0.01;0.0;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;κ_x;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_y;-0.01;0.00;0.01;0.0;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;κ_y;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;κ_z;-0.01;0.00;0.02;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_z;-0.01;0.00;0.01;0.0;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-0.01;0.00;0.02;0.0;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;-0.01;0.00;0.01;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
7;8;0.000;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;3;4.500;ε_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;ε_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xy;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;γ_xy;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xz;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xz;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_x;-0.02;0.00;0.00;0.0;0.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_y;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_y;-0.02;0.00;0.00;0.0;0.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_z;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.250;κ_z;-0.02;0.00;0.00;0.0;0.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;-0.02;0.00;0.00;0.0;0.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
8;9;0.000;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;4;5.000;ε_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;ε_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xy;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;γ_xy;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xz;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xz;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;κ_x;-0.02;0.00;0.00;0.0;0.0;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_y;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;κ_y;-0.02;0.00;0.00;0.0;0.0;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_z;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;κ_z;-0.02;0.00;0.00;0.0;0.0;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;-0.02;0.00;0.00;0.0;0.0;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;
9;10;0.000;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;5;4.500;ε_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;ε_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xy;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xy;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xz;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xz;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_x;-0.02;0.00;0.00;0.0;0.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_x;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_y;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_y;-0.02;0.00;0.00;0.0;0.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_z;-0.02;0.00;0.00;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.250;κ_z;-0.02;0.00;0.00;0.0;0.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
