Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;10;12;4.000;M_y;-31.46;-0.44;-19.66;0.01;-69.56;0.01;CO31
1;10;12;4.000;M_y;-67.15;0.00;-46.20;0.00;-184.23;0.00;CO24
1;10;12;4.000;M_z;-29.41;-0.03;-17.05;-0.04;-77.21;0.12;CO30
1;10;12;4.000;M_z;-46.11;0.03;-21.69;0.04;-91.06;-0.14;CO32
1;11;12;0.000;N;-22.13;-0.22;28.29;-0.14;-91.76;-0.07;CO33
1;11;12;0.000;N;-52.58;0.10;54.59;0.04;-171.62;0.05;CO25
1;11;12;0.000;V_y;-41.54;0.16;39.74;0.09;-123.35;0.06;CO35
1;11;12;0.000;V_y;-35.12;-0.23;42.71;-0.11;-137.99;-0.10;CO38
1;11;12;0.000;V_z;-48.68;-0.15;56.40;-0.06;-180.93;-0.10;CO28
1;11;12;0.000;V_z;-28.48;0.16;25.31;0.11;-77.28;0.05;CO30
1;11;12;0.000;M_T;-28.48;0.16;25.31;0.11;-77.28;0.05;CO30
1;11;12;0.000;M_T;-22.18;-0.23;28.23;-0.14;-91.13;-0.05;CO32
1;11;12;0.000;M_y;-26.93;0.01;25.34;0.01;-69.63;-0.01;CO31
1;11;12;0.000;M_y;-51.67;0.00;56.19;0.00;-184.40;0.00;CO24
1;11;12;0.000;M_z;-41.54;0.16;39.74;0.09;-123.35;0.06;CO35
1;11;12;0.000;M_z;-35.12;-0.23;42.71;-0.11;-137.99;-0.10;CO38
1;11;;0.825;N;-22.03;-0.28;27.56;-0.15;-68.72;-0.02;CO33
1;11;;0.825;N;-52.44;0.16;53.90;0.06;-126.86;0.09;CO25
1;11;;0.825;V_y;-41.43;0.23;39.03;0.11;-90.86;0.08;CO35
1;11;;0.825;V_y;-35.06;-0.32;41.92;-0.14;-102.21;-0.09;CO37
1;11;;0.825;V_z;-48.53;-0.22;55.72;-0.07;-134.67;-0.13;CO28
1;11;;0.825;V_z;-28.39;0.20;24.58;0.12;-56.69;0.01;CO30
1;11;;0.825;M_T;-28.39;0.20;24.58;0.12;-56.69;0.01;CO30
1;11;;0.825;M_T;-22.08;-0.28;27.50;-0.15;-68.14;-0.01;CO32
1;11;;0.825;M_y;-26.85;0.02;24.61;0.01;-49.02;-0.01;CO31
1;11;;0.825;M_y;-51.52;0.00;55.51;0.00;-138.31;0.00;CO24
1;11;;0.825;M_z;-52.44;0.16;53.90;0.06;-126.86;0.09;CO25
1;11;;0.825;M_z;-48.53;-0.22;55.72;-0.07;-134.67;-0.13;CO28
1;11;;0.825;N;-22.03;-0.28;27.56;-0.15;-68.72;-0.02;CO33
1;11;;0.825;N;-52.44;0.16;53.90;0.06;-126.86;0.09;CO25
1;11;;0.825;V_y;-41.43;0.23;39.03;0.11;-90.86;0.08;CO35
1;11;;0.825;V_y;-35.06;-0.32;41.92;-0.14;-102.21;-0.09;CO37
1;11;;0.825;V_z;-48.53;-0.22;55.72;-0.07;-134.67;-0.13;CO28
1;11;;0.825;V_z;-28.39;0.20;24.58;0.12;-56.69;0.01;CO30
1;11;;0.825;M_T;-28.39;0.20;24.58;0.12;-56.69;0.01;CO30
1;11;;0.825;M_T;-22.08;-0.28;27.50;-0.15;-68.14;-0.01;CO32
1;11;;0.825;M_y;-26.85;0.02;24.61;0.01;-49.02;-0.01;CO31
1;11;;0.825;M_y;-51.52;0.00;55.51;0.00;-138.31;0.00;CO24
1;11;;0.825;M_z;-52.44;0.16;53.90;0.06;-126.86;0.09;CO25
1;11;;0.825;M_z;-48.53;-0.22;55.72;-0.07;-134.67;-0.13;CO28
1;11;;1.005;N;-22.01;-0.29;27.40;-0.15;-63.78;0.00;CO33
1;11;;1.005;N;-52.41;0.17;53.75;0.06;-117.17;0.09;CO25
