Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;1.3;1.3;0.0;
2;0.9;-0.4;0.8;0.0;-0.8;-1.7;1.9;
3;1.8;0.1;1.8;0.1;6.0;0.5;-0.7;
4;2.3;0.0;2.3;0.1;3.0;0.0;0.0;
5;1.8;-0.1;1.8;0.1;5.9;-0.3;0.7;
6;0.9;0.3;0.8;0.0;-0.8;1.8;-1.9;
7;0.0;0.0;0.0;0.0;1.3;-1.4;0.0;
8;0.0;0.0;0.0;0.0;1.6;-0.4;0.0;
9;0.0;0.0;0.0;0.0;2.1;-0.4;0.0;
10;0.0;0.0;0.0;0.0;1.6;-0.3;0.0;
11;0.0;0.0;0.0;0.0;0.2;1.7;0.0;
12;2.8;-2.7;0.8;0.1;0.2;-1.7;0.2;
13;20.2;-0.8;1.7;20.1;5.3;-4.2;-0.5;
14;32.0;0.3;2.2;32.0;2.7;0.0;0.0;
15;20.0;1.4;1.7;19.9;5.2;4.3;0.4;
16;3.4;3.3;0.8;0.1;0.2;1.6;-0.2;
17;0.0;0.0;0.0;0.0;0.2;-1.9;0.0;
18;0.0;0.0;0.0;0.0;0.1;1.8;0.0;
19;3.0;-2.9;0.6;0.1;0.2;-1.8;0.3;
20;21.2;-0.9;1.6;21.1;5.5;-4.5;-0.5;
21;33.9;0.3;2.1;33.8;2.9;0.0;0.0;
22;21.0;1.5;1.6;20.9;5.4;4.5;0.5;
23;3.5;3.5;0.6;0.1;0.2;1.7;-0.3;
24;0.0;0.0;0.0;0.0;0.1;-2.0;0.0;
25;0.0;0.0;0.0;0.0;0.2;1.7;0.0;
26;2.8;-2.8;0.7;0.1;0.2;-1.7;0.3;
27;20.3;-0.9;1.7;20.2;5.4;-4.3;-0.5;
28;32.3;0.3;2.2;32.2;2.7;0.0;0.0;
29;20.1;1.4;1.7;20.0;5.3;4.3;0.4;
30;3.4;3.3;0.7;0.1;0.2;1.6;-0.3;
31;0.0;0.0;0.0;0.0;0.2;-1.9;0.0;
32;0.0;0.0;0.0;0.0;0.2;1.7;0.0;
33;2.8;-2.8;0.7;0.1;0.2;-1.7;0.3;
34;20.2;-0.9;1.7;20.2;5.3;-4.3;-0.4;
35;32.3;0.3;2.3;32.2;2.6;0.0;0.0;
36;20.1;1.4;1.7;20.0;5.2;4.3;0.4;
37;3.4;3.3;0.7;0.1;0.2;1.6;-0.3;
38;0.0;0.0;0.0;0.0;0.2;-1.9;0.0;
39;0.0;0.0;0.0;0.0;0.6;0.9;0.0;
40;0.8;-0.3;0.7;0.0;-0.2;-1.4;1.1;
41;1.7;0.1;1.7;0.1;5.6;0.5;-0.5;
42;2.3;0.0;2.3;0.1;2.7;0.0;0.0;
43;1.7;-0.1;1.7;0.1;5.5;-0.3;0.5;
44;0.8;0.3;0.7;0.0;-0.2;1.5;-1.1;
45;0.0;0.0;0.0;0.0;0.6;-1.0;0.0;
46;0.0;0.0;0.0;0.0;0.9;-0.4;0.0;
47;0.0;0.0;0.0;0.0;1.2;-0.4;0.0;
48;0.0;0.0;0.0;0.0;0.9;-0.3;0.0;
49;5.7;-2.3;1.1;5.1;2.4;-3.8;0.0;
50;12.5;-1.6;1.5;12.3;4.1;-4.6;-0.2;
51;19.9;-0.9;1.7;19.8;5.3;-4.3;-0.4;
52;32.3;0.3;2.2;32.2;2.7;-0.1;0.0;
53;30.6;0.1;1.9;30.6;3.8;-1.8;-0.3;
54;26.3;-0.3;1.8;26.3;4.7;-3.3;-0.4;
55;5.7;-2.3;1.1;5.1;2.5;-3.8;0.0;
57;12.5;-1.6;1.5;12.3;4.1;-4.6;-0.2;
58;19.9;-0.9;1.7;19.8;5.4;-4.3;-0.5;
59;26.3;-0.3;1.8;26.3;4.8;-3.3;-0.4;
60;30.6;0.1;1.9;30.6;3.9;-1.8;-0.3;
62;32.3;0.3;2.2;32.2;2.7;0.2;0.0;
63;32.3;0.3;2.2;32.2;2.8;-0.1;0.0;
64;5.8;2.8;1.1;5.0;2.4;3.8;0.0;
65;12.4;2.2;1.5;12.1;4.0;4.6;0.2;
66;19.8;1.4;1.7;19.7;5.2;4.3;0.4;
67;30.6;0.4;1.9;30.5;3.7;1.9;0.3;
68;26.2;0.8;1.8;26.2;4.6;3.3;0.4;
69;5.8;2.8;1.1;5.0;2.4;3.8;0.0;
71;12.4;2.2;1.5;12.1;4.0;4.6;0.2;
72;19.8;1.4;1.7;19.7;5.3;4.3;0.4;
73;26.2;0.8;1.8;26.2;4.7;3.3;0.4;
74;30.6;0.4;1.9;30.5;3.9;1.9;0.3;
76;32.3;0.3;2.2;32.2;2.8;0.2;0.0;
83;5.9;-2.4;1.1;5.3;2.5;-4.0;0.0;
84;13.0;-1.7;1.4;12.8;4.2;-4.8;-0.3;
85;20.8;-0.9;1.6;20.7;5.5;-4.5;-0.5;
86;27.6;-0.3;1.7;27.5;5.0;-3.5;-0.5;
87;32.1;0.1;1.8;32.1;4.1;-1.9;-0.3;
89;33.8;0.3;2.1;33.8;3.0;-0.1;0.0;
95;6.1;3.0;1.1;5.2;2.5;3.9;0.0;
96;12.9;2.3;1.4;12.7;4.1;4.8;0.2;
97;20.7;1.5;1.6;20.6;5.4;4.5;0.5;
98;27.4;0.9;1.7;27.4;4.9;3.5;0.4;
99;32.0;0.4;1.8;32.0;4.1;2.0;0.3;
100;33.8;0.3;2.1;33.8;3.0;0.2;0.0;
111;5.7;-2.2;1.2;5.1;2.2;-3.8;0.0;
112;12.4;-1.5;1.5;12.2;3.9;-4.5;-0.2;
113;19.9;-0.8;1.7;19.8;5.3;-4.3;-0.5;
114;26.2;-0.2;1.8;26.1;4.7;-3.3;-0.4;
115;30.4;0.2;1.9;30.4;3.9;-1.8;-0.3;
116;4.1;0.0;2.5;3.2;-1.4;-1.3;0.9;
117;32.0;0.3;2.2;32.0;2.9;-0.1;0.0;
118;4.1;0.5;2.8;2.9;0.5;1.4;0.0;
119;1.9;0.1;1.9;0.1;4.9;0.7;-0.5;
120;2.9;-0.1;2.4;1.6;3.0;-1.1;-0.2;
121;3.2;0.3;2.5;1.9;2.2;0.8;-0.4;
122;2.3;0.0;2.3;0.1;2.5;0.3;-0.1;
123;5.8;2.8;1.2;5.0;2.2;3.7;0.0;
124;12.4;2.1;1.5;12.1;3.9;4.5;0.2;
125;19.7;1.4;1.7;19.6;5.2;4.3;0.4;
126;26.1;0.8;1.8;26.0;4.6;3.3;0.4;
