Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;-0.79;0.00;2.86;0.00;-2.20;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;-0.73;0.00;2.31;0.00;2.06;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;-0.52;0.00;0.15;0.00;2.03;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;-0.46;0.00;-0.40;0.00;1.82;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;-0.25;0.00;-2.57;0.00;1.78;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;-0.19;0.00;-3.11;0.00;-2.91;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;0.02;0.00;-5.28;0.00;-2.95;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;0.03;0.00;-5.30;0.00;-3.34;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;-1.92;0.00;3.28;0.00;-3.70;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;-1.87;0.00;2.76;0.00;1.06;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;-1.65;0.00;0.60;0.00;1.02;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;-1.60;0.00;0.05;0.00;1.55;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;-1.38;0.00;-2.12;0.00;1.51;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;-1.33;0.00;-2.66;0.00;-2.43;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;-1.19;0.00;-4.03;0.00;-2.45;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;-1.18;0.00;-4.08;0.00;-3.06;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;-0.09;0.00;4.13;0.00;-3.06;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;-0.09;0.00;4.08;0.00;-2.45;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;-0.23;0.00;2.71;0.00;-2.42;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;-0.29;0.00;2.17;0.00;1.60;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;-0.50;0.00;0.00;0.00;1.64;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;-0.56;0.00;-0.55;0.00;1.20;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;-0.77;0.00;-2.71;0.00;1.23;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;-0.83;0.00;-3.23;0.00;-3.44;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;0.04;0.00;5.42;0.00;-3.72;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;0.04;0.00;5.39;0.00;-3.31;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;-0.18;0.00;3.23;0.00;-3.27;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;-0.23;0.00;2.68;0.00;1.60;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;-0.45;0.00;0.52;0.00;1.64;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;-0.51;0.00;-0.03;0.00;2.04;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;-0.72;0.00;-2.20;0.00;2.08;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;-0.78;0.00;-2.74;0.00;-1.99;0.00;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;5;5;0.000;N;0.04;0.00;5.42;0.00;-3.72;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;-1.92;0.00;3.28;0.00;-3.70;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;199;151;0.000;V_y;-0.72;0.00;-2.20;0.00;2.08;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;V_y;-0.73;0.00;2.31;0.00;2.06;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;0.04;0.00;5.42;0.00;-3.72;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;0.03;0.00;-5.30;0.00;-3.34;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_T;-0.72;0.00;-2.20;0.00;2.08;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;M_T;-0.73;0.00;2.31;0.00;2.06;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;M_y;-0.72;0.00;-2.20;0.00;2.08;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;0.04;0.00;5.42;0.00;-3.72;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_z;-0.72;0.00;-2.20;0.00;2.08;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;4;4;0.000;M_z;-0.09;0.00;4.13;0.00;-3.06;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;;0.04;0.00;5.42;0.00;2.08;0.01;
1;;;;;-1.92;0.00;-5.30;0.00;-3.72;-0.01;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-32.87;-0.01;35.64;0.00;-112.32;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-32.62;-0.01;33.67;0.00;-55.12;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-32.20;0.00;29.34;0.00;-55.28;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-31.99;0.00;27.35;0.00;-8.50;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-31.57;0.00;23.02;0.00;-8.66;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-31.38;0.00;21.00;0.00;27.66;0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-30.96;0.00;16.67;0.00;27.50;0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-30.95;0.00;16.58;0.00;28.75;0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-30.97;0.00;15.44;0.00;28.75;0.01;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-30.79;0.00;13.50;0.00;51.54;0.00;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-30.37;0.00;9.17;0.00;51.38;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-30.18;0.01;7.13;0.00;64.83;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-29.75;0.01;2.80;0.00;64.67;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-29.55;0.01;0.76;0.00;67.60;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-29.28;0.01;-1.98;0.00;67.50;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-29.26;0.01;-2.17;0.00;67.19;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-29.25;-0.01;2.30;0.00;67.19;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-29.26;-0.01;2.12;0.00;67.52;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-29.54;-0.01;-0.62;0.00;67.49;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-29.74;-0.01;-2.67;0.00;64.77;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-30.16;-0.01;-7.00;0.00;64.71;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-30.35;0.00;-9.03;0.00;51.49;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-30.78;0.00;-13.37;0.00;51.43;0.00;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-30.96;0.00;-15.30;0.00;28.85;0.01;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-30.93;0.00;-16.45;0.00;28.85;0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-30.94;0.00;-16.54;0.00;27.61;0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-31.36;0.00;-20.87;0.00;27.56;0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-31.55;0.00;-22.89;0.00;-8.55;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-31.97;0.00;-27.22;0.00;-8.61;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-32.18;0.00;-29.21;0.00;-55.17;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-32.61;0.01;-33.54;0.00;-55.22;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-32.85;0.01;-35.51;0.00;-112.20;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;13;14;0.000;N;-29.25;-0.01;2.30;0.00;67.19;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;11;12;0.000;N;-32.87;-0.01;35.64;0.00;-112.32;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;V_y;-29.28;0.01;-1.98;0.00;67.50;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;V_y;-29.26;-0.01;2.12;0.00;67.52;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;11;12;0.000;V_z;-32.87;-0.01;35.64;0.00;-112.32;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;V_z;-32.85;0.01;-35.51;0.00;-112.20;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;M_T;-29.28;0.01;-1.98;0.00;67.50;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;M_T;-29.26;-0.01;2.12;0.00;67.52;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;166;117;1.650;M_y;-29.55;0.01;0.76;0.00;67.60;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;11;12;0.000;M_y;-32.87;-0.01;35.64;0.00;-112.32;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;170;15;1.575;M_z;-30.96;0.00;-15.30;0.00;28.85;0.01;Beam | 1 - IPE 500 | L : 1.575 m
2;167;14;0.150;M_z;-29.26;0.01;-2.17;0.00;67.19;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
Total;;;;;-29.25;0.01;35.64;0.00;67.60;0.01;
