Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-67.70;-0.02;-44.75;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-67.70;-0.02;-44.75;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-66.37;-0.02;-43.06;-0.02;-65.88;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-66.37;-0.02;-43.06;-0.02;-65.88;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-64.22;-0.01;-42.00;-0.04;-171.46;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-64.22;-0.01;-42.00;-0.04;-171.46;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-52.58;0.10;54.59;0.04;-171.62;0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-52.32;0.21;53.20;0.07;-82.67;0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-52.73;-0.02;23.03;-0.02;45.55;-0.46;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-52.61;-0.04;21.56;-0.02;80.67;-0.38;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-50.08;0.25;4.57;0.03;101.75;0.36;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-50.10;0.25;4.43;0.04;102.43;0.31;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-49.51;0.10;-23.87;0.02;44.46;-0.46;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-49.52;0.10;-23.94;0.02;42.67;-0.47;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-67.68;-0.02;47.19;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-67.68;-0.02;47.19;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-66.35;-0.02;44.13;0.02;68.51;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-66.35;-0.02;44.13;0.02;68.51;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-64.21;-0.01;40.89;0.04;174.01;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-64.21;-0.01;40.89;0.04;174.01;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-77.70;-0.03;-46.23;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-77.70;-0.03;-46.23;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-76.36;-0.02;-45.07;-0.02;-68.50;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-76.36;-0.02;-45.07;-0.02;-68.50;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-74.23;-0.01;-44.51;-0.04;-179.90;0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-74.23;-0.01;-44.51;-0.04;-179.90;0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-48.13;0.13;56.37;0.05;-180.06;0.04;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-47.86;0.25;54.99;0.08;-88.17;0.04;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-37.42;0.00;24.82;-0.02;46.07;-0.47;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-37.31;-0.03;23.36;-0.02;84.02;-0.41;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-34.77;0.26;2.73;0.03;111.39;0.35;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-34.78;0.26;2.59;0.04;111.79;0.29;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-44.98;0.10;-25.66;0.02;45.01;-0.46;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-44.98;0.09;-25.73;0.02;43.08;-0.47;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-77.62;-0.03;48.93;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-77.62;-0.03;48.93;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-76.29;-0.02;46.20;0.02;71.37;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-76.29;-0.02;46.20;0.02;71.37;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-74.16;-0.01;43.12;0.04;182.40;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-74.16;-0.01;43.12;0.04;182.40;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-67.47;-0.03;-44.06;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-67.47;-0.03;-44.06;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-66.13;-0.02;-43.24;-0.02;-65.49;0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-66.13;-0.02;-43.24;-0.02;-65.49;0.03;Beam | 1 - IPE 500 | L : 4.000 m
