Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;Max.;0.0;0.0;0.0;0.0;1.1;11.2;-0.1;
7;3;Min.;0.0;0.0;0.0;0.0;-1.0;-10.2;-0.5;
8;4;Max.;0.0;0.0;0.0;0.0;0.3;6.8;0.4;
8;4;Min.;0.0;0.0;0.0;0.0;-0.4;-5.8;0.0;
9;5;Max.;0.0;0.0;0.0;0.0;1.0;11.0;0.7;
9;5;Min.;0.0;0.0;0.0;0.0;-1.1;-10.1;0.0;
40;41;Max.;0.0;0.0;0.0;0.0;0.9;9.5;-0.1;
40;41;Min.;0.0;0.0;0.0;0.0;-1.1;-10.8;-0.6;
41;42;Max.;0.0;0.0;0.0;0.0;0.4;4.9;0.4;
41;42;Min.;0.0;0.0;0.0;0.0;-0.4;-6.0;0.0;
42;43;Max.;0.0;0.0;0.0;0.0;1.0;9.3;0.7;
42;43;Min.;0.0;0.0;0.0;0.0;-0.9;-10.7;0.0;
90;55;Max.;0.0;0.0;0.0;0.0;0.0;1.7;-6.3;
90;55;Min.;0.0;0.0;0.0;0.0;0.0;-9.0;-18.7;
90;49;Max.;0.0;0.0;0.0;0.0;0.0;1.4;-6.4;
90;49;Min.;0.0;0.0;0.0;0.0;0.0;-8.8;-18.6;
92;26;Max.;0.1;0.1;0.0;0.0;0.0;-0.9;-3.3;
92;26;Min.;0.1;-0.1;0.0;0.0;0.0;-3.8;-9.7;
92;33;Max.;0.0;0.0;0.0;0.0;0.0;-0.8;-3.3;
92;33;Min.;0.0;0.0;0.0;0.0;0.0;-3.6;-9.7;
93;57;Max.;0.0;0.0;0.0;0.0;0.0;4.4;-5.6;
93;57;Min.;0.0;0.0;0.0;0.0;0.0;-11.1;-19.1;
93;50;Max.;0.0;0.0;0.0;0.0;0.0;4.1;-5.7;
93;50;Min.;0.0;0.0;0.0;0.0;0.0;-11.1;-19.0;
95;58;Max.;0.0;0.0;0.0;0.0;0.0;6.5;-5.0;
95;58;Min.;0.0;0.0;0.0;0.0;0.0;-13.2;-19.7;
95;51;Max.;0.0;0.0;0.0;0.0;0.0;6.1;-5.3;
95;51;Min.;0.0;0.0;0.0;0.0;0.0;-13.2;-19.3;
97;59;Max.;0.0;0.0;0.0;0.0;0.0;5.5;-5.1;
97;59;Min.;0.0;0.0;0.0;0.0;0.0;-12.2;-19.3;
97;54;Max.;0.0;0.0;0.0;0.0;0.0;4.9;-5.3;
