Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;2.04;-4.92;9.77;0.00;0.00;-0.01;
7;;2.14;-2.19;8.61;0.00;0.00;0.01;
8;;5.61;-7.94;12.06;0.00;0.00;0.00;
9;;0.00;-7.22;23.14;0.00;0.00;0.00;
10;;0.00;-4.99;17.65;0.00;0.00;0.00;
11;;-34.38;1.82;70.20;0.00;0.00;0.00;
17;;53.88;1.52;74.06;0.00;0.00;0.00;
18;;-34.50;-0.87;72.85;0.00;0.00;0.00;
24;;54.00;-0.57;76.76;0.00;0.00;0.00;
25;;-33.57;-0.30;69.63;0.00;0.00;0.00;
31;;53.09;-0.32;73.50;0.00;0.00;0.00;
32;;-33.53;-0.30;69.56;0.00;0.00;0.00;
38;;53.02;-0.32;73.44;0.00;0.00;0.00;
39;;2.04;4.83;9.77;0.00;0.00;0.01;
45;;2.14;2.12;8.61;0.00;0.00;-0.01;
46;;5.61;7.79;12.06;0.00;0.00;0.00;
47;;0.00;7.02;23.14;0.00;0.00;0.00;
48;;0.00;4.84;17.65;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;54.00;-0.57;76.76;0.00;0.00;0.00;
18;P_x;-34.50;-0.87;72.85;0.00;0.00;0.00;
46;P_y;5.61;7.79;12.06;0.00;0.00;0.00;
8;P_y;5.61;-7.94;12.06;0.00;0.00;0.00;
24;P_z;54.00;-0.57;76.76;0.00;0.00;0.00;
45;P_z;2.14;2.12;8.61;0.00;0.00;-0.01;
1;M_x;2.04;-4.92;9.77;0.00;0.00;-0.01;
1;M_x;2.04;-4.92;9.77;0.00;0.00;-0.01;
1;M_y;2.04;-4.92;9.77;0.00;0.00;-0.01;
1;M_y;2.04;-4.92;9.77;0.00;0.00;-0.01;
39;M_z;2.04;4.83;9.77;0.00;0.00;0.01;
1;M_z;2.04;-4.92;9.77;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;97.55;0.00;722.46;Loads;;;
Σ;;97.55;0.00;722.46;Support Forces;;;
