Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-1.51;-1.43;6.39;0.00;0.00;0.00;
7;;-1.34;-3.26;6.83;0.00;0.00;0.01;
8;;-0.07;-3.28;16.31;0.00;0.00;0.00;
9;;-3.54;-4.75;8.91;0.00;0.00;0.00;
10;;-0.05;-5.24;12.34;0.00;0.00;0.00;
11;;-38.01;1.27;53.84;0.00;0.00;0.00;
17;;25.00;1.47;51.08;0.00;0.00;0.00;
18;;-38.03;-1.27;53.87;0.00;0.00;0.00;
24;;25.03;-1.47;51.13;0.00;0.00;0.00;
25;;-37.38;0.00;52.44;0.00;0.00;0.00;
31;;24.37;0.00;49.68;0.00;0.00;0.00;
32;;-37.35;0.00;52.41;0.00;0.00;0.00;
38;;24.35;0.00;49.65;0.00;0.00;0.00;
39;;-1.51;1.43;6.39;0.00;0.00;0.00;
45;;-1.34;3.26;6.83;0.00;0.00;-0.01;
46;;-0.07;3.28;16.31;0.00;0.00;0.00;
47;;-3.54;4.75;8.91;0.00;0.00;0.00;
48;;-0.05;5.24;12.34;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;25.03;-1.47;51.13;0.00;0.00;0.00;
18;P_x;-38.03;-1.27;53.87;0.00;0.00;0.00;
48;P_y;-0.05;5.24;12.34;0.00;0.00;0.00;
10;P_y;-0.05;-5.24;12.34;0.00;0.00;0.00;
18;P_z;-38.03;-1.27;53.87;0.00;0.00;0.00;
39;P_z;-1.51;1.43;6.39;0.00;0.00;0.00;
1;M_x;-1.51;-1.43;6.39;0.00;0.00;0.00;
1;M_x;-1.51;-1.43;6.39;0.00;0.00;0.00;
1;M_y;-1.51;-1.43;6.39;0.00;0.00;0.00;
1;M_y;-1.51;-1.43;6.39;0.00;0.00;0.00;
7;M_z;-1.34;-3.26;6.83;0.00;0.00;0.01;
45;M_z;-1.34;3.26;6.83;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;-65.04;0.00;515.68;Loads;;;
Σ;;-65.04;0.00;515.68;Support Forces;;;
