Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;-1.4;-15.3;-0.2;
8;4;;0.0;0.0;0.0;0.0;0.0;-8.7;0.3;
9;5;;0.0;0.0;0.0;0.0;1.4;-15.1;0.5;
40;41;;0.0;0.0;0.0;0.0;-1.6;-16.2;-0.3;
41;42;;0.0;0.0;0.0;0.0;-0.1;-9.1;0.3;
42;43;;0.0;0.0;0.0;0.0;1.5;-15.9;0.6;
90;55;;0.0;0.0;0.0;0.0;0.0;-9.0;-9.8;
90;49;;0.0;0.0;0.0;0.0;0.0;2.3;-8.7;
92;26;;0.1;-0.1;0.0;0.0;0.0;-2.4;-4.4;
92;33;;0.0;0.0;0.0;0.0;0.0;-1.1;-5.6;
93;57;;0.0;0.0;0.0;0.0;0.0;-13.1;-10.7;
93;50;;0.0;0.0;0.0;0.0;0.0;6.4;-7.6;
95;58;;0.0;0.0;0.0;0.0;0.0;-16.3;-12.0;
95;51;;0.0;0.0;0.0;0.0;0.0;9.5;-7.2;
97;59;;0.0;0.0;0.0;0.0;0.0;-14.8;-11.4;
97;54;;0.0;0.0;0.0;0.0;0.0;7.8;-7.0;
99;60;;0.0;0.0;0.0;0.0;0.0;-12.7;-10.8;
99;53;;0.0;0.0;0.0;0.0;0.0;5.6;-7.6;
101;83;;0.0;0.0;0.0;0.0;0.0;-9.3;-9.8;
101;55;;0.0;0.0;0.0;0.0;0.0;2.6;-8.6;
102;64;;0.0;0.0;0.0;0.0;0.0;2.2;-8.7;
102;69;;0.0;0.0;0.0;0.0;0.0;-8.9;-9.8;
103;37;;0.0;0.0;0.0;0.0;0.0;-1.1;-5.6;
103;30;;0.1;-0.1;0.0;0.0;0.0;-2.4;-4.4;
104;65;;0.0;0.0;0.0;0.0;0.0;6.2;-7.7;
104;71;;0.0;0.0;0.0;0.0;0.0;-12.9;-10.7;
105;66;;0.0;0.0;0.0;0.0;0.0;9.2;-7.2;
105;72;;0.0;0.0;0.0;0.0;0.0;-16.1;-11.9;
106;68;;0.0;0.0;0.0;0.0;0.0;7.6;-7.1;
106;73;;0.0;0.0;0.0;0.0;0.0;-14.6;-11.4;
107;67;;0.0;0.0;0.0;0.0;0.0;5.5;-7.6;
107;74;;0.0;0.0;0.0;0.0;0.0;-12.6;-10.8;
108;19;;0.1;-0.1;0.0;0.0;0.0;-2.4;-4.4;
108;26;;0.0;0.0;0.0;0.0;0.0;-1.1;-5.6;
119;63;;0.0;0.0;0.0;0.0;0.0;-9.1;-6.6;
119;52;;0.0;0.0;0.0;0.0;0.0;4.4;-5.1;
121;62;;0.0;0.0;0.0;0.0;0.0;4.4;-5.1;
121;76;;0.0;0.0;0.0;0.0;0.0;-9.1;-6.6;
124;84;;0.0;0.0;0.0;0.0;0.0;-13.6;-10.8;
124;57;;0.0;0.0;0.0;0.0;0.0;6.8;-7.5;
125;85;;0.0;0.0;0.0;0.0;0.0;-17.0;-11.9;
125;58;;0.0;0.0;0.0;0.0;0.0;10.1;-6.8;
126;86;;0.0;0.0;0.0;0.0;0.0;-15.8;-11.6;
126;59;;0.0;0.0;0.0;0.0;0.0;8.7;-6.8;
127;87;;0.0;0.0;0.0;0.0;0.0;-13.8;-11.0;
127;60;;0.0;0.0;0.0;0.0;0.0;6.6;-7.4;
128;69;;0.0;0.0;0.0;0.0;0.0;2.5;-8.6;
128;95;;0.0;0.0;0.0;0.0;0.0;-9.2;-9.8;
129;30;;0.0;0.0;0.0;0.0;0.0;-1.1;-5.6;
129;23;;0.1;-0.1;0.0;0.0;0.0;-2.4;-4.4;
130;71;;0.0;0.0;0.0;0.0;0.0;6.6;-7.5;
130;96;;0.0;0.0;0.0;0.0;0.0;-13.4;-10.8;
131;72;;0.0;0.0;0.0;0.0;0.0;9.8;-6.8;
131;97;;0.0;0.0;0.0;0.0;0.0;-16.7;-11.9;
132;73;;0.0;0.0;0.0;0.0;0.0;8.5;-6.8;
132;98;;0.0;0.0;0.0;0.0;0.0;-15.6;-11.6;
133;74;;0.0;0.0;0.0;0.0;0.0;6.5;-7.4;
133;99;;0.0;0.0;0.0;0.0;0.0;-13.7;-11.0;
134;89;;0.0;0.0;0.0;0.0;0.0;-10.2;-6.7;
134;63;;0.0;0.0;0.0;0.0;0.0;5.4;-4.9;
135;76;;0.0;0.0;0.0;0.0;0.0;5.3;-4.9;
135;100;;0.0;0.0;0.0;0.0;0.0;-10.1;-6.8;
148;111;;0.0;0.0;0.0;0.0;0.0;-9.9;-9.9;
148;83;;0.0;0.0;0.0;0.0;0.0;2.7;-8.4;
149;12;;0.4;-0.4;0.0;0.0;0.0;-2.3;-4.5;
149;19;;0.0;0.0;0.0;0.0;0.0;-1.1;-5.4;
150;112;;0.0;0.0;0.0;0.0;0.0;-13.8;-10.9;
150;84;;0.0;0.0;0.0;0.0;0.0;6.8;-7.3;
151;113;;0.0;0.0;0.0;0.0;0.0;-16.9;-11.7;
151;85;;0.0;0.0;0.0;0.0;0.0;9.9;-6.4;
152;114;;0.0;0.0;0.0;0.0;0.0;-15.4;-11.6;
152;86;;0.0;0.0;0.0;0.0;0.0;8.4;-6.7;
153;115;;0.0;0.0;0.0;0.0;0.0;-13.2;-11.0;
153;87;;0.0;0.0;0.0;0.0;0.0;6.2;-7.3;
154;95;;0.0;0.0;0.0;0.0;0.0;2.7;-8.4;
154;123;;0.0;0.0;0.0;0.0;0.0;-9.8;-9.9;
155;23;;0.0;0.0;0.0;0.0;0.0;-1.1;-5.4;
155;16;;0.4;-0.4;0.0;0.0;0.0;-2.3;-4.5;
156;96;;0.0;0.0;0.0;0.0;0.0;6.6;-7.4;
156;124;;0.0;0.0;0.0;0.0;0.0;-13.6;-10.9;
157;97;;0.0;0.0;0.0;0.0;0.0;9.6;-6.5;
157;125;;0.0;0.0;0.0;0.0;0.0;-16.7;-11.7;
158;98;;0.0;0.0;0.0;0.0;0.0;8.2;-6.7;
158;126;;0.0;0.0;0.0;0.0;0.0;-15.2;-11.5;
159;99;;0.0;0.0;0.0;0.0;0.0;6.1;-7.3;
159;127;;0.0;0.0;0.0;0.0;0.0;-13.1;-10.9;
160;117;;0.0;0.0;0.0;0.0;0.0;-9.3;-6.6;
160;89;;0.0;0.0;0.0;0.0;0.0;4.8;-4.9;
161;100;;0.0;0.0;0.0;0.0;0.0;4.8;-4.9;
161;128;;0.0;0.0;0.0;0.0;0.0;-9.3;-6.6;
174;139;;0.0;0.0;0.0;0.0;0.0;-1.5;-6.4;
174;111;;0.0;0.0;0.0;0.0;0.0;3.9;-8.4;
175;2;;0.4;-0.4;0.0;0.0;0.0;-1.6;-1.6;
175;12;;0.0;0.0;0.0;0.0;0.0;-1.1;-6.0;
176;140;;0.0;0.0;0.0;0.0;0.0;-6.8;-9.5;
176;112;;0.0;0.0;0.0;0.0;0.0;9.1;-7.0;
177;141;;0.0;0.0;0.0;0.0;0.0;-19.1;-12.0;
177;113;;0.0;0.0;0.0;0.0;0.0;13.9;-5.6;
178;142;;0.0;0.0;0.0;0.0;0.0;-15.9;-11.1;
178;114;;0.0;0.0;0.0;0.0;0.0;13.4;-5.9;
179;143;;0.0;0.0;0.0;0.0;0.0;-14.6;-11.6;
179;115;;0.0;0.0;0.0;0.0;0.0;12.0;-6.4;
180;123;;0.0;0.0;0.0;0.0;0.0;3.9;-8.5;
180;151;;0.0;0.0;0.0;0.0;0.0;-1.2;-6.3;
181;16;;0.0;0.0;0.0;0.0;0.0;-1.1;-6.1;
181;6;;0.3;-0.3;0.0;0.0;0.0;-1.6;-1.6;
182;124;;0.0;0.0;0.0;0.0;0.0;9.0;-7.1;
182;152;;0.0;0.0;0.0;0.0;0.0;-6.6;-9.4;
183;125;;0.0;0.0;0.0;0.0;0.0;13.7;-5.8;
183;153;;0.0;0.0;0.0;0.0;0.0;-19.0;-11.8;
184;126;;0.0;0.0;0.0;0.0;0.0;13.2;-6.1;
184;154;;0.0;0.0;0.0;0.0;0.0;-15.8;-11.0;
185;127;;0.0;0.0;0.0;0.0;0.0;11.9;-6.6;
185;155;;0.0;0.0;0.0;0.0;0.0;-14.7;-11.5;
186;145;;0.0;0.0;0.0;0.0;0.0;-14.4;-7.3;
186;117;;0.0;0.0;0.0;0.0;0.0;10.9;-4.1;
187;128;;0.0;0.0;0.0;0.0;0.0;10.9;-4.2;
187;156;;0.0;0.0;0.0;0.0;0.0;-14.4;-7.2;
200;49;;0.0;0.0;0.0;0.0;0.0;-8.6;-9.9;
200;116;;0.0;0.0;0.0;0.0;0.0;-18.9;-15.0;
201;33;;0.0;0.0;0.0;0.0;0.0;-2.4;-4.8;
201;40;;0.9;0.9;0.0;0.0;0.0;-3.1;-9.6;
202;50;;0.0;0.0;0.0;0.0;0.0;-11.6;-10.6;
202;118;;0.0;0.0;0.0;0.0;0.0;-14.2;-10.5;
203;51;;0.0;0.0;0.0;0.0;0.0;-13.4;-11.8;
203;119;;0.0;0.0;0.0;0.0;0.0;4.2;-7.8;
204;54;;0.0;0.0;0.0;0.0;0.0;-10.9;-10.8;
204;120;;0.0;0.0;0.0;0.0;0.0;-4.8;-10.2;
205;53;;0.0;0.0;0.0;0.0;0.0;-8.1;-10.2;
205;121;;0.0;0.0;0.0;0.0;0.0;-8.4;-9.0;
206;129;;0.0;0.0;0.0;0.0;0.0;-19.6;-15.0;
206;64;;0.0;0.0;0.0;0.0;0.0;-8.5;-10.0;
207;44;;0.7;0.7;0.0;0.0;0.0;-3.1;-9.5;
207;37;;0.0;0.0;0.0;0.0;0.0;-2.4;-4.9;
208;130;;0.0;0.0;0.0;0.0;0.0;-14.4;-10.4;
208;65;;0.0;0.0;0.0;0.0;0.0;-11.4;-10.6;
209;131;;0.0;0.0;0.0;0.0;0.0;4.0;-7.8;
209;66;;0.0;0.0;0.0;0.0;0.0;-13.1;-11.8;
210;132;;0.0;0.0;0.0;0.0;0.0;-4.9;-10.1;
210;68;;0.0;0.0;0.0;0.0;0.0;-10.7;-10.8;
211;133;;0.0;0.0;0.0;0.0;0.0;-8.2;-8.9;
211;67;;0.0;0.0;0.0;0.0;0.0;-8.0;-10.2;
212;52;;0.0;0.0;0.0;0.0;0.0;-4.2;-6.1;
212;122;;0.0;0.0;0.0;0.0;0.0;-1.5;-5.5;
213;134;;0.0;0.0;0.0;0.0;0.0;-1.4;-5.6;
213;62;;0.0;0.0;0.0;0.0;0.0;-4.2;-6.1;
Total;;;0.9;0.9;0.0;0.0;1.5;13.9;0.6;
max/min;;;0.0;-0.4;0.0;0.0;-1.6;-19.6;-15.0;
