Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;;-15.56;0.00;-4.73;0.00;0.00;0.00;
8;4;;-20.84;0.00;-4.26;0.00;0.00;0.00;
9;5;;-15.80;0.00;-2.93;0.00;0.00;0.00;
40;41;;-15.56;0.00;4.88;0.00;0.00;0.00;
41;42;;-20.84;0.00;4.46;0.00;0.00;0.00;
42;43;;-15.80;0.00;3.08;0.00;0.00;0.00;
90;55;;0.68;0.42;4.30;0.00;0.00;0.00;
90;49;;0.68;-0.42;-4.30;0.00;0.00;0.00;
92;26;;0.00;0.22;2.24;0.00;0.00;0.00;
92;33;;0.00;-0.22;-2.24;0.00;0.00;0.00;
93;57;;0.39;0.42;4.30;0.00;0.00;0.00;
93;50;;0.39;-0.42;-4.30;0.00;0.00;0.00;
95;58;;2.17;0.42;4.27;0.00;0.00;0.00;
95;51;;2.17;-0.42;-4.27;0.00;0.00;0.00;
97;59;;0.29;0.42;4.29;0.00;0.00;0.00;
97;54;;0.29;-0.42;-4.29;0.00;0.00;0.00;
99;60;;0.34;0.42;4.30;0.00;0.00;0.00;
99;53;;0.34;-0.42;-4.30;0.00;0.00;0.00;
101;83;;0.69;0.42;4.30;0.00;0.00;0.00;
101;55;;0.69;-0.42;-4.30;0.00;0.00;0.00;
102;64;;0.38;0.42;4.25;0.00;0.00;0.00;
102;69;;0.38;-0.42;-4.25;0.00;0.00;0.00;
103;37;;0.00;0.22;2.24;0.00;0.00;0.00;
103;30;;0.00;-0.22;-2.24;0.00;0.00;0.00;
104;65;;0.22;0.42;4.25;0.00;0.00;0.00;
104;71;;0.22;-0.42;-4.25;0.00;0.00;0.00;
105;66;;1.23;0.42;4.25;0.00;0.00;0.00;
105;72;;1.23;-0.42;-4.25;0.00;0.00;0.00;
106;68;;0.18;0.42;4.25;0.00;0.00;0.00;
106;73;;0.18;-0.42;-4.25;0.00;0.00;0.00;
107;67;;0.12;0.42;4.26;0.00;0.00;0.00;
107;74;;0.12;-0.42;-4.26;0.00;0.00;0.00;
108;19;;0.00;0.22;2.24;0.00;0.00;0.00;
108;26;;0.00;-0.22;-2.24;0.00;0.00;0.00;
119;63;;0.36;0.26;2.63;0.00;0.00;0.00;
119;52;;0.36;-0.26;-2.63;0.00;0.00;0.00;
121;62;;0.29;0.26;2.95;0.00;0.00;0.00;
121;76;;0.29;-0.26;-2.95;0.00;0.00;0.00;
124;84;;0.40;0.42;4.30;0.00;0.00;0.00;
124;57;;0.40;-0.42;-4.30;0.00;0.00;0.00;
125;85;;2.15;0.42;4.27;0.00;0.00;0.00;
125;58;;2.15;-0.42;-4.27;0.00;0.00;0.00;
126;86;;0.30;0.42;4.29;0.00;0.00;0.00;
126;59;;0.30;-0.42;-4.29;0.00;0.00;0.00;
127;87;;0.34;0.42;4.30;0.00;0.00;0.00;
127;60;;0.34;-0.42;-4.30;0.00;0.00;0.00;
128;69;;0.38;0.42;4.25;0.00;0.00;0.00;
128;95;;0.38;-0.42;-4.25;0.00;0.00;0.00;
129;30;;0.00;0.22;2.24;0.00;0.00;0.00;
129;23;;0.00;-0.22;-2.24;0.00;0.00;0.00;
130;71;;0.22;0.42;4.25;0.00;0.00;0.00;
130;96;;0.22;-0.42;-4.25;0.00;0.00;0.00;
131;72;;1.21;0.42;4.25;0.00;0.00;0.00;
131;97;;1.21;-0.42;-4.25;0.00;0.00;0.00;
132;73;;0.18;0.42;4.25;0.00;0.00;0.00;
132;98;;0.18;-0.42;-4.25;0.00;0.00;0.00;
133;74;;0.13;0.42;4.26;0.00;0.00;0.00;
133;99;;0.13;-0.42;-4.26;0.00;0.00;0.00;
134;89;;0.37;0.26;2.63;0.00;0.00;0.00;
134;63;;0.37;-0.26;-2.63;0.00;0.00;0.00;
135;76;;0.30;0.26;2.95;0.00;0.00;0.00;
135;100;;0.30;-0.26;-2.95;0.00;0.00;0.00;
148;111;;0.66;0.42;4.30;0.00;0.00;0.00;
148;83;;0.66;-0.42;-4.30;0.00;0.00;0.00;
149;12;;0.00;0.22;2.24;0.00;0.00;0.00;
149;19;;0.00;-0.22;-2.24;0.00;0.00;0.00;
150;112;;0.39;0.42;4.30;0.00;0.00;0.00;
150;84;;0.39;-0.42;-4.30;0.00;0.00;0.00;
151;113;;2.17;0.42;4.27;0.00;0.00;0.00;
