Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-68.62;0.93;-39.55;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-68.62;0.93;-39.55;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-67.27;0.23;-41.57;-0.01;-60.86;-0.87;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-67.27;0.22;-41.57;-0.01;-60.86;-0.87;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-65.13;-0.90;-43.09;0.04;-167.45;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-65.13;-0.90;-43.09;0.04;-167.45;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-51.74;0.00;54.64;0.01;-167.62;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;0.825;;-51.60;0.00;53.96;0.01;-122.82;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;0.825;;-51.60;0.00;53.96;0.01;-122.82;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;11;;1.005;;-51.57;0.00;53.80;0.01;-113.12;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-51.49;0.01;53.25;0.01;-78.59;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-48.82;0.00;22.96;0.01;49.55;0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;12;;0.787;;-48.77;0.01;22.23;0.01;67.35;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;12;;0.787;;-48.77;0.01;22.23;0.01;67.35;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-48.71;0.01;21.48;0.01;84.56;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-46.24;0.03;3.41;0.00;105.18;0.03;Beam | 1 - IPE 500 | L : 0.150 m
1;13;;0.075;;-46.25;0.03;3.34;0.00;105.43;0.03;Beam | 1 - IPE 500 | L : 0.150 m
1;13;;0.075;;-46.25;0.03;3.34;0.00;105.43;0.03;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-46.25;0.03;3.27;0.00;105.68;0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-48.64;-0.01;-25.34;-0.01;40.47;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-48.64;-0.01;-25.41;-0.01;38.57;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-69.85;0.95;47.43;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-69.85;0.95;47.43;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-68.51;0.23;46.51;0.01;70.48;-0.88;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-68.51;0.23;46.51;0.01;70.48;-0.88;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-66.39;-0.92;45.56;-0.05;185.32;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-66.39;-0.92;45.56;-0.05;185.32;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-69.88;0.95;-39.63;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-69.88;0.95;-39.63;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-68.54;0.23;-41.65;-0.01;-60.98;-0.88;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-68.54;0.23;-41.65;-0.01;-60.98;-0.88;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-66.39;-0.92;-43.17;0.04;-167.78;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-66.39;-0.92;-43.17;0.04;-167.78;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-51.60;0.00;54.72;0.01;-167.95;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;0.825;;-51.46;0.00;54.03;0.01;-123.08;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;0.825;;-51.46;0.00;54.03;0.01;-123.08;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;17;;1.005;;-51.44;0.01;53.88;0.01;-113.37;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-51.35;0.01;53.32;0.01;-78.79;-0.03;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-48.39;0.00;23.02;0.00;49.60;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;18;;0.787;;-48.33;0.00;22.29;0.00;67.44;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;18;;0.787;;-48.33;0.00;22.29;0.00;67.44;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-48.27;0.00;21.54;0.00;84.70;-0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-45.79;0.02;3.35;0.00;105.52;0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;19;;0.075;;-45.80;0.02;3.28;0.00;105.77;0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;19;;0.075;;-45.80;0.02;3.28;0.00;105.77;0.02;Beam | 1 - IPE 500 | L : 0.150 m
