Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Corresponding Loading
17;P_z;24.05;16.36;20.13;0.00;0.00;-0.01;CO30
17;M_x;20.77;1.44;34.97;0.00;0.00;0.00;CO20
17;M_x;20.77;1.44;34.97;0.00;0.00;0.00;CO20
17;M_y;20.77;1.44;34.97;0.00;0.00;0.00;CO20
17;M_y;20.77;1.44;34.97;0.00;0.00;0.00;CO20
17;M_z;37.24;0.06;66.85;0.00;0.00;0.01;CO37
17;M_z;35.62;16.39;37.11;0.00;0.00;-0.01;CO35
Extremes;;47.27;16.39;77.89;0.00;0.00;0.01;
17;;13.46;-0.29;20.13;0.00;0.00;-0.01;
17;;;;;;;;
18;P_x;-13.49;-1.52;34.80;0.00;0.00;0.00;CO31
18;P_x;-47.46;-0.04;77.96;0.00;0.00;0.00;CO25
18;P_y;-47.46;-0.04;77.96;0.00;0.00;0.00;CO25
18;P_y;-33.60;-16.48;36.98;0.00;0.00;-0.01;CO37
18;P_z;-47.46;-0.04;77.96;0.00;0.00;0.00;CO25
18;P_z;-22.04;-16.45;19.98;0.00;0.00;-0.01;CO32
18;M_x;-20.77;-1.44;34.95;0.00;0.00;0.00;CO20
18;M_x;-20.77;-1.44;34.95;0.00;0.00;0.00;CO20
18;M_y;-20.77;-1.44;34.95;0.00;0.00;0.00;CO20
18;M_y;-20.77;-1.44;34.95;0.00;0.00;0.00;CO20
18;M_z;-38.28;-0.06;66.92;0.00;0.00;0.01;CO35
18;M_z;-33.60;-16.48;36.98;0.00;0.00;-0.01;CO37
Extremes;;-13.49;-0.04;77.96;0.00;0.00;0.01;
18;;-47.46;-16.48;19.98;0.00;0.00;-0.01;
18;;;;;;;;
24;P_x;47.41;-0.04;77.89;0.00;0.00;0.00;CO25
24;P_x;13.48;-1.73;34.14;0.00;0.00;0.00;CO29
24;P_y;47.41;-0.04;77.89;0.00;0.00;0.00;CO25
24;P_y;33.68;-16.39;37.08;0.00;0.00;0.01;CO37
24;P_z;47.41;-0.04;77.89;0.00;0.00;0.00;CO25
24;P_z;22.12;-16.36;20.10;0.00;0.00;0.01;CO32
24;M_x;20.77;-1.44;34.97;0.00;0.00;0.00;CO20
24;M_x;20.77;-1.44;34.97;0.00;0.00;0.00;CO20
24;M_y;20.77;-1.44;34.97;0.00;0.00;0.00;CO20
24;M_y;20.77;-1.44;34.97;0.00;0.00;0.00;CO20
24;M_z;33.68;-16.39;37.08;0.00;0.00;0.01;CO37
24;M_z;38.20;-0.06;66.86;0.00;0.00;-0.01;CO35
Extremes;;47.41;-0.04;77.89;0.00;0.00;0.01;
24;;13.48;-16.39;20.10;0.00;0.00;-0.01;
24;;;;;;;;
25;P_x;-12.82;-0.14;32.74;0.00;0.00;0.00;CO31
25;P_x;-46.66;0.00;68.69;0.00;0.00;0.00;CO24
25;P_y;-35.77;0.06;50.53;0.00;0.00;-0.01;CO37
25;P_y;-43.23;-0.29;67.66;0.00;0.00;0.00;CO23
25;P_z;-46.66;0.00;68.69;0.00;0.00;0.00;CO24
25;P_z;-12.82;-0.14;32.74;0.00;0.00;0.00;CO31
25;M_x;-20.11;0.00;33.52;0.00;0.00;0.00;CO20
25;M_x;-20.11;0.00;33.52;0.00;0.00;0.00;CO20
25;M_y;-20.11;0.00;33.52;0.00;0.00;0.00;CO20
25;M_y;-20.11;0.00;33.52;0.00;0.00;0.00;CO20
25;M_z;-34.82;-0.06;50.53;0.00;0.00;0.01;CO35
25;M_z;-35.77;0.06;50.53;0.00;0.00;-0.01;CO37
