Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;-1.3;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;-1.3;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;1.7;-0.8;-1.5;0.0;-0.4;0.3;-0.6;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;1.7;-0.8;-1.5;0.0;-0.4;0.3;-0.6;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;1.8;-0.9;-1.6;0.0;-0.2;0.3;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;0.4;-0.4;0.0;0.0;1.1;-0.7;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;0.4;-0.4;0.0;0.0;1.1;-0.7;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_X;0.0;0.0;0.0;0.0;-1.3;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_X;1.8;-1.0;-1.5;0.0;0.5;-0.1;-1.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Y;0.0;0.0;0.0;0.0;-1.3;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_Y;1.9;-1.0;-1.6;0.0;0.1;0.2;-0.9;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_Z;0.4;-0.4;0.0;0.0;1.1;-0.7;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Z;0.0;0.0;0.0;0.0;-1.3;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_X;0.4;-0.4;0.0;0.0;1.1;-0.7;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_X;0.0;0.0;0.0;0.0;-1.3;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Y;0.0;0.0;0.0;0.0;-1.3;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Y;0.4;-0.4;0.0;0.0;1.1;-0.7;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Z;0.0;0.0;0.0;0.0;-1.3;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Z;0.4;-0.4;0.0;0.0;1.1;-0.7;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;1.9;0.0;0.0;0.0;1.1;0.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;-1.0;-1.6;0.0;-1.3;-0.7;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
2;2;0.000;;0.3;-0.3;0.2;0.0;1.1;-0.7;-1.7;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;2.4;-0.1;-1.9;1.5;10.4;-0.6;-1.7;Beam | 3 - HEA 140 | L : 1.650 m
