Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;3.48;0.93;1.84;-0.04;-0.50;0.02;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;3.52;0.24;1.43;-0.03;2.21;-1.12;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;3.68;0.55;-0.17;0.02;2.18;-1.12;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;3.69;-0.05;-0.32;0.02;2.03;-1.29;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;3.70;-0.28;-0.37;0.02;1.95;-1.26;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;3.70;-0.28;-0.37;0.02;1.95;-1.26;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;3.72;-1.00;-0.58;0.02;1.56;-0.72;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;3.88;-0.79;-2.18;0.05;1.53;-0.72;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;3.92;-1.44;-2.57;0.05;-2.39;1.28;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;4.08;-0.35;-4.18;0.26;-2.42;1.28;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;4.08;-0.35;-4.19;0.26;-2.57;1.30;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;4.08;-0.35;-4.19;0.26;-2.57;1.30;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;4.08;-0.36;-4.20;0.26;-2.73;1.31;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;2.23;1.30;2.51;-0.04;-3.07;1.32;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;2.27;0.65;2.14;-0.03;0.59;-0.38;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;2.43;0.80;0.53;-0.01;0.56;-0.38;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;2.45;0.14;0.37;-0.01;0.87;-0.72;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;2.47;-0.77;0.13;-0.01;1.11;-0.39;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;2.63;-0.65;-1.47;0.01;1.08;-0.39;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;2.67;-1.32;-1.87;0.01;-1.67;1.39;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;2.77;-1.13;-2.89;0.05;-1.69;1.39;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;2.78;-1.14;-2.92;0.05;-2.12;1.57;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;4.05;1.17;2.95;-0.05;-2.06;1.62;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;4.04;1.16;2.91;-0.05;-1.62;1.45;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;3.94;1.34;1.90;-0.01;-1.60;1.45;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;3.90;0.67;1.50;-0.01;1.20;-0.37;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;3.74;0.78;-0.11;0.01;1.23;-0.37;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;3.72;-0.12;-0.34;0.01;1.01;-0.71;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;3.70;-0.79;-0.51;0.01;0.72;-0.39;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;3.54;-0.63;-2.11;0.03;0.75;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;3.50;-1.28;-2.49;0.03;-2.87;1.29;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;4.15;0.40;4.31;-0.25;-3.09;1.37;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;4.15;0.39;4.30;-0.25;-2.93;1.35;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;4.15;0.39;4.30;-0.25;-2.93;1.35;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;4.15;0.38;4.30;-0.25;-2.77;1.33;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;3.99;1.46;2.69;-0.05;-2.75;1.33;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;3.95;0.81;2.30;-0.05;1.36;-0.70;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;3.78;1.01;0.69;-0.02;1.39;-0.70;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;3.76;0.29;0.49;-0.02;1.88;-1.25;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;3.76;0.29;0.49;-0.02;1.88;-1.25;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;3.76;0.06;0.44;-0.02;1.98;-1.29;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;3.74;-0.54;0.28;-0.02;2.20;-1.12;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;3.58;-0.21;-1.32;0.04;2.23;-1.12;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;3.55;-0.90;-1.72;0.04;-0.28;-0.03;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;5;5;0.000;N;4.15;0.40;4.31;-0.25;-3.09;1.37;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;2.23;1.30;2.51;-0.04;-3.07;1.32;Beam | 3 - HEA 140 | L : 1.575 m
1;197;153;0.000;V_y;3.99;1.46;2.69;-0.05;-2.75;1.33;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;V_y;3.92;-1.44;-2.57;0.05;-2.39;1.28;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;4.15;0.40;4.31;-0.25;-3.09;1.37;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;4.08;-0.36;-4.20;0.26;-2.73;1.31;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;4.08;-0.35;-4.18;0.26;-2.42;1.28;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;4.15;0.38;4.30;-0.25;-2.77;1.33;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_y;3.58;-0.21;-1.32;0.04;2.23;-1.12;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;4.15;0.40;4.31;-0.25;-3.09;1.37;Beam | 3 - HEA 140 | L : 0.075 m
1;4;4;0.000;M_z;4.05;1.17;2.95;-0.05;-2.06;1.62;Beam | 3 - HEA 140 | L : 0.150 m
1;188;;0.612;M_z;3.69;-0.05;-0.32;0.02;2.03;-1.29;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;;4.15;1.46;4.31;0.26;2.23;1.62;
1;;;;;2.23;-1.44;-4.20;-0.25;-3.09;-1.29;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-28.48;0.16;25.31;0.11;-77.28;0.05;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-28.31;0.24;23.85;0.13;-36.71;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-28.00;0.17;20.64;0.11;-36.83;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-27.84;0.21;19.16;0.12;-3.99;-0.34;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-27.53;0.12;15.95;0.10;-4.11;-0.34;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-27.38;0.14;14.46;0.10;20.99;-0.58;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-27.07;-0.27;11.26;-0.04;20.87;-0.58;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-27.06;-0.27;11.19;-0.04;21.71;-0.56;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-32.49;-0.14;10.33;-0.04;21.71;-0.56;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-32.35;-0.16;8.90;-0.04;36.86;-0.29;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-32.03;-0.24;5.69;-0.06;36.74;-0.29;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-31.89;-0.26;4.18;-0.05;44.88;0.18;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-31.57;-0.32;0.97;-0.07;44.77;0.18;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-31.42;-0.32;-0.54;-0.06;45.12;0.78;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-31.22;-0.42;-2.57;-0.09;45.05;0.78;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-31.21;-0.42;-2.71;-0.09;44.65;0.86;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-31.21;0.42;2.66;0.08;44.65;0.86;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-31.23;0.42;2.52;0.08;45.04;0.79;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-31.43;0.32;0.49;0.05;45.01;0.79;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-31.58;0.32;-1.02;0.07;44.58;0.18;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-31.90;0.26;-4.23;0.05;44.54;0.18;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-32.04;0.25;-5.74;0.06;36.31;-0.29;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-32.36;0.17;-8.95;0.04;36.27;-0.29;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-32.49;0.15;-10.38;0.04;21.05;-0.56;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-27.11;0.27;-11.23;0.04;21.05;-0.56;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-27.12;0.27;-11.30;0.04;20.20;-0.58;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-27.43;-0.14;-14.51;-0.10;20.16;-0.56;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-27.58;-0.12;-16.00;-0.10;-5.01;-0.33;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-27.89;-0.20;-19.21;-0.12;-5.05;-0.33;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-28.04;-0.16;-20.69;-0.11;-37.97;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-28.36;-0.23;-23.90;-0.13;-38.02;-0.08;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-28.53;-0.16;-25.36;-0.11;-78.66;0.05;Beam | 1 - IPE 500 | L : 1.650 m
