Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;2.2;1.4;0.0;
2;1.4;-0.3;1.4;0.0;-1.2;-1.3;3.2;
3;3.0;0.0;3.0;0.0;10.0;0.4;-1.1;
4;3.9;0.0;3.9;0.1;5.0;-0.1;0.0;
5;3.0;0.0;3.0;0.0;9.8;-0.3;1.1;
6;1.4;0.3;1.4;0.0;-1.3;1.3;-3.2;
7;0.0;0.0;0.0;0.0;2.2;-1.4;0.0;
8;0.0;0.0;0.0;0.0;2.7;-0.2;0.0;
9;0.0;0.0;0.0;0.0;3.5;-0.2;0.0;
10;0.0;0.0;0.0;0.0;2.7;-0.2;0.0;
11;0.0;0.0;0.0;0.0;0.3;0.8;0.0;
12;1.8;-1.2;1.3;0.1;0.4;-0.8;0.4;
13;9.7;-0.3;2.9;9.2;8.8;-1.9;-0.7;
14;15.0;0.2;3.7;14.5;4.6;0.0;0.0;
15;9.6;0.6;2.9;9.1;8.6;1.9;0.7;
16;2.0;1.5;1.3;0.1;0.4;0.8;-0.4;
17;0.0;0.0;0.0;0.0;0.3;-0.9;0.0;
18;0.0;0.0;0.0;0.0;0.2;1.0;0.0;
19;1.9;-1.5;1.1;0.1;0.3;-0.9;0.4;
20;11.2;-0.5;2.7;10.9;9.2;-2.3;-0.8;
21;18.0;0.2;3.6;17.6;4.8;0.0;0.0;
22;11.2;0.8;2.7;10.8;9.0;2.3;0.8;
23;2.2;1.9;1.1;0.1;0.3;0.9;-0.4;
24;0.0;0.0;0.0;0.0;0.2;-1.1;0.0;
25;0.0;0.0;0.0;0.0;0.3;0.8;0.0;
26;1.7;-1.3;1.1;0.1;0.3;-0.8;0.4;
27;10.0;-0.4;2.8;9.6;9.0;-2.0;-0.7;
28;15.7;0.1;3.7;15.3;4.6;0.0;0.0;
29;9.9;0.7;2.8;9.5;8.8;2.0;0.7;
30;1.9;1.6;1.1;0.1;0.3;0.8;-0.4;
31;0.0;0.0;0.0;0.0;0.3;-0.9;0.0;
32;0.0;0.0;0.0;0.0;0.3;0.8;0.0;
33;1.8;-1.3;1.2;0.1;0.3;-0.8;0.4;
34;10.0;-0.4;2.9;9.6;8.8;-2.0;-0.7;
35;15.8;0.1;3.8;15.3;4.4;0.0;0.0;
36;9.9;0.7;2.9;9.5;8.7;2.0;0.7;
37;2.0;1.6;1.2;0.1;0.3;0.8;-0.4;
38;0.0;0.0;0.0;0.0;0.3;-0.9;0.0;
39;0.0;0.0;0.0;0.0;1.1;0.8;0.0;
40;1.2;-0.2;1.2;0.0;-0.4;-0.9;1.9;
41;2.9;0.0;2.9;0.0;9.3;0.3;-0.9;
42;3.9;0.0;3.9;0.1;4.5;-0.1;0.0;
43;2.9;0.0;2.9;0.0;9.2;-0.2;0.9;
44;1.2;0.2;1.2;0.0;-0.4;0.9;-1.9;
45;0.0;0.0;0.0;0.0;1.1;-0.8;0.0;
46;0.0;0.0;0.0;0.0;1.5;-0.2;0.0;
47;0.0;0.0;0.0;0.0;2.0;-0.2;0.0;
48;0.0;0.0;0.0;0.0;1.5;-0.2;0.0;
49;3.2;-1.1;1.9;2.4;4.0;-1.8;0.0;
50;6.4;-0.8;2.5;5.8;6.8;-2.2;-0.4;
51;9.8;-0.4;2.9;9.4;8.9;-2.0;-0.7;
52;15.7;0.1;3.7;15.3;4.5;-0.1;0.0;
53;14.9;0.1;3.3;14.5;6.3;-0.9;-0.5;
54;12.8;-0.1;3.1;12.5;7.8;-1.6;-0.7;
55;3.2;-1.1;1.9;2.4;4.1;-1.8;0.0;
57;6.4;-0.8;2.4;5.8;6.9;-2.2;-0.4;
58;9.8;-0.4;2.8;9.4;9.0;-2.0;-0.7;
59;12.8;-0.1;3.0;12.5;8.0;-1.6;-0.7;
60;14.9;0.1;3.2;14.5;6.6;-0.9;-0.5;
62;15.7;0.1;3.7;15.3;4.5;0.1;0.0;
63;15.7;0.1;3.6;15.3;4.8;-0.1;-0.1;
64;3.3;1.4;1.9;2.4;4.0;1.8;0.0;
65;6.3;1.0;2.5;5.8;6.6;2.2;0.4;
66;9.8;0.7;2.9;9.3;8.7;2.1;0.7;
67;14.9;0.2;3.3;14.5;6.2;0.9;0.4;
68;12.8;0.4;3.1;12.4;7.7;1.6;0.7;
69;3.3;1.4;1.8;2.4;4.0;1.8;0.0;
71;6.3;1.0;2.4;5.8;6.7;2.2;0.4;
72;9.8;0.7;2.8;9.3;8.9;2.1;0.7;
73;12.8;0.4;3.0;12.4;7.9;1.6;0.7;
74;14.8;0.2;3.2;14.5;6.5;0.9;0.5;
76;15.7;0.1;3.6;15.3;4.8;0.1;0.1;
83;3.5;-1.3;1.8;2.7;4.2;-2.0;0.0;
84;7.1;-0.9;2.4;6.6;7.0;-2.5;-0.4;
85;11.1;-0.5;2.7;10.7;9.2;-2.4;-0.8;
86;14.5;-0.2;2.9;14.2;8.3;-1.8;-0.8;
87;16.9;0.1;3.1;16.7;6.9;-1.0;-0.5;
89;17.9;0.2;3.5;17.6;5.1;-0.1;-0.1;
95;3.6;1.6;1.8;2.7;4.1;2.0;0.0;
96;7.0;1.2;2.4;6.5;6.9;2.5;0.4;
97;11.0;0.8;2.7;10.6;9.0;2.4;0.8;
98;14.5;0.5;2.9;14.2;8.2;1.8;0.7;
99;16.9;0.3;3.1;16.6;6.8;1.1;0.5;
100;17.9;0.2;3.5;17.6;5.1;0.1;0.1;
111;3.2;-1.0;2.0;2.4;3.7;-1.7;0.0;
112;6.2;-0.6;2.6;5.6;6.6;-2.1;-0.4;
113;9.5;-0.3;2.9;9.1;8.8;-1.9;-0.7;
114;12.3;-0.1;3.0;11.9;7.9;-1.5;-0.7;
115;14.2;0.1;3.2;13.8;6.5;-0.8;-0.5;
116;4.5;0.0;4.2;1.6;-2.2;-0.6;1.5;
117;15.0;0.2;3.6;14.5;4.8;-0.1;-0.1;
118;4.9;0.2;4.7;1.4;0.8;0.7;0.0;
119;3.1;0.1;3.1;0.1;8.1;0.4;-0.8;
120;4.1;0.0;4.1;0.5;5.1;-0.4;-0.3;
121;4.3;0.1;4.2;0.7;3.7;0.3;-0.7;
122;3.9;0.0;3.9;0.1;4.1;0.1;-0.1;
123;3.3;1.3;2.0;2.3;3.7;1.7;0.0;
124;6.2;1.0;2.5;5.6;6.4;2.1;0.4;
125;9.4;0.6;2.9;9.0;8.7;1.9;0.7;
126;12.2;0.4;3.0;11.9;7.8;1.5;0.7;
127;14.1;0.2;3.2;13.8;6.4;0.8;0.5;
128;15.0;0.2;3.6;14.5;4.8;0.1;0.1;
129;4.5;0.0;4.2;1.5;-2.5;0.5;-1.4;
130;4.8;-0.3;4.6;1.3;0.7;-0.7;0.0;
131;3.1;0.0;3.1;0.1;8.0;-0.2;0.8;
132;4.1;0.0;4.0;0.7;5.0;0.5;0.3;
133;4.3;-0.2;4.2;0.9;3.7;-0.3;0.7;
134;3.9;-0.1;3.9;0.1;4.1;-0.2;0.1;
139;7.6;0.0;7.4;1.9;-10.7;-0.6;2.8;
140;7.6;0.3;7.4;1.7;-6.6;0.8;0.0;
141;3.6;0.1;3.6;0.1;7.0;0.5;-0.9;
142;5.4;-0.1;5.4;0.5;1.6;-0.4;0.4;
143;5.7;0.1;5.6;0.7;-0.2;0.3;-0.6;
145;4.0;0.0;4.0;0.1;3.8;0.1;-0.2;
151;7.6;-0.1;7.4;1.9;-11.2;0.6;-2.8;
152;7.5;-0.3;7.3;1.6;-6.7;-0.8;0.0;
153;3.6;-0.1;3.6;0.1;6.9;-0.4;0.9;
154;5.3;0.0;5.3;0.6;1.6;0.5;-0.4;
155;5.6;-0.1;5.6;0.8;0.0;-0.3;0.6;
156;4.0;-0.1;4.0;0.1;3.8;-0.2;0.1;
Total;18.0;1.9;7.4;17.6;10.0;2.5;3.2;
max/min;0.0;-1.5;0.0;0.0;-11.2;-2.5;-3.2;
