Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-47.60;0.64;-28.09;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-47.60;0.64;-28.09;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-42.76;-0.60;-27.99;0.02;-112.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-42.76;-0.60;-27.99;0.02;-112.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-32.87;-0.01;35.64;0.00;-112.32;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-32.62;-0.01;33.67;0.00;-55.12;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-30.97;0.00;15.44;0.00;28.75;0.01;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-30.79;0.00;13.50;0.00;51.54;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-29.25;-0.01;2.30;0.00;67.19;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-29.26;-0.01;2.12;0.00;67.52;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-30.93;0.00;-16.45;0.00;28.85;0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-30.94;0.00;-16.54;0.00;27.61;0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-47.47;0.64;28.09;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-47.47;0.64;28.09;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-42.64;-0.60;27.99;-0.02;112.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-42.64;-0.60;27.99;-0.02;112.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-48.44;0.65;-28.13;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-48.44;0.65;-28.13;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-43.61;-0.61;-28.03;0.02;-112.39;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-43.61;-0.61;-28.03;0.02;-112.39;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-32.75;0.00;35.67;0.00;-112.47;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-32.51;0.00;33.71;0.00;-55.23;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-30.66;0.00;15.47;0.00;28.76;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-30.49;0.00;13.53;0.00;51.60;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-28.94;0.00;2.27;0.00;67.37;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-28.96;0.00;2.08;0.00;67.70;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-30.82;0.00;-16.48;0.00;28.86;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-30.83;0.00;-16.57;0.00;27.62;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-48.31;0.65;28.13;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-48.31;0.65;28.13;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-43.47;-0.61;28.03;-0.02;112.39;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-43.47;-0.61;28.03;-0.02;112.39;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-45.30;0.61;-27.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-45.30;0.61;-27.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;26;4.000;;-40.46;-0.57;-27.13;0.02;-108.75;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;26;4.000;;-40.46;-0.57;-27.13;0.02;-108.75;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;23;26;0.000;;-30.73;0.00;34.71;0.00;-108.84;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
1;23;55;1.650;;-30.49;0.00;32.74;0.00;-53.18;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
1;24;27;0.000;;-28.77;0.00;15.19;0.00;27.55;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;24;59;1.575;;-28.59;0.00;13.26;0.00;49.95;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;25;28;0.000;;-27.05;0.00;2.54;0.00;64.77;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;25;76;0.150;;-27.07;0.00;2.36;0.00;65.14;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;26;29;0.000;;-28.80;0.00;-15.52;0.00;27.65;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;26;72;0.075;;-28.81;0.00;-15.61;0.00;26.48;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;27;31;0.000;;-45.16;0.60;27.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
