Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;2.07;-0.68;2.66;0.01;-1.43;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;2.12;-0.24;2.12;0.00;2.51;0.86;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;2.34;-0.37;-0.05;-0.02;2.47;0.86;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;2.36;0.01;-0.25;-0.02;2.37;0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;2.36;0.16;-0.32;-0.02;2.31;0.96;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;2.36;0.16;-0.32;-0.02;2.31;0.96;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;2.39;0.63;-0.59;-0.02;1.93;0.62;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;2.61;0.50;-2.76;-0.04;1.89;0.62;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;2.66;0.93;-3.29;-0.04;-3.10;-0.65;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;2.88;0.34;-5.47;-0.16;-3.14;-0.65;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;2.88;0.35;-5.48;-0.16;-3.34;-0.67;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;2.88;0.35;-5.48;-0.16;-3.34;-0.67;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;2.88;0.35;-5.49;-0.16;-3.54;-0.68;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;0.93;-0.77;3.34;0.03;-3.90;-0.69;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;0.99;-0.35;2.82;0.02;0.95;0.30;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;1.20;-0.42;0.66;0.01;0.91;0.30;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;1.22;0.01;0.43;0.01;1.28;0.45;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;1.25;0.59;0.12;0.01;1.55;0.15;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;1.47;0.56;-2.05;0.00;1.51;0.15;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;1.53;1.00;-2.59;0.00;-2.31;-1.24;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;1.66;0.89;-3.96;-0.02;-2.34;-1.24;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;1.67;0.89;-4.01;-0.02;-2.94;-1.38;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;2.75;-0.91;4.07;0.02;-2.95;-1.42;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;2.74;-0.91;4.02;0.02;-2.35;-1.28;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;2.60;-1.01;2.64;0.00;-2.32;-1.28;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;2.55;-0.58;2.10;0.00;1.59;0.13;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;2.33;-0.60;-0.07;-0.01;1.63;0.13;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;2.30;-0.02;-0.38;-0.01;1.42;0.44;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;2.28;0.41;-0.60;-0.01;1.08;0.30;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;2.06;0.34;-2.77;-0.02;1.12;0.30;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;2.01;0.76;-3.28;-0.02;-3.64;-0.68;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;2.90;-0.38;5.61;0.15;-3.92;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;2.90;-0.37;5.60;0.15;-3.72;-0.71;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;2.90;-0.37;5.60;0.15;-3.72;-0.71;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;2.90;-0.36;5.59;0.15;-3.51;-0.70;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;2.68;-0.94;3.41;0.04;-3.47;-0.70;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;2.63;-0.51;2.87;0.04;1.72;0.61;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;2.41;-0.64;0.71;0.02;1.76;0.61;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;2.38;-0.17;0.44;0.02;2.23;0.95;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;2.38;-0.17;0.44;0.02;2.23;0.95;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;2.37;-0.02;0.37;0.02;2.32;0.97;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;2.36;0.36;0.17;0.02;2.48;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;2.14;0.22;-2.00;0.00;2.52;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;2.09;0.66;-2.54;-0.01;-1.22;0.02;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;5;5;0.000;N;2.90;-0.38;5.61;0.15;-3.92;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;0.93;-0.77;3.34;0.03;-3.90;-0.69;Beam | 3 - HEA 140 | L : 1.575 m
1;192;145;1.650;V_y;1.53;1.00;-2.59;0.00;-2.31;-1.24;Beam | 3 - HEA 140 | L : 1.650 m
1;194;156;0.000;V_y;2.60;-1.01;2.64;0.00;-2.32;-1.28;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;2.90;-0.38;5.61;0.15;-3.92;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;2.88;0.35;-5.49;-0.16;-3.54;-0.68;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;2.90;-0.36;5.59;0.15;-3.51;-0.70;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;2.88;0.34;-5.47;-0.16;-3.14;-0.65;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_y;2.14;0.22;-2.00;0.00;2.52;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;2.90;-0.38;5.61;0.15;-3.92;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;188;;0.612;M_z;2.36;0.01;-0.25;-0.02;2.37;0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;4;4;0.000;M_z;2.75;-0.91;4.07;0.02;-2.95;-1.42;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;;2.90;1.00;5.61;0.15;2.52;0.98;
1;;;;;0.93;-1.01;-5.49;-0.16;-3.92;-1.42;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-29.65;-0.34;38.46;-0.18;-125.18;-0.12;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-29.39;-0.57;36.49;-0.23;-63.33;0.05;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-28.97;-0.31;32.16;-0.14;-63.49;0.05;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-28.76;-0.42;30.17;-0.18;-12.06;0.49;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-28.34;-0.27;25.84;-0.14;-12.22;0.49;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-28.15;-0.32;23.83;-0.15;28.76;1.00;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-27.73;0.30;19.51;0.05;28.60;0.99;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-27.72;0.31;19.41;0.05;30.06;0.97;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-9.05;0.10;18.26;0.05;30.06;0.97;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-8.87;0.15;16.34;0.05;57.31;0.72;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-8.45;0.30;12.01;0.09;57.15;0.72;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-8.26;0.35;9.99;0.07;75.29;0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-7.84;0.48;5.66;0.10;75.14;0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-7.64;0.51;3.64;0.06;82.80;-1.01;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-7.37;0.69;0.90;0.12;82.70;-1.01;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-7.35;0.70;0.71;0.12;82.82;-1.14;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-7.33;-0.70;-0.58;-0.11;82.82;-1.14;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-7.35;-0.70;-0.76;-0.12;82.72;-1.01;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-7.62;-0.52;-3.50;-0.06;82.69;-1.02;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-7.82;-0.49;-5.53;-0.10;75.24;0.03;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-8.24;-0.36;-9.85;-0.07;75.18;0.03;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-8.43;-0.31;-11.87;-0.08;57.25;0.72;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-8.85;-0.16;-16.20;-0.05;57.19;0.71;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-9.02;-0.11;-18.13;-0.05;30.16;0.98;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-27.71;-0.31;-19.28;-0.05;30.16;0.98;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-27.72;-0.31;-19.37;-0.05;28.71;1.00;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-28.14;0.30;-23.69;0.15;28.65;0.97;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-28.33;0.25;-25.71;0.14;-12.11;0.49;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-28.75;0.40;-30.04;0.17;-12.17;0.48;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-28.96;0.29;-32.03;0.14;-63.38;0.06;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-29.38;0.56;-36.36;0.23;-63.44;0.05;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-29.64;0.34;-38.33;0.18;-125.07;-0.12;Beam | 1 - IPE 500 | L : 1.650 m
