Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;1.3;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;1.3;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.2;0.0;-1.4;-1.7;0.6;0.8;-0.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.2;0.0;-1.4;-1.7;0.6;0.8;-0.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;2.4;0.0;-1.4;-1.9;0.7;0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;0.7;-0.1;0.0;-0.7;1.5;-1.9;1.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;0.7;-0.1;0.0;-0.7;1.5;-1.9;1.0;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;1.3;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_x;0.7;-0.1;0.0;-0.7;1.5;-1.9;1.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;1.3;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_y;2.5;0.0;-1.5;-2.0;0.8;0.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;1.3;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_z;2.5;0.0;-1.3;-2.1;1.0;-0.1;0.5;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_x;0.7;-0.1;0.0;-0.7;1.5;-1.9;1.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;1.3;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
