Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-11.82;-0.78;-2.31;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-11.82;-0.78;-2.31;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-11.21;-0.11;-1.35;0.01;-2.75;0.67;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-11.21;-0.11;-1.35;0.01;-2.75;0.67;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-11.11;-0.01;-1.20;0.00;-3.05;0.68;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-11.82;-0.78;-2.31;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-11.82;-0.78;-2.31;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-11.82;-0.78;-2.31;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;M_T;-11.21;-0.11;-1.35;0.01;-2.75;0.67;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-11.82;-0.78;-2.31;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-11.11;-0.01;-1.20;0.00;-3.05;0.68;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-10.18;0.50;-0.62;0.01;0.00;0.68;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-11.82;-0.78;-2.31;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-0.25;-0.41;6.66;0.01;-5.00;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-0.20;-0.14;6.12;0.00;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-0.20;-0.14;6.12;0.00;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-0.25;-0.41;6.66;0.01;-5.00;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;-0.20;-0.14;6.12;0.00;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;-0.25;-0.41;6.66;0.01;-5.00;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;-0.25;-0.41;6.66;0.01;-5.00;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;-0.20;-0.14;6.12;0.00;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;-0.25;-0.41;6.66;0.01;-5.00;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;-0.20;-0.14;6.12;0.00;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;-0.20;-0.14;6.12;0.00;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;-0.25;-0.41;6.66;0.01;-5.00;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;-0.20;-0.14;6.12;0.00;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;-0.25;-0.41;6.66;0.01;-5.00;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-0.20;-0.14;6.66;0.01;5.54;0.51;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-0.25;-0.41;6.12;0.00;-5.00;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-0.51;-0.51;7.98;0.02;-9.23;-0.46;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-0.44;-0.23;7.46;0.01;2.93;0.19;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;-0.44;-0.23;7.46;0.01;2.93;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;-0.51;-0.51;7.98;0.02;-9.23;-0.46;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;-0.44;-0.23;7.46;0.01;2.93;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;-0.51;-0.51;7.98;0.02;-9.23;-0.46;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;-0.51;-0.51;7.98;0.02;-9.23;-0.46;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;-0.44;-0.23;7.46;0.01;2.93;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.394;M_T;-0.48;-0.48;7.85;0.02;-6.11;-0.26;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;-0.44;-0.23;7.46;0.01;2.93;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;-0.44;-0.23;7.46;0.01;2.93;0.19;Beam | 3 - HEA 140 | L : 1.575 m
