No.;;;;;Load;Member Set Load Parameters;;;;;;;;;;;;;;;;;;
;Assigned to Member Sets No.;Load Type;Load Distribution;Coordinate System;Direction;p [kN/m];;;;;;;;;;;;;;;;;Options;Comment
