Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-5.20;3.00;4.95;0.00;0.00;0.01;
7;;5.13;3.00;4.81;0.00;0.00;-0.01;
8;;1.09;6.87;11.56;0.00;0.00;0.00;
9;;-0.97;7.66;12.06;0.00;0.00;0.00;
10;;-0.05;6.87;11.34;0.00;0.00;0.00;
11;;-32.87;24.71;24.76;0.00;0.00;0.01;
17;;32.99;24.58;24.94;0.00;0.00;-0.01;
18;;-37.00;-0.09;69.61;0.00;0.00;0.01;
24;;36.87;-0.09;69.55;0.00;0.00;-0.01;
25;;-31.91;-0.08;45.25;0.00;0.00;0.01;
31;;31.91;-0.08;45.28;0.00;0.00;-0.01;
32;;-31.89;-0.08;45.23;0.00;0.00;0.01;
38;;31.89;-0.08;45.26;0.00;0.00;-0.01;
39;;-2.59;1.28;5.53;0.00;0.00;0.01;
45;;2.53;1.28;5.39;0.00;0.00;-0.01;
46;;1.12;2.94;11.26;0.00;0.00;0.00;
47;;-1.01;3.28;11.63;0.00;0.00;0.00;
48;;-0.05;2.94;11.04;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;36.87;-0.09;69.55;0.00;0.00;-0.01;
18;P_x;-37.00;-0.09;69.61;0.00;0.00;0.01;
11;P_y;-32.87;24.71;24.76;0.00;0.00;0.01;
18;P_y;-37.00;-0.09;69.61;0.00;0.00;0.01;
18;P_z;-37.00;-0.09;69.61;0.00;0.00;0.01;
7;P_z;5.13;3.00;4.81;0.00;0.00;-0.01;
1;M_x;-5.20;3.00;4.95;0.00;0.00;0.01;
1;M_x;-5.20;3.00;4.95;0.00;0.00;0.01;
1;M_y;-5.20;3.00;4.95;0.00;0.00;0.01;
1;M_y;-5.20;3.00;4.95;0.00;0.00;0.01;
18;M_z;-37.00;-0.09;69.61;0.00;0.00;0.01;
24;M_z;36.87;-0.09;69.55;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;87.90;459.46;Loads;;;
Σ;;0.00;87.90;459.46;Support Forces;;;
