Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;2.40;-4.91;6.71;0.00;0.00;-0.01;
7;;1.76;-2.18;5.60;0.00;0.00;0.01;
8;;5.62;-7.91;5.38;0.00;0.00;0.00;
9;;0.00;-7.20;16.98;0.00;0.00;0.00;
10;;0.00;-4.96;11.01;0.00;0.00;0.00;
11;;-17.05;2.02;45.13;0.00;0.00;0.00;
17;;36.56;1.73;49.08;0.00;0.00;0.00;
18;;-17.14;-1.42;46.85;0.00;0.00;0.00;
24;;36.63;-1.11;50.86;0.00;0.00;0.00;
25;;-16.22;-0.19;44.07;0.00;0.00;0.00;
31;;35.73;-0.21;48.05;0.00;0.00;0.00;
32;;-16.20;-0.19;44.04;0.00;0.00;0.00;
38;;35.68;-0.21;48.01;0.00;0.00;0.00;
39;;2.40;4.85;6.71;0.00;0.00;0.01;
45;;1.76;2.13;5.60;0.00;0.00;-0.01;
46;;5.62;7.82;5.38;0.00;0.00;0.00;
47;;0.00;7.05;16.98;0.00;0.00;0.00;
48;;0.00;4.87;11.01;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;36.63;-1.11;50.86;0.00;0.00;0.00;
18;P_x;-17.14;-1.42;46.85;0.00;0.00;0.00;
46;P_y;5.62;7.82;5.38;0.00;0.00;0.00;
8;P_y;5.62;-7.91;5.38;0.00;0.00;0.00;
24;P_z;36.63;-1.11;50.86;0.00;0.00;0.00;
46;P_z;5.62;7.82;5.38;0.00;0.00;0.00;
1;M_x;2.40;-4.91;6.71;0.00;0.00;-0.01;
1;M_x;2.40;-4.91;6.71;0.00;0.00;-0.01;
1;M_y;2.40;-4.91;6.71;0.00;0.00;-0.01;
1;M_y;2.40;-4.91;6.71;0.00;0.00;-0.01;
39;M_z;2.40;4.85;6.71;0.00;0.00;0.01;
1;M_z;2.40;-4.91;6.71;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;97.55;0.00;467.46;Loads;;;
Σ;;97.55;0.00;467.46;Support Forces;;;
