Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
3;3;0.000;φ_X;4.6;-0.1;4.6;0.1;9.1;0.7;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_X;5.8;0.1;5.3;2.2;1.5;-1.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_Y;4.6;-0.1;4.6;0.1;9.1;0.7;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
3;;1.181;φ_Y;5.3;0.1;5.1;1.5;3.4;-1.8;0.3;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_Z;5.8;0.1;5.3;2.2;1.5;-1.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_Z;4.6;-0.1;4.6;0.1;9.1;0.7;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;5.8;0.1;5.3;2.2;9.1;0.7;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;4.6;-0.1;4.6;0.1;1.5;-1.8;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;;
4;4;0.000;;4.5;0.0;4.5;0.1;4.6;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;4.5;0.0;4.5;0.2;3.6;-0.4;0.1;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;u_X;4.5;0.0;4.5;0.1;4.6;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_X;4.5;0.0;4.5;0.2;3.6;-0.4;0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_Y;4.5;0.0;4.5;0.1;4.6;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_Y;4.5;0.0;4.5;0.2;3.6;-0.4;0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_Z;4.5;0.0;4.5;0.2;3.6;-0.4;0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_Z;4.5;0.0;4.5;0.1;4.6;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_X;4.5;0.0;4.5;0.1;4.6;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_X;4.5;0.0;4.5;0.2;3.6;-0.4;0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_Y;4.5;0.0;4.5;0.1;4.6;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_Y;4.5;0.0;4.5;0.2;3.6;-0.4;0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_Z;4.5;0.0;4.5;0.2;3.6;-0.4;0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_Z;4.5;0.0;4.5;0.1;4.6;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;4.5;0.0;4.5;0.2;4.6;0.1;0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;4.5;0.0;4.5;0.1;3.6;-0.4;0.0;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;;
5;5;0.000;;4.5;0.0;4.5;0.1;8.9;-0.5;1.0;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;4.5;0.0;4.5;0.1;7.6;-0.7;0.9;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;4.5;0.0;4.5;0.1;7.6;-0.7;0.9;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;4.5;0.0;4.5;0.2;6.3;-0.8;0.8;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;u_X;4.5;0.0;4.5;0.1;8.9;-0.5;1.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_X;4.5;0.0;4.5;0.2;6.3;-0.8;0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_Y;4.5;0.0;4.5;0.2;6.3;-0.8;0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_Y;4.5;0.0;4.5;0.1;8.9;-0.5;1.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_Z;4.5;0.0;4.5;0.2;6.3;-0.8;0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_Z;4.5;0.0;4.5;0.1;8.9;-0.5;1.0;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_X;4.5;0.0;4.5;0.1;8.9;-0.5;1.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_X;4.5;0.0;4.5;0.2;6.3;-0.8;0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_Y;4.5;0.0;4.5;0.1;8.9;-0.5;1.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_Y;4.5;0.0;4.5;0.2;6.3;-0.8;0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_Z;4.5;0.0;4.5;0.1;8.9;-0.5;1.0;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_Z;4.5;0.0;4.5;0.2;6.3;-0.8;0.8;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;4.5;0.0;4.5;0.2;8.9;-0.5;1.0;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;4.5;0.0;4.5;0.1;6.3;-0.8;0.8;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;;
6;7;0.000;;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;3.5;2.5;2.4;0.0;0.9;-0.9;-1.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;3.5;2.5;2.4;0.0;0.9;-0.9;-1.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;3.7;2.7;2.6;0.0;0.6;-0.6;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;;3.9;2.9;2.7;0.0;0.2;-0.3;-1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;;3.9;2.9;2.7;0.0;0.2;-0.3;-1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;1.4;0.5;1.3;0.1;-1.1;2.6;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;1.4;0.5;1.3;0.1;-1.1;2.6;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;;2.000;u_X;3.9;2.9;2.7;0.0;0.2;-0.3;-1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;u_X;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;u_Y;3.9;2.9;2.7;0.0;0.2;-0.3;-1.4;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;u_Y;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;u_Z;1.4;0.5;1.3;0.1;-1.1;2.6;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;u_Z;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_X;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_X;1.4;0.5;1.3;0.1;-1.1;2.6;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_Y;1.4;0.5;1.3;0.1;-1.1;2.6;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_Y;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_Z;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_Z;1.4;0.5;1.3;0.1;-1.1;2.6;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;3.9;2.9;2.7;0.1;2.0;2.6;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;0.0;0.0;0.0;0.0;-1.1;-2.0;-2.9;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
7;8;0.000;;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.738;;3.6;0.7;3.5;0.1;1.2;-0.2;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;4.0;0.8;4.0;0.1;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;2.9;0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;2.9;0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
