Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-11.80;-0.59;-2.49;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-11.80;-0.59;-2.49;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-11.19;-0.07;-1.38;0.00;-2.90;0.49;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-11.19;-0.07;-1.38;0.00;-2.90;0.49;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-11.09;0.01;-1.21;0.00;-3.21;0.50;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.16;0.33;-0.43;0.00;-4.79;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.16;0.33;-0.43;0.00;-4.79;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-10.16;0.33;-0.43;0.00;-4.79;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-11.80;-0.59;-2.49;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;3.500;V_y;-10.37;0.34;-0.48;0.00;-4.56;0.10;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-11.80;-0.59;-2.49;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-10.16;0.33;-0.43;0.00;-4.79;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-11.80;-0.59;-2.49;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;M_T;-11.19;-0.07;-1.38;0.00;-2.90;0.49;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-10.16;0.33;-0.43;0.00;-4.79;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-11.80;-0.59;-2.49;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-10.16;0.33;-0.43;0.00;-4.79;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-11.09;0.01;-1.21;0.00;-3.21;0.50;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-10.16;0.33;-0.43;0.00;-4.79;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-10.16;0.34;-0.43;0.00;0.00;0.50;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-11.80;-0.59;-2.49;0.00;-4.79;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-0.19;-0.41;6.65;0.01;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-0.14;-0.14;6.10;0.00;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-0.14;-0.14;6.10;0.00;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-0.19;-0.41;6.65;0.01;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;-0.14;-0.14;6.10;0.00;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;-0.19;-0.41;6.65;0.01;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;-0.19;-0.41;6.65;0.01;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;-0.14;-0.14;6.10;0.00;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;-0.19;-0.41;6.65;0.01;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;-0.14;-0.14;6.10;0.00;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;-0.14;-0.14;6.10;0.00;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;-0.19;-0.41;6.65;0.01;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;-0.14;-0.14;6.10;0.00;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;-0.19;-0.41;6.65;0.01;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-0.14;-0.14;6.65;0.01;5.58;0.52;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-0.19;-0.41;6.10;0.00;-4.94;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-0.54;-0.51;7.98;0.02;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-0.47;-0.23;7.47;0.01;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;-0.47;-0.23;7.47;0.01;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;-0.54;-0.51;7.98;0.02;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;-0.47;-0.23;7.47;0.01;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;-0.54;-0.51;7.98;0.02;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;-0.54;-0.51;7.98;0.02;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;-0.47;-0.23;7.47;0.01;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.394;M_T;-0.52;-0.48;7.86;0.02;-6.14;-0.26;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;-0.47;-0.23;7.47;0.01;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;-0.47;-0.23;7.47;0.01;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;-0.54;-0.51;7.98;0.02;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;-0.47;-0.23;7.47;0.01;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;-0.54;-0.51;7.98;0.02;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-0.47;-0.23;7.98;0.02;2.91;0.19;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-0.54;-0.51;7.47;0.01;-9.25;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;1.48;-0.58;10.33;0.01;-6.33;-0.79;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;;0.094;N;1.48;-0.58;10.35;0.01;-6.92;-0.83;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;N;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_y;1.48;-0.58;10.33;0.01;-6.33;-0.79;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_y;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_z;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_z;1.48;-0.58;10.33;0.01;-6.33;-0.79;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_T;1.48;-0.58;10.33;0.01;-6.33;-0.79;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_T;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_y;1.48;-0.58;10.33;0.01;-6.33;-0.79;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_y;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_z;1.48;-0.58;10.33;0.01;-6.33;-0.79;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_z;1.48;-0.58;10.38;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;1.48;-0.58;10.38;0.01;-6.33;-0.79;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;1.48;-0.58;10.33;0.01;-7.89;-0.88;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;1.87;-0.30;14.19;0.09;-8.85;-0.47;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;1.87;-0.30;14.19;0.09;-8.85;-0.47;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;153;0.075;N;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;N;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_y;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_y;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_z;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_z;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_T;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_T;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_y;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_y;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_z;1.87;-0.29;14.17;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_z;1.87;-0.31;14.20;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;1.87;-0.29;14.20;0.09;-8.32;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;1.87;-0.31;14.17;0.09;-9.38;-0.49;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;
6;7;0.000;;-11.61;-0.59;2.51;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;-11.61;-0.59;2.51;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-11.00;-0.07;1.40;0.00;2.93;0.50;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-11.00;-0.07;1.40;0.00;2.93;0.50;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;-10.90;0.01;1.23;0.00;3.25;0.51;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-9.97;0.33;0.46;0.00;4.87;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-9.97;0.33;0.46;0.00;4.87;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;6;4.000;N;-9.97;0.33;0.46;0.00;4.87;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;N;-11.61;-0.59;2.51;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;;3.500;V_y;-10.18;0.34;0.50;0.00;4.64;0.11;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;V_y;-11.61;-0.59;2.51;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;V_z;-11.61;-0.59;2.51;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;V_z;-9.97;0.33;0.46;0.00;4.87;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_T;-9.97;0.33;0.46;0.00;4.87;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;M_T;-11.00;-0.07;1.40;0.00;2.93;0.50;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_y;-9.97;0.33;0.46;0.00;4.87;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;M_y;-11.61;-0.59;2.51;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
