Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-7.98;3.02;-5.44;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-7.98;3.02;-5.44;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.39;0.45;-1.42;-0.02;-5.15;-2.61;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.39;0.45;-1.43;-0.02;-5.15;-2.61;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-7.29;0.04;-0.81;-0.01;-5.41;-2.67;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-7.18;-0.39;-0.18;-0.01;-5.54;-2.62;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-7.18;-0.39;-0.18;-0.01;-5.54;-2.62;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-6.35;-1.93;2.06;-0.01;-2.87;0.19;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-6.35;-1.93;2.06;-0.01;-2.87;0.19;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-6.35;-1.93;2.06;-0.01;-2.87;0.19;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-7.98;3.02;-5.44;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-7.98;3.02;-5.44;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-6.35;-1.93;2.06;-0.01;-2.87;0.19;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-6.35;-1.93;2.06;-0.01;-2.87;0.19;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-7.98;3.02;-5.44;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-6.35;-1.93;2.06;-0.01;-2.87;0.19;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-7.59;1.31;-2.76;-0.02;-4.10;-2.17;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-7.98;3.02;-5.44;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;M_y;-7.18;-0.39;-0.18;-0.01;-5.54;-2.62;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-6.35;-1.93;2.06;-0.01;-2.87;0.19;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-7.29;0.04;-0.81;-0.01;-5.41;-2.67;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-6.35;3.02;2.06;-0.01;0.00;0.19;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-7.98;-1.93;-5.44;-0.02;-5.54;-2.67;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;4.75;1.39;4.37;-0.06;-2.08;0.03;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;4.80;0.32;3.83;-0.05;4.69;-1.64;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;4.80;0.32;3.83;-0.05;4.69;-1.64;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;4.75;1.39;4.37;-0.06;-2.08;0.03;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;4.75;1.39;4.37;-0.06;-2.08;0.03;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;4.80;0.32;3.83;-0.05;4.69;-1.64;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;4.75;1.39;4.37;-0.06;-2.08;0.03;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;4.80;0.32;3.83;-0.05;4.69;-1.64;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;4.80;0.32;3.83;-0.05;4.69;-1.64;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;4.75;1.39;4.37;-0.06;-2.08;0.03;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;4.80;0.32;3.83;-0.05;4.69;-1.64;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;4.75;1.39;4.37;-0.06;-2.08;0.03;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;4.75;1.39;4.37;-0.06;-2.08;0.03;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;4.80;0.32;3.83;-0.05;4.69;-1.64;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;4.80;1.39;4.37;-0.05;4.69;0.03;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;4.75;0.32;3.83;-0.06;-2.08;-1.64;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;4.08;1.99;5.73;-0.05;-6.84;2.03;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;4.14;0.98;5.23;-0.05;1.77;-0.58;Beam | 3 - HEA 140 | L : 1.575 m
