Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.93;-1.31;8.57;0.00;0.00;-0.01;
7;;2.94;-1.31;8.41;0.00;0.00;0.01;
8;;0.62;-3.01;18.16;0.00;0.00;0.00;
9;;-0.62;-3.35;17.57;0.00;0.00;0.00;
10;;0.00;-3.01;17.67;0.00;0.00;0.00;
11;;-52.78;-0.30;93.93;0.00;0.00;-0.01;
17;;52.78;-0.30;93.62;0.00;0.00;0.01;
18;;-47.43;-23.42;51.70;0.00;0.00;-0.01;
24;;47.43;-23.36;51.48;0.00;0.00;0.01;
25;;-50.67;-0.21;70.90;0.00;0.00;-0.01;
31;;50.67;-0.21;70.63;0.00;0.00;0.01;
32;;-52.17;-0.21;70.96;0.00;0.00;-0.01;
38;;52.17;-0.21;70.70;0.00;0.00;0.01;
39;;-5.54;-3.03;7.99;0.00;0.00;-0.01;
45;;5.54;-3.04;7.83;0.00;0.00;0.01;
46;;0.59;-6.94;18.43;0.00;0.00;0.00;
47;;-0.59;-7.73;17.97;0.00;0.00;0.00;
48;;0.00;-6.94;17.95;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;52.78;-0.30;93.62;0.00;0.00;0.01;
11;P_x;-52.78;-0.30;93.93;0.00;0.00;-0.01;
31;P_y;50.67;-0.21;70.63;0.00;0.00;0.01;
18;P_y;-47.43;-23.42;51.70;0.00;0.00;-0.01;
11;P_z;-52.78;-0.30;93.93;0.00;0.00;-0.01;
45;P_z;5.54;-3.04;7.83;0.00;0.00;0.01;
1;M_x;-2.93;-1.31;8.57;0.00;0.00;-0.01;
1;M_x;-2.93;-1.31;8.57;0.00;0.00;-0.01;
1;M_y;-2.93;-1.31;8.57;0.00;0.00;-0.01;
1;M_y;-2.93;-1.31;8.57;0.00;0.00;-0.01;
17;M_z;52.78;-0.30;93.62;0.00;0.00;0.01;
11;M_z;-52.78;-0.30;93.93;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-87.90;714.46;Loads;;;
Σ;;0.00;-87.90;714.46;Support Forces;;;
