Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-49.09;0.71;-25.78;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-49.09;0.71;-25.78;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-47.74;0.20;-23.33;0.01;-36.84;-0.68;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-47.74;0.20;-23.33;0.01;-36.84;-0.68;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-45.50;-0.60;-21.22;0.05;-91.69;-0.14;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-45.50;-0.60;-21.22;0.05;-91.69;-0.14;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-22.13;-0.22;28.29;-0.14;-91.76;-0.07;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-21.95;-0.33;26.82;-0.16;-46.29;0.11;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-8.27;0.12;13.31;0.04;22.17;0.57;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-8.14;0.14;11.89;0.04;42.01;0.34;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-6.99;-0.47;-0.22;-0.09;60.17;-0.89;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-7.00;-0.47;-0.35;-0.09;60.13;-0.81;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-20.69;-0.26;-14.07;-0.04;22.24;0.58;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-20.70;-0.26;-14.13;-0.04;21.18;0.60;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-48.96;0.70;25.78;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-48.96;0.70;25.78;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-47.61;0.20;23.33;-0.01;36.84;-0.67;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-47.61;0.20;23.33;-0.01;36.84;-0.67;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-45.37;-0.60;21.22;-0.05;91.70;-0.14;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-45.37;-0.60;21.22;-0.05;91.70;-0.14;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-33.08;0.48;-22.12;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-33.08;0.48;-22.12;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-31.72;0.14;-19.67;0.02;-31.35;-0.46;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-31.72;0.14;-19.67;0.02;-31.35;-0.46;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-29.48;-0.38;-17.59;0.04;-77.09;-0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-29.48;-0.38;-17.59;0.04;-77.09;-0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-30.51;-0.18;25.17;-0.12;-77.15;-0.06;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-30.34;-0.27;23.71;-0.14;-36.82;0.11;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-34.46;0.14;10.20;0.04;21.12;0.55;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-34.33;0.16;8.77;0.04;36.06;0.29;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-33.18;-0.45;2.94;-0.09;43.40;-0.92;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-33.19;-0.45;2.80;-0.09;43.83;-0.84;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-29.09;-0.27;-10.95;-0.03;21.20;0.56;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-29.09;-0.27;-11.02;-0.04;20.37;0.58;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-32.98;0.48;22.12;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-32.98;0.48;22.12;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-31.62;0.14;19.67;-0.02;31.34;-0.46;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-31.62;0.14;19.67;-0.02;31.34;-0.46;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-29.38;-0.38;17.59;-0.04;77.08;-0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-29.38;-0.38;17.59;-0.04;77.08;-0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-33.56;0.49;-24.25;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-33.56;0.49;-24.25;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-32.20;0.14;-21.07;0.02;-34.00;-0.47;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-32.20;0.14;-21.07;0.02;-34.00;-0.47;Beam | 1 - IPE 500 | L : 4.000 m
