Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;-0.5;-3.0;-0.2;
8;4;;0.0;0.0;0.0;0.0;0.5;-3.4;0.4;
9;5;;0.0;0.0;0.0;0.0;0.8;-5.0;0.3;
40;41;;0.0;0.0;0.0;0.0;0.5;2.8;-0.2;
41;42;;0.0;0.0;0.0;0.0;-0.5;3.2;0.4;
42;43;;0.0;0.0;0.0;0.0;-0.8;4.7;0.3;
90;55;;0.0;0.0;0.0;0.0;0.0;-3.2;-8.9;
90;49;;0.0;0.0;0.0;0.0;0.0;-3.0;-8.8;
92;26;;0.1;0.1;0.0;0.0;0.0;-1.7;-5.0;
92;33;;0.0;0.0;0.0;0.0;0.0;-1.8;-5.0;
93;57;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.0;
93;50;;0.0;0.0;0.0;0.0;0.0;-2.9;-8.9;
95;58;;0.0;0.0;0.0;0.0;0.0;-3.2;-8.6;
95;51;;0.0;0.0;0.0;0.0;0.0;-2.9;-8.4;
97;59;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.0;
97;54;;0.0;0.0;0.0;0.0;0.0;-2.6;-8.8;
99;60;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
99;53;;0.0;0.0;0.0;0.0;0.0;-2.5;-8.9;
101;83;;0.0;0.0;0.0;0.0;0.0;-3.0;-8.9;
101;55;;0.0;0.0;0.0;0.0;0.0;-3.2;-8.9;
102;64;;0.0;0.0;0.0;0.0;0.0;-2.9;-9.1;
102;69;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.2;
103;37;;0.0;0.0;0.0;0.0;0.0;-1.8;-5.0;
103;30;;0.1;0.1;0.0;0.0;0.0;-1.7;-5.0;
104;65;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.2;
104;71;;0.0;0.0;0.0;0.0;0.0;-3.4;-9.4;
105;66;;0.0;0.0;0.0;0.0;0.0;-2.7;-8.3;
105;72;;0.0;0.0;0.0;0.0;0.0;-3.3;-8.5;
106;68;;0.0;0.0;0.0;0.0;0.0;-2.5;-9.2;
106;73;;0.0;0.0;0.0;0.0;0.0;-3.4;-9.4;
107;67;;0.0;0.0;0.0;0.0;0.0;-2.5;-9.2;
107;74;;0.0;0.0;0.0;0.0;0.0;-3.4;-9.4;
108;19;;0.1;0.1;0.0;0.0;0.0;-1.8;-5.0;
108;26;;0.0;0.0;0.0;0.0;0.0;-1.8;-5.0;
119;63;;0.0;0.0;0.0;0.0;0.0;-2.7;-8.8;
119;52;;0.0;0.0;0.0;0.0;0.0;-2.0;-8.6;
121;62;;0.0;0.0;0.0;0.0;0.0;-1.4;-5.8;
121;76;;0.0;0.0;0.0;0.0;0.0;-2.2;-5.9;
124;84;;0.0;0.0;0.0;0.0;0.0;-3.0;-8.9;
124;57;;0.0;0.0;0.0;0.0;0.0;-3.2;-8.9;
125;85;;0.0;0.0;0.0;0.0;0.0;-2.9;-8.5;
125;58;;0.0;0.0;0.0;0.0;0.0;-3.2;-8.5;
126;86;;0.0;0.0;0.0;0.0;0.0;-2.8;-8.9;
126;59;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.0;
127;87;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.0;
127;60;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
128;69;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
128;95;;0.0;0.0;0.0;0.0;0.0;-3.0;-9.1;
129;30;;0.0;0.0;0.0;0.0;0.0;-1.8;-5.0;
129;23;;0.1;0.1;0.0;0.0;0.0;-1.8;-5.0;
130;71;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.3;
130;96;;0.0;0.0;0.0;0.0;0.0;-2.9;-9.2;
131;72;;0.0;0.0;0.0;0.0;0.0;-3.2;-8.4;
131;97;;0.0;0.0;0.0;0.0;0.0;-2.8;-8.4;
132;73;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.3;
132;98;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.2;
133;74;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.3;
133;99;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.2;
134;89;;0.0;0.0;0.0;0.0;0.0;-2.1;-8.7;
134;63;;0.0;0.0;0.0;0.0;0.0;-2.6;-8.7;
135;76;;0.0;0.0;0.0;0.0;0.0;-2.1;-5.9;
135;100;;0.0;0.0;0.0;0.0;0.0;-1.6;-5.8;
148;111;;0.0;0.0;0.0;0.0;0.0;-3.1;-8.9;
148;83;;0.0;0.0;0.0;0.0;0.0;-3.3;-8.9;
149;12;;0.0;0.0;0.0;0.0;0.0;-1.8;-5.0;
149;19;;0.0;0.0;0.0;0.0;0.0;-1.8;-5.0;
150;112;;0.0;0.0;0.0;0.0;0.0;-3.0;-8.9;
150;84;;0.0;0.0;0.0;0.0;0.0;-3.4;-9.0;
151;113;;0.0;0.0;0.0;0.0;0.0;-3.0;-8.5;
151;85;;0.0;0.0;0.0;0.0;0.0;-3.4;-8.6;
152;114;;0.0;0.0;0.0;0.0;0.0;-2.8;-8.9;
152;86;;0.0;0.0;0.0;0.0;0.0;-3.5;-9.1;
153;115;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.0;
153;87;;0.0;0.0;0.0;0.0;0.0;-3.6;-9.2;
154;95;;0.0;0.0;0.0;0.0;0.0;-3.6;-9.2;
154;123;;0.0;0.0;0.0;0.0;0.0;-2.9;-9.1;
155;23;;0.0;0.0;0.0;0.0;0.0;-1.8;-5.0;
155;16;;0.0;0.0;0.0;0.0;0.0;-1.8;-5.0;
156;96;;0.0;0.0;0.0;0.0;0.0;-3.6;-9.4;
156;124;;0.0;0.0;0.0;0.0;0.0;-2.8;-9.2;
157;97;;0.0;0.0;0.0;0.0;0.0;-3.6;-8.5;
157;125;;0.0;0.0;0.0;0.0;0.0;-2.9;-8.4;
158;98;;0.0;0.0;0.0;0.0;0.0;-3.7;-9.5;
158;126;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.2;
159;99;;0.0;0.0;0.0;0.0;0.0;-3.7;-9.4;
159;127;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.2;
160;117;;0.0;0.0;0.0;0.0;0.0;-2.1;-8.7;
