Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;0.49;-0.64;2.13;0.04;-1.49;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;0.53;-0.13;1.73;0.04;1.69;0.75;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;0.69;-0.37;0.12;-0.01;1.66;0.76;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;0.71;0.06;-0.03;0.00;1.69;0.86;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;0.71;0.22;-0.08;0.00;1.68;0.83;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;0.71;0.22;-0.08;0.00;1.68;0.83;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;0.73;0.74;-0.29;0.00;1.53;0.42;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;0.89;0.58;-1.89;-0.03;1.50;0.42;Beam | 3 - HEA 140 | L : 1.650 m
1;189;;1.194;;0.92;0.99;-2.18;-0.03;-0.94;-0.56;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;0.93;1.03;-2.29;-0.03;-1.95;-1.02;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;1.09;0.18;-3.90;-0.19;-1.98;-1.02;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;1.10;0.18;-3.91;-0.19;-2.13;-1.03;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;1.10;0.18;-3.91;-0.19;-2.13;-1.03;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;1.10;0.19;-3.91;-0.19;-2.27;-1.04;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;-3.17;-0.95;2.52;0.02;-3.06;-1.04;Beam | 3 - HEA 140 | L : 1.575 m
1;3;;0.647;;-3.16;-0.87;2.36;0.02;-1.48;-0.44;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;-3.13;-0.49;2.14;0.02;0.61;0.22;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;-2.97;-0.60;0.53;0.00;0.58;0.22;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;-2.96;-0.13;0.36;0.00;0.89;0.48;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;-2.93;0.52;0.12;0.00;1.12;0.27;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;-2.77;0.44;-1.49;-0.01;1.09;0.27;Beam | 3 - HEA 140 | L : 1.650 m
1;192;;0.795;;-2.75;0.77;-1.68;-0.01;-0.17;-0.22;Beam | 3 - HEA 140 | L : 1.650 m
1;192;;0.825;;-2.75;0.78;-1.69;-0.01;-0.22;-0.25;Beam | 3 - HEA 140 | L : 1.650 m
1;192;;0.825;;-2.75;0.78;-1.69;-0.01;-0.22;-0.25;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;-2.73;0.92;-1.93;-0.01;-1.72;-0.96;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;-2.63;0.75;-3.18;-0.04;-1.74;-0.96;Beam | 3 - HEA 140 | L : 0.150 m
1;193;;0.075;;-2.63;0.75;-3.20;-0.04;-1.98;-1.02;Beam | 3 - HEA 140 | L : 0.150 m
1;193;;0.075;;-2.63;0.75;-3.20;-0.04;-1.98;-1.02;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;-2.63;0.76;-3.22;-0.04;-2.22;-1.08;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;-2.67;-1.05;3.16;0.07;-2.37;-1.13;Beam | 3 - HEA 140 | L : 0.150 m
1;4;;0.075;;-2.67;-1.05;3.15;0.07;-2.13;-1.05;Beam | 3 - HEA 140 | L : 0.150 m
1;4;;0.075;;-2.67;-1.05;3.15;0.07;-2.13;-1.05;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;-2.67;-1.04;3.13;0.07;-1.90;-0.97;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;-2.77;-1.25;2.09;0.03;-1.88;-0.97;Beam | 3 - HEA 140 | L : 1.650 m
1;194;;0.825;;-2.79;-1.03;1.89;0.03;-0.23;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;194;;0.825;;-2.79;-1.03;1.89;0.03;-0.23;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;-2.81;-0.48;1.69;0.03;1.24;0.64;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;-2.97;-0.70;0.05;-0.01;1.27;0.64;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.825;;-2.99;0.16;-0.16;-0.01;1.23;0.88;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.825;;-2.99;0.16;-0.16;-0.01;1.23;0.88;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;-3.00;0.34;-0.20;-0.01;1.20;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;-3.01;1.10;-0.38;-0.01;1.01;0.34;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;-3.17;0.91;-2.01;-0.04;1.04;0.34;Beam | 3 - HEA 140 | L : 1.575 m
1;196;;0.496;;-3.18;1.29;-2.13;-0.04;0.01;-0.21;Beam | 3 - HEA 140 | L : 1.575 m
1;196;;0.787;;-3.19;1.45;-2.20;-0.04;-0.62;-0.62;Beam | 3 - HEA 140 | L : 1.575 m
1;196;;0.787;;-3.19;1.45;-2.20;-0.04;-0.62;-0.62;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;-3.21;1.64;-2.39;-0.04;-2.43;-1.87;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;-2.61;-0.39;3.92;0.32;-2.63;-1.97;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;-2.61;-0.38;3.91;0.32;-2.49;-1.95;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;-2.61;-0.38;3.91;0.32;-2.49;-1.95;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;-2.61;-0.38;3.90;0.32;-2.35;-1.93;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;-2.77;-1.83;2.28;0.06;-2.32;-1.93;Beam | 3 - HEA 140 | L : 1.650 m
1;197;;0.583;;-2.78;-1.72;2.15;0.06;-1.03;-0.88;Beam | 3 - HEA 140 | L : 1.650 m
1;197;;0.825;;-2.79;-1.63;2.09;0.06;-0.52;-0.47;Beam | 3 - HEA 140 | L : 1.650 m
1;197;;0.825;;-2.79;-1.63;2.09;0.06;-0.52;-0.47;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;-2.81;-1.11;1.89;0.06;1.12;0.68;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;-2.97;-1.37;0.26;0.01;1.15;0.68;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;-2.99;-0.54;0.04;0.01;1.27;1.49;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;-2.99;-0.54;0.04;0.01;1.27;1.49;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;-3.00;-0.27;-0.02;0.01;1.27;1.57;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.290;;-3.00;0.04;-0.09;0.01;1.26;1.60;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.490;;-3.01;0.31;-0.15;0.01;1.24;1.57;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;-3.01;0.55;-0.19;0.01;1.21;1.50;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;-3.17;0.08;-1.82;-0.07;1.24;1.50;Beam | 3 - HEA 140 | L : 1.650 m
1;199;;0.645;;-3.19;0.83;-1.99;-0.07;0.00;1.19;Beam | 3 - HEA 140 | L : 1.650 m
1;199;;0.825;;-3.19;0.98;-2.04;-0.07;-0.37;1.03;Beam | 3 - HEA 140 | L : 1.650 m
1;199;;0.825;;-3.19;0.98;-2.04;-0.07;-0.37;1.03;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;-3.21;1.29;-2.23;-0.07;-2.13;0.05;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;190;3;0.075;N;1.10;0.19;-3.91;-0.19;-2.27;-1.04;Beam | 3 - HEA 140 | L : 0.075 m
1;196;5;1.575;N;-3.21;1.64;-2.39;-0.04;-2.43;-1.87;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;V_y;-3.21;1.64;-2.39;-0.04;-2.43;-1.87;Beam | 3 - HEA 140 | L : 1.575 m
1;197;153;0.000;V_y;-2.77;-1.83;2.28;0.06;-2.32;-1.93;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;-2.61;-0.39;3.92;0.32;-2.63;-1.97;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;1.10;0.19;-3.91;-0.19;-2.27;-1.04;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;-2.61;-0.38;3.90;0.32;-2.35;-1.93;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;1.09;0.18;-3.90;-0.19;-1.98;-1.02;Beam | 3 - HEA 140 | L : 0.075 m
1;188;;0.495;M_y;0.70;-0.03;0.00;0.00;1.70;0.86;Beam | 3 - HEA 140 | L : 1.650 m
1;3;3;0.000;M_y;-3.17;-0.95;2.52;0.02;-3.06;-1.04;Beam | 3 - HEA 140 | L : 1.575 m
1;198;;1.238;M_z;-3.00;-0.03;-0.08;0.01;1.26;1.60;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_z;-2.61;-0.39;3.92;0.32;-2.63;-1.97;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;;1.10;1.64;3.92;0.32;1.70;1.60;
1;;;;;-3.21;-1.83;-3.91;-0.19;-3.06;-1.97;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-26.92;0.00;28.03;0.00;-98.63;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-26.73;0.01;26.57;0.00;-53.57;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-26.42;0.01;23.37;0.00;-53.69;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-26.26;0.01;21.89;0.00;-16.35;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-25.95;0.00;18.69;0.00;-16.46;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-25.80;0.00;17.20;0.00;13.14;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-25.49;0.02;13.99;0.01;13.03;-0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-25.48;0.02;13.92;0.01;14.07;-0.01;Beam | 1 - IPE 500 | L : 0.075 m
