Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-12.52;-2.76;0.50;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-12.52;-2.76;0.50;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-11.91;-0.43;-1.03;0.01;-0.40;2.40;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-11.91;-0.43;-1.03;0.01;-0.40;2.40;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-11.82;-0.06;-1.27;0.01;-0.67;2.46;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.190;;-11.63;0.59;-1.64;0.01;-1.33;2.33;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.89;1.72;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.89;1.72;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-10.89;1.72;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-12.52;-2.76;0.50;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-10.89;1.72;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-12.52;-2.76;0.50;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-12.52;-2.76;0.50;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-10.89;1.72;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_T;-12.52;-2.76;0.50;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-10.89;1.72;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
1;;0.500;M_y;-12.32;-1.99;-0.01;0.01;0.12;1.19;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-10.89;1.72;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-11.82;-0.06;-1.27;0.01;-0.67;2.46;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-10.89;1.72;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-10.89;1.72;0.50;0.01;0.12;2.46;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-12.52;-2.76;-2.30;0.00;-5.10;-0.15;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-4.29;-1.18;6.96;0.07;-6.01;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;-4.26;-0.87;6.70;0.06;-0.37;0.90;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;-4.26;-0.87;6.70;0.06;-0.37;0.90;Beam | 3 - HEA 140 | L : 1.650 m
2;;1.005;;-4.26;-0.73;6.64;0.06;0.83;1.04;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-4.24;-0.03;6.41;0.06;5.04;1.29;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-4.24;-0.03;6.41;0.06;5.04;1.29;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-4.29;-1.18;6.96;0.07;-6.01;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;-4.24;-0.03;6.41;0.06;5.04;1.29;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;-4.29;-1.18;6.96;0.07;-6.01;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;-4.29;-1.18;6.96;0.07;-6.01;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;-4.24;-0.03;6.41;0.06;5.04;1.29;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;-4.29;-1.18;6.96;0.07;-6.01;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;-4.24;-0.03;6.41;0.06;5.04;1.29;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;-4.24;-0.03;6.41;0.06;5.04;1.29;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;-4.29;-1.18;6.96;0.07;-6.01;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;-4.24;-0.03;6.41;0.06;5.04;1.29;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;-4.29;-1.18;6.96;0.07;-6.01;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-4.24;-0.03;6.96;0.07;5.04;1.29;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-4.29;-1.18;6.41;0.06;-6.01;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-4.42;-1.50;7.88;0.03;-8.95;-1.72;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;-4.38;-1.31;7.63;0.04;-2.84;-0.57;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;-4.38;-1.31;7.63;0.04;-2.84;-0.57;Beam | 3 - HEA 140 | L : 1.575 m
