Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;;-16.32;-0.08;1.69;0.00;0.00;0.00;
8;4;;-15.70;-0.07;1.89;0.00;0.00;0.00;
9;5;;-15.68;-0.07;1.69;0.00;0.00;0.00;
40;41;;-16.22;-0.08;0.73;0.00;0.00;0.00;
41;42;;-15.55;-0.07;0.81;0.00;0.00;0.00;
42;43;;-15.57;-0.07;0.73;0.00;0.00;0.00;
90;55;;0.00;0.44;4.38;0.00;0.00;0.00;
90;49;;0.00;-0.44;-4.38;0.00;0.00;0.00;
92;26;;0.00;0.23;2.27;0.00;0.00;0.00;
92;33;;0.00;-0.23;-2.27;0.00;0.00;0.00;
93;57;;0.01;0.44;4.38;0.00;0.00;0.00;
93;50;;0.01;-0.44;-4.38;0.00;0.00;0.00;
95;58;;0.02;0.44;4.38;0.00;0.00;0.00;
95;51;;0.02;-0.44;-4.38;0.00;0.00;0.00;
97;59;;0.01;0.44;4.38;0.00;0.00;0.00;
97;54;;0.01;-0.44;-4.38;0.00;0.00;0.00;
99;60;;0.01;0.44;4.38;0.00;0.00;0.00;
99;53;;0.01;-0.44;-4.38;0.00;0.00;0.00;
101;83;;-0.07;0.44;4.38;0.00;0.00;0.00;
101;55;;-0.07;-0.44;-4.38;0.00;0.00;0.00;
102;64;;0.00;0.44;4.38;0.00;0.00;0.00;
102;69;;0.00;-0.44;-4.38;0.00;0.00;0.00;
103;37;;0.00;0.23;2.27;0.00;0.00;0.00;
103;30;;0.00;-0.23;-2.27;0.00;0.00;0.00;
104;65;;0.01;0.44;4.38;0.00;0.00;0.00;
104;71;;0.01;-0.44;-4.38;0.00;0.00;0.00;
105;66;;0.02;0.44;4.38;0.00;0.00;0.00;
105;72;;0.02;-0.44;-4.38;0.00;0.00;0.00;
106;68;;0.01;0.44;4.38;0.00;0.00;0.00;
106;73;;0.01;-0.44;-4.38;0.00;0.00;0.00;
107;67;;0.01;0.44;4.38;0.00;0.00;0.00;
107;74;;0.01;-0.44;-4.38;0.00;0.00;0.00;
108;19;;0.00;0.23;2.27;0.00;0.00;0.00;
108;26;;0.00;-0.23;-2.27;0.00;0.00;0.00;
119;63;;0.03;0.27;2.66;0.00;0.00;0.00;
119;52;;0.03;-0.27;-2.66;0.00;0.00;0.00;
121;62;;0.03;0.27;2.66;0.00;0.00;0.00;
121;76;;0.03;-0.27;-2.66;0.00;0.00;0.00;
124;84;;-0.04;0.44;4.38;0.00;0.00;0.00;
124;57;;-0.04;-0.44;-4.38;0.00;0.00;0.00;
125;85;;-0.21;0.44;4.38;0.00;0.00;0.00;
125;58;;-0.21;-0.44;-4.38;0.00;0.00;0.00;
126;86;;-0.03;0.44;4.38;0.00;0.00;0.00;
126;59;;-0.03;-0.44;-4.38;0.00;0.00;0.00;
127;87;;-0.02;0.44;4.38;0.00;0.00;0.00;
127;60;;-0.02;-0.44;-4.38;0.00;0.00;0.00;
128;69;;-0.07;0.44;4.38;0.00;0.00;0.00;
128;95;;-0.07;-0.44;-4.38;0.00;0.00;0.00;
129;30;;0.00;0.23;2.27;0.00;0.00;0.00;
129;23;;0.00;-0.23;-2.27;0.00;0.00;0.00;
130;71;;-0.04;0.44;4.38;0.00;0.00;0.00;
130;96;;-0.04;-0.44;-4.38;0.00;0.00;0.00;
131;72;;-0.20;0.44;4.38;0.00;0.00;0.00;
131;97;;-0.20;-0.44;-4.38;0.00;0.00;0.00;
132;73;;-0.03;0.44;4.38;0.00;0.00;0.00;
132;98;;-0.03;-0.44;-4.38;0.00;0.00;0.00;
133;74;;-0.01;0.44;4.38;0.00;0.00;0.00;
133;99;;-0.01;-0.44;-4.38;0.00;0.00;0.00;
134;89;;-0.01;0.27;2.66;0.00;0.00;0.00;
134;63;;-0.01;-0.27;-2.66;0.00;0.00;0.00;
135;76;;-0.01;0.27;2.66;0.00;0.00;0.00;
135;100;;-0.01;-0.27;-2.66;0.00;0.00;0.00;
148;111;;-0.14;0.44;4.38;0.00;0.00;0.00;
148;83;;-0.14;-0.44;-4.38;0.00;0.00;0.00;
149;12;;0.00;0.23;2.27;0.00;0.00;0.00;
149;19;;0.00;-0.23;-2.27;0.00;0.00;0.00;
150;112;;-0.08;0.44;4.38;0.00;0.00;0.00;
150;84;;-0.08;-0.44;-4.38;0.00;0.00;0.00;
151;113;;-0.43;0.44;4.38;0.00;0.00;0.00;
151;85;;-0.43;-0.44;-4.38;0.00;0.00;0.00;
152;114;;-0.06;0.44;4.38;0.00;0.00;0.00;
152;86;;-0.06;-0.44;-4.38;0.00;0.00;0.00;
153;115;;-0.04;0.44;4.38;0.00;0.00;0.00;
153;87;;-0.04;-0.44;-4.38;0.00;0.00;0.00;
154;95;;-0.15;0.44;4.38;0.00;0.00;0.00;
