Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-1.0;0.8;0.0;
2;1.1;-0.2;-1.1;0.0;0.3;-0.9;-2.0;
3;2.7;0.0;-2.7;0.0;-10.1;0.3;1.0;
4;3.6;0.0;-3.6;0.1;-5.4;-0.1;0.0;
5;2.7;0.0;-2.7;0.0;-9.9;-0.2;-1.0;
6;1.1;0.2;-1.1;0.0;0.3;0.9;1.9;
7;0.0;0.0;0.0;0.0;-1.0;-0.8;0.0;
8;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;
9;0.0;0.0;0.0;0.0;-1.8;0.0;0.0;
10;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;
11;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
12;2.0;-1.7;-1.0;0.1;-0.5;-0.9;-0.4;
13;11.1;-0.7;-2.7;10.7;-9.6;-2.3;0.8;
14;17.8;0.0;-3.6;17.4;-5.2;0.0;0.0;
15;11.1;0.7;-2.7;10.7;-9.4;2.3;-0.8;
16;2.0;1.7;-1.0;0.1;-0.5;0.9;0.4;
17;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;
18;0.0;0.0;0.0;0.0;-0.2;0.8;0.0;
19;1.8;-1.3;-1.3;0.1;-0.5;-0.8;-0.4;
20;9.4;-0.5;-2.9;9.0;-9.2;-1.9;0.8;
21;14.7;0.0;-3.7;14.2;-4.9;0.0;0.0;
22;9.4;0.5;-2.9;9.0;-9.0;1.9;-0.8;
23;1.8;1.3;-1.3;0.1;-0.5;0.8;0.4;
24;0.0;0.0;0.0;0.0;-0.2;-0.8;0.0;
25;0.0;0.0;0.0;0.0;-0.2;0.9;0.0;
26;2.0;-1.5;-1.3;0.1;-0.5;-0.8;-0.4;
27;10.1;-0.5;-3.0;9.6;-8.8;-2.1;0.7;
28;15.9;0.0;-3.9;15.4;-4.4;0.0;0.0;
29;10.1;0.5;-3.0;9.6;-8.7;2.1;-0.7;
30;2.0;1.5;-1.3;0.1;-0.5;0.8;0.4;
31;0.0;0.0;0.0;0.0;-0.2;-0.9;0.0;
32;0.0;0.0;0.0;0.0;-0.2;0.9;0.0;
33;2.0;-1.5;-1.4;0.1;-0.5;-0.8;-0.4;
34;10.2;-0.6;-3.1;9.7;-8.5;-2.1;0.7;
