Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-0.91;0.00;8.53;0.00;0.00;0.00;
7;;0.83;0.00;8.35;0.00;0.00;0.00;
8;;0.74;0.00;16.86;0.00;0.00;0.00;
9;;-0.59;0.00;16.62;0.00;0.00;0.00;
10;;-0.07;0.00;16.83;0.00;0.00;0.00;
11;;-43.89;0.92;68.98;0.00;0.00;0.00;
17;;43.89;0.92;68.95;0.00;0.00;0.00;
18;;-43.89;-0.92;68.98;0.00;0.00;0.00;
24;;43.89;-0.92;68.95;0.00;0.00;0.00;
25;;-43.23;0.00;67.54;0.00;0.00;0.00;
31;;43.23;0.00;67.51;0.00;0.00;0.00;
32;;-43.23;0.00;67.54;0.00;0.00;0.00;
38;;43.23;0.00;67.51;0.00;0.00;0.00;
39;;-0.91;0.00;8.53;0.00;0.00;0.00;
45;;0.83;0.00;8.35;0.00;0.00;0.00;
46;;0.74;0.00;16.86;0.00;0.00;0.00;
47;;-0.59;0.00;16.62;0.00;0.00;0.00;
48;;-0.07;0.00;16.83;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;43.89;-0.92;68.95;0.00;0.00;0.00;
18;P_x;-43.89;-0.92;68.98;0.00;0.00;0.00;
17;P_y;43.89;0.92;68.95;0.00;0.00;0.00;
24;P_y;43.89;-0.92;68.95;0.00;0.00;0.00;
11;P_z;-43.89;0.92;68.98;0.00;0.00;0.00;
7;P_z;0.83;0.00;8.35;0.00;0.00;0.00;
1;M_x;-0.91;0.00;8.53;0.00;0.00;0.00;
1;M_x;-0.91;0.00;8.53;0.00;0.00;0.00;
1;M_y;-0.91;0.00;8.53;0.00;0.00;0.00;
1;M_y;-0.91;0.00;8.53;0.00;0.00;0.00;
17;M_z;43.89;0.92;68.95;0.00;0.00;0.00;
11;M_z;-43.89;0.92;68.98;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;680.34;Loads;;;
Σ;;0.00;0.00;680.34;Support Forces;;;
