Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;1.4;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;1.4;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.1;0.0;-0.9;-1.9;0.7;0.8;-0.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.1;0.0;-0.9;-1.9;0.7;0.8;-0.4;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;2.3;0.0;-1.0;-2.0;0.8;0.6;-0.3;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.0;-0.1;-0.9;-0.5;1.8;-2.1;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.0;-0.1;-0.9;-0.5;1.8;-2.1;0.2;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;1.4;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_x;1.0;-0.1;-0.9;-0.5;1.8;-2.1;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;1.4;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_y;2.4;0.0;-1.1;-2.2;1.1;-0.2;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;1.4;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_z;2.4;0.0;-1.1;-2.2;1.1;-0.2;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_x;1.0;-0.1;-0.9;-0.5;1.8;-2.1;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;1.4;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;1.4;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_y;1.0;-0.1;-0.9;-0.5;1.8;-2.1;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_z;1.0;-0.1;-0.9;-0.5;1.8;-2.1;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;1.4;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;2.4;0.0;0.0;0.0;1.8;1.4;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;-0.1;-1.1;-2.2;0.0;-2.1;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
