Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.11;1.21;-2.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.11;1.21;-2.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.65;0.18;-1.08;-0.01;-2.78;-1.04;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.65;0.18;-1.08;-0.01;-2.78;-1.04;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-7.58;0.01;-0.84;-0.01;-3.00;-1.07;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-7.50;-0.16;-0.60;0.00;-3.19;-1.05;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-7.50;-0.16;-0.60;0.00;-3.19;-1.05;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-6.89;-0.77;0.24;0.00;-3.24;0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-6.89;-0.77;0.24;0.00;-3.24;0.08;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-6.89;-0.77;0.24;0.00;-3.24;0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.11;1.21;-2.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.11;1.21;-2.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-6.89;-0.77;0.24;0.00;-3.24;0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-6.89;-0.77;0.24;0.00;-3.24;0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.11;1.21;-2.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-6.89;-0.77;0.24;0.00;-3.24;0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-7.81;0.52;-1.59;-0.01;-2.11;-0.87;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-8.11;1.21;-2.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;3.000;M_y;-7.20;-0.61;0.05;0.00;-3.42;-0.64;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-6.89;-0.77;0.24;0.00;-3.24;0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-7.58;0.01;-0.84;-0.01;-3.00;-1.07;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-6.89;1.21;0.24;0.00;0.00;0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-8.11;-0.77;-2.62;-0.01;-3.42;-1.07;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;1.08;0.56;4.57;-0.03;-3.12;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;1.11;0.13;4.16;-0.02;4.08;-0.66;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;1.11;0.13;4.16;-0.02;4.08;-0.66;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;1.08;0.56;4.57;-0.03;-3.12;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;1.08;0.56;4.57;-0.03;-3.12;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;1.11;0.13;4.16;-0.02;4.08;-0.66;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;1.08;0.56;4.57;-0.03;-3.12;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;1.11;0.13;4.16;-0.02;4.08;-0.66;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;1.11;0.13;4.16;-0.02;4.08;-0.66;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;1.08;0.56;4.57;-0.03;-3.12;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;1.11;0.13;4.16;-0.02;4.08;-0.66;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;1.08;0.56;4.57;-0.03;-3.12;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;1.08;0.56;4.57;-0.03;-3.12;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;1.11;0.13;4.16;-0.02;4.08;-0.66;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;1.11;0.56;4.57;-0.02;4.08;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;1.08;0.13;4.16;-0.03;-3.12;-0.66;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;0.39;0.80;5.59;-0.02;-6.56;0.81;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;0.44;0.39;5.21;-0.02;1.94;-0.23;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;0.44;0.39;5.21;-0.02;1.94;-0.23;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;0.39;0.80;5.59;-0.02;-6.56;0.81;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;0.39;0.80;5.59;-0.02;-6.56;0.81;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;0.44;0.39;5.21;-0.02;1.94;-0.23;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;0.39;0.80;5.59;-0.02;-6.56;0.81;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;0.44;0.39;5.21;-0.02;1.94;-0.23;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;0.44;0.39;5.21;-0.02;1.94;-0.23;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.591;M_T;0.41;0.73;5.45;-0.02;-3.30;0.35;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;0.44;0.39;5.21;-0.02;1.94;-0.23;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;0.39;0.80;5.59;-0.02;-6.56;0.81;Beam | 3 - HEA 140 | L : 1.575 m
