Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.56;-1.15;-2.94;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.56;-1.15;-2.94;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.95;-0.15;-1.10;0.01;-3.03;0.98;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.95;-0.16;-1.10;0.01;-3.03;0.98;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-7.85;0.01;-0.83;0.01;-3.26;1.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-6.92;0.71;0.44;0.01;-3.23;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-6.92;0.71;0.44;0.01;-3.23;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-6.92;0.71;0.44;0.01;-3.23;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.56;-1.15;-2.94;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-6.92;0.71;0.44;0.01;-3.23;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.56;-1.15;-2.94;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-6.92;0.71;0.44;0.01;-3.23;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.56;-1.15;-2.94;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-8.15;-0.49;-1.72;0.01;-2.33;0.82;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-6.92;0.71;0.44;0.01;-3.23;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-8.56;-1.15;-2.94;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
