Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-98.23;0.00;-61.32;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-98.23;0.00;-61.32;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-93.64;0.00;-63.42;0.00;-249.91;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-93.64;0.00;-63.42;0.00;-249.91;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-71.27;0.00;78.87;0.00;-250.15;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-70.84;0.00;77.08;0.00;-121.44;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-66.81;0.00;33.87;0.00;65.05;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-66.68;0.00;31.85;0.00;116.81;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-63.11;-0.01;5.70;0.00;150.08;-0.01;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-63.13;-0.01;5.50;0.00;150.92;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-66.83;0.00;-34.97;0.00;63.60;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-66.84;0.00;-35.06;0.00;60.98;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-98.16;0.00;64.79;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-98.16;0.00;64.79;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-93.58;0.00;61.73;0.00;253.35;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-93.58;0.00;61.73;0.00;253.35;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-98.23;0.00;-61.32;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-98.23;0.00;-61.32;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-93.64;0.00;-63.42;0.00;-249.91;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-93.64;0.00;-63.42;0.00;-249.91;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-71.27;0.00;78.87;0.00;-250.15;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-70.84;0.00;77.08;0.00;-121.44;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-66.81;0.00;33.87;0.00;65.05;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-66.68;0.00;31.85;0.00;116.81;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-63.11;0.00;5.70;0.00;150.08;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-63.13;0.00;5.50;0.00;150.92;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-66.83;0.00;-34.97;0.00;63.60;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-66.84;0.00;-35.06;0.00;60.98;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-98.16;0.00;64.79;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-98.16;0.00;64.79;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-93.58;0.00;61.73;0.00;253.35;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-93.58;0.00;61.73;0.00;253.35;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-96.14;0.00;-60.45;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-96.14;0.00;-60.45;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;26;4.000;;-91.54;0.00;-62.52;0.00;-246.36;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;26;4.000;;-91.54;0.00;-62.52;0.00;-246.36;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;23;26;0.000;;-69.81;0.00;77.93;0.00;-246.60;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;23;55;1.650;;-69.38;0.00;76.13;0.00;-119.46;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;24;27;0.000;;-65.33;0.00;33.60;0.00;63.82;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;24;59;1.575;;-65.20;0.00;31.59;0.00;115.17;0.00;Beam | 1 - IPE 500 | L : 1.575 m
1;25;28;0.000;;-61.62;0.00;5.95;0.00;147.56;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;25;76;0.150;;-61.64;0.00;5.76;0.00;148.44;0.00;Beam | 1 - IPE 500 | L : 0.150 m
1;26;29;0.000;;-65.37;0.00;-34.01;0.00;62.41;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;26;72;0.075;;-65.38;0.00;-34.10;0.00;59.86;0.00;Beam | 1 - IPE 500 | L : 0.075 m
1;27;31;0.000;;-96.07;0.00;63.85;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
