Spring No.;Member Spring;;;Stiffness [kN/m];;Mass [kg];Mass / Length [t/m];Specific Weight [kN/m^3 ];Section Area [cm^2 ];
;Name;Members No.;Definition Type;C_u,x [kN/m];Self-Weight Definition;M [kg];m [t/m];γ [kN/m^3 ];A [cm^2 ];Comment
