Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Corresponding Loading
3;3;0.000;κ_y;-0.01;-0.01;0.05;-5.4;-3.0;-2.3;CO25
3;3;0.000;κ_z;0.00;0.01;0.11;5.8;-1.1;1.6;CO35
3;3;0.000;κ_z;-0.01;-0.01;0.05;-5.4;-3.0;-2.3;CO36
Total;;;;0.00;0.01;0.11;6.0;1.0;1.6;
3;;;;-0.01;-0.01;0.04;-5.6;-3.0;-2.3;
;;;;;;;;;;
4;4;0.000;max;0.01;0.01;0.15;10.8;-0.9;2.0;
4;4;0.000;min;0.00;-0.01;0.06;-7.4;-2.6;-1.4;
4;;0.075;max;0.01;0.01;0.15;10.8;-0.8;1.9;
4;;0.075;min;0.00;-0.01;0.06;-7.5;-2.3;-1.3;
4;;0.075;max;0.01;0.01;0.15;10.8;-0.8;1.9;
4;;0.075;min;0.00;-0.01;0.06;-7.5;-2.3;-1.3;
4;156;0.150;max;0.01;0.01;0.15;10.8;-0.7;1.8;
4;156;0.150;min;0.00;-0.01;0.06;-7.5;-2.1;-1.2;
Extremes;4;0.000;ε_x;0.01;0.01;0.15;10.8;-0.9;2.0;CO30
4;156;0.150;ε_x;0.00;-0.01;0.06;-7.5;-2.1;-1.2;CO34
4;4;0.000;γ_xy;0.01;0.01;0.15;10.8;-0.9;2.0;CO35
4;4;0.000;γ_xy;0.00;-0.01;0.06;-7.4;-2.6;-1.4;CO29
4;4;0.000;γ_xz;0.01;0.01;0.15;10.8;-0.9;2.0;CO26
4;156;0.150;γ_xz;0.00;-0.01;0.06;-7.5;-2.1;-1.2;CO30
4;;0.131;κ_x;0.01;0.01;0.15;10.8;-0.8;1.8;CO34
4;156;0.150;κ_x;0.00;-0.01;0.06;-7.5;-2.1;-1.2;CO30
4;156;0.150;κ_y;0.01;0.01;0.15;10.8;-0.7;1.8;CO31
4;4;0.000;κ_y;0.00;-0.01;0.06;-7.4;-2.6;-1.4;CO24
4;4;0.000;κ_z;0.01;0.01;0.15;10.8;-0.9;2.0;CO35
4;4;0.000;κ_z;0.00;-0.01;0.06;-7.4;-2.6;-1.4;CO29
Total;;;;0.01;0.01;0.15;10.8;-0.7;2.0;
4;;;;0.00;-0.01;0.06;-7.5;-2.6;-1.4;
;;;;;;;;;;
5;5;0.000;max;0.01;0.00;0.20;50.0;-1.2;1.7;
5;5;0.000;min;0.00;0.00;0.08;-39.0;-3.1;-2.4;
5;;0.037;max;0.01;0.00;0.20;50.1;-1.1;1.7;
5;;0.037;min;0.00;0.00;0.08;-39.0;-2.9;-2.4;
5;;0.037;max;0.01;0.00;0.20;50.1;-1.1;1.7;
5;;0.037;min;0.00;0.00;0.08;-39.0;-2.9;-2.4;
5;153;0.075;max;0.01;0.00;0.20;50.1;-1.1;1.6;
5;153;0.075;min;0.00;0.00;0.08;-39.1;-2.7;-2.4;
Extremes;5;0.000;ε_x;0.01;0.00;0.20;50.0;-1.2;1.7;CO35
5;153;0.075;ε_x;0.00;0.00;0.08;-39.1;-2.7;-2.4;CO29
5;5;0.000;γ_xy;0.01;0.00;0.20;50.0;-1.2;1.7;CO35
5;5;0.000;γ_xy;0.00;0.00;0.08;-39.0;-3.1;-2.4;CO34
5;5;0.000;γ_xz;0.01;0.00;0.20;50.0;-1.2;1.7;CO25
5;153;0.075;γ_xz;0.00;0.00;0.08;-39.1;-2.7;-2.4;CO29
5;153;0.075;κ_x;0.01;0.00;0.20;50.1;-1.1;1.6;CO34
5;153;0.075;κ_x;0.00;0.00;0.08;-39.1;-2.7;-2.4;CO35
5;153;0.075;κ_y;0.01;0.00;0.20;50.1;-1.1;1.6;CO29
5;5;0.000;κ_y;0.00;0.00;0.08;-39.0;-3.1;-2.4;CO25
5;5;0.000;κ_z;0.01;0.00;0.20;50.0;-1.2;1.7;CO35
5;5;0.000;κ_z;0.00;0.00;0.08;-39.0;-3.1;-2.4;CO34
Total;;;;0.01;0.00;0.20;50.1;-1.1;1.7;
5;;;;0.00;0.00;0.08;-39.1;-3.1;-2.4;
;;;;;;;;;;
6;7;0.000;max;0.00;0.01;0.06;0.8;0.0;0.0;
6;7;0.000;min;-0.01;-0.02;-0.02;-0.8;0.0;0.0;
6;7;0.000;max;0.00;0.01;0.06;0.8;0.0;0.0;
6;7;0.000;min;-0.01;-0.02;-0.02;-0.8;0.0;0.0;
6;;1.500;max;0.00;0.00;0.02;1.0;1.0;2.2;
6;;1.500;min;-0.01;0.00;0.00;-0.8;-0.3;-1.3;
6;;1.500;max;0.00;0.00;0.02;1.0;1.0;2.2;
6;;1.500;min;-0.01;0.00;0.00;-0.8;-0.3;-1.3;
6;;1.738;max;0.00;0.00;0.01;1.0;1.1;2.3;
6;;1.738;min;-0.01;0.00;0.01;-0.8;-0.3;-1.4;
6;;2.000;max;0.00;0.00;0.02;0.9;1.1;2.2;
6;;2.000;min;-0.01;0.00;0.00;-0.8;-0.2;-1.4;
6;;2.000;max;0.00;0.00;0.02;0.9;1.1;2.2;
6;;2.000;min;-0.01;0.00;0.00;-0.8;-0.2;-1.4;
6;;2.190;max;0.00;0.00;0.02;0.8;1.1;2.2;
6;;2.190;min;-0.01;0.00;-0.01;-0.8;-0.2;-1.3;
6;6;4.000;max;0.00;0.01;0.03;0.6;1.0;0.1;
6;6;4.000;min;-0.01;-0.01;-0.03;-0.4;0.3;-0.1;
6;6;4.000;max;0.00;0.01;0.03;0.6;1.0;0.1;
6;6;4.000;min;-0.01;-0.01;-0.03;-0.4;0.3;-0.1;
Extremes;6;4.000;ε_x;0.00;0.01;0.03;0.6;1.0;0.1;CO30
6;7;0.000;ε_x;-0.01;-0.02;-0.02;-0.8;0.0;0.0;CO24
6;6;4.000;γ_xy;0.00;0.01;0.03;0.6;1.0;0.1;CO34
6;7;0.000;γ_xy;-0.01;-0.02;-0.02;-0.8;0.0;0.0;CO34
6;7;0.000;γ_xz;0.00;0.01;0.06;0.8;0.0;0.0;CO35
6;6;4.000;γ_xz;-0.01;-0.01;-0.03;-0.4;0.3;-0.1;CO30
6;;1.000;κ_x;0.00;0.00;0.03;1.1;0.8;1.8;CO35
6;;2.500;κ_x;-0.01;0.00;-0.01;-0.8;-0.1;-1.2;CO29
6;;2.000;κ_y;0.00;0.00;0.02;0.9;1.1;2.2;CO35
6;;1.333;κ_y;-0.01;0.00;0.00;-0.7;-0.3;-1.3;CO29
6;;1.738;κ_z;0.00;0.00;0.01;1.0;1.1;2.3;CO34
6;;1.738;κ_z;-0.01;0.00;0.01;-0.8;-0.3;-1.4;CO35
Total;;;;0.00;0.01;0.06;1.1;1.1;2.3;
6;;;;-0.01;-0.02;-0.03;-0.8;-0.3;-1.4;
;;;;;;;;;;
7;8;0.000;max;-0.01;0.00;0.08;0.0;0.0;0.0;
7;8;0.000;min;-0.02;0.00;-0.07;0.0;0.0;0.0;
7;8;0.000;max;-0.01;0.00;0.08;0.0;0.0;0.0;
7;8;0.000;min;-0.02;0.00;-0.07;0.0;0.0;0.0;
7;;1.738;max;-0.01;0.00;0.01;0.0;1.4;0.0;
7;;1.738;min;-0.02;0.00;-0.01;0.0;-1.3;-0.3;
7;;2.238;max;-0.01;0.00;0.01;0.0;1.5;0.0;
7;;2.238;min;-0.02;0.00;-0.01;0.0;-1.3;-0.3;
7;3;4.500;max;-0.01;0.00;0.04;0.0;0.0;0.0;
7;3;4.500;min;-0.02;0.00;-0.05;0.0;0.0;0.0;
7;3;4.500;max;-0.01;0.00;0.04;0.0;0.0;0.0;
7;3;4.500;min;-0.02;0.00;-0.05;0.0;0.0;0.0;
