Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
3;142;1.575;M_z;-2.79;-0.29;5.21;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;-2.84;-0.57;5.59;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-2.79;-0.29;5.59;0.01;1.96;0.13;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-2.84;-0.57;5.21;0.01;-6.55;-0.63;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;-1.63;-0.63;7.29;0.04;-5.02;-0.63;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;-1.63;-0.63;7.29;0.04;-5.02;-0.63;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;-1.63;-0.62;7.27;0.04;-4.47;-0.58;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;N;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;N;-1.63;-0.62;7.27;0.04;-4.47;-0.58;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_y;-1.63;-0.62;7.27;0.04;-4.47;-0.58;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_y;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_z;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_z;-1.63;-0.62;7.27;0.04;-4.47;-0.58;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.131;M_T;-1.63;-0.62;7.27;0.04;-4.61;-0.59;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_T;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_y;-1.63;-0.62;7.27;0.04;-4.47;-0.58;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_y;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_z;-1.63;-0.62;7.27;0.04;-4.47;-0.58;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_z;-1.63;-0.63;7.31;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;-1.63;-0.62;7.31;0.04;-4.47;-0.58;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;-1.63;-0.63;7.27;0.04;-5.57;-0.68;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;-1.45;-0.24;9.74;0.20;-6.39;-1.18;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;-1.45;-0.23;9.74;0.20;-6.03;-1.17;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;-1.45;-0.23;9.74;0.20;-6.03;-1.17;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;-1.45;-0.22;9.73;0.20;-5.67;-1.15;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;;0.066;N;-1.45;-0.22;9.73;0.20;-5.76;-1.15;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;N;-1.45;-0.24;9.74;0.20;-6.39;-1.18;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_y;-1.45;-0.22;9.73;0.20;-5.67;-1.15;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_y;-1.45;-0.24;9.74;0.20;-6.39;-1.18;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_z;-1.45;-0.24;9.74;0.20;-6.39;-1.18;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_z;-1.45;-0.22;9.73;0.20;-5.67;-1.15;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_T;-1.45;-0.22;9.73;0.20;-5.67;-1.15;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_T;-1.45;-0.24;9.74;0.20;-6.39;-1.18;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_y;-1.45;-0.22;9.73;0.20;-5.67;-1.15;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_y;-1.45;-0.24;9.74;0.20;-6.39;-1.18;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_z;-1.45;-0.22;9.73;0.20;-5.67;-1.15;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_z;-1.45;-0.24;9.74;0.20;-6.39;-1.18;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;-1.45;-0.22;9.74;0.20;-5.67;-1.15;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;-1.45;-0.24;9.73;0.20;-6.39;-1.18;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;
6;7;0.000;;-8.64;-1.97;-0.15;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;-8.64;-1.97;-0.15;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-8.18;-0.32;0.77;0.00;0.46;1.72;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-8.18;-0.32;0.77;0.00;0.46;1.72;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;-8.11;-0.06;0.91;0.00;0.66;1.76;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.190;;-7.97;0.41;1.13;0.00;1.12;1.68;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-7.42;1.26;1.46;0.00;3.60;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-7.42;1.26;1.46;0.00;3.60;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;6;4.000;N;-7.42;1.26;1.46;0.00;3.60;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;N;-8.64;-1.97;-0.15;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;V_y;-7.42;1.26;1.46;0.00;3.60;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;V_y;-8.64;-1.97;-0.15;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;V_z;-7.42;1.26;1.46;0.00;3.60;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;V_z;-8.64;-1.97;-0.15;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_T;-7.42;1.26;1.46;0.00;3.60;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;M_T;-8.64;-1.97;-0.15;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_y;-7.42;1.26;1.46;0.00;3.60;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;M_y;-8.64;-1.97;-0.15;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;M_z;-8.11;-0.06;0.91;0.00;0.66;1.76;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_z;-7.42;1.26;1.46;0.00;3.60;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-7.42;1.26;1.46;0.00;3.60;1.76;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;-8.64;-1.97;-0.15;0.00;0.00;-0.09;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
7;8;0.000;;-18.97;0.31;1.98;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;-18.97;0.31;1.98;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.738;;-18.45;0.07;0.27;0.00;1.96;-0.33;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;-18.29;0.00;-0.20;0.00;1.98;-0.34;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-17.60;-0.30;-1.22;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-17.60;-0.30;-1.22;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;3;4.500;N;-17.60;-0.30;-1.22;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;N;-18.97;0.31;1.98;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;V_y;-18.97;0.31;1.98;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;V_y;-17.60;-0.30;-1.22;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
