Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;-0.99;-0.57;6.81;0.04;-5.36;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;-0.93;-0.07;6.26;0.03;5.43;0.64;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;-0.31;-0.34;-0.07;-0.01;5.31;0.64;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;-0.29;0.05;-0.28;0.00;5.20;0.74;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;-0.28;0.20;-0.35;0.00;5.14;0.71;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;-0.28;0.20;-0.35;0.00;5.14;0.71;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;-0.26;0.67;-0.63;0.00;4.73;0.35;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;0.39;0.48;-6.96;-0.03;4.62;0.35;Beam | 3 - HEA 140 | L : 1.650 m
1;189;;1.194;;0.43;0.87;-7.35;-0.03;-3.92;-0.49;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;0.44;0.92;-7.50;-0.03;-7.31;-0.92;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;1.08;0.15;-13.83;-0.17;-7.42;-0.92;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;1.08;0.16;-13.84;-0.17;-7.94;-0.93;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;1.08;0.16;-13.84;-0.17;-7.94;-0.93;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;1.08;0.17;-13.86;-0.17;-8.46;-0.94;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;-4.18;-0.86;8.02;0.02;-9.42;-0.94;Beam | 3 - HEA 140 | L : 1.575 m
1;3;;0.647;;-4.14;-0.78;7.81;0.02;-4.29;-0.40;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;-4.11;-0.43;7.51;0.02;2.81;0.19;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;-3.48;-0.54;1.18;0.00;2.70;0.19;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;-3.46;-0.12;0.94;0.00;3.43;0.42;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;-3.43;0.47;0.62;0.00;4.18;0.23;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;-2.79;0.38;-5.72;-0.01;4.06;0.23;Beam | 3 - HEA 140 | L : 1.650 m
1;192;;0.795;;-2.76;0.68;-5.98;-0.01;-0.59;-0.20;Beam | 3 - HEA 140 | L : 1.650 m
1;192;;0.825;;-2.76;0.69;-6.00;-0.01;-0.77;-0.22;Beam | 3 - HEA 140 | L : 1.650 m
1;192;;0.825;;-2.76;0.69;-6.00;-0.01;-0.77;-0.22;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;-2.74;0.82;-6.30;-0.01;-5.85;-0.86;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;-2.35;0.67;-10.34;-0.04;-5.92;-0.86;Beam | 3 - HEA 140 | L : 0.150 m
1;193;;0.075;;-2.35;0.67;-10.37;-0.04;-6.69;-0.91;Beam | 3 - HEA 140 | L : 0.150 m
1;193;;0.075;;-2.35;0.67;-10.37;-0.04;-6.69;-0.91;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;-2.35;0.68;-10.39;-0.04;-7.47;-0.97;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;-2.44;-0.95;10.50;0.06;-8.00;-1.01;Beam | 3 - HEA 140 | L : 0.150 m
1;4;;0.075;;-2.44;-0.94;10.47;0.06;-7.21;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
1;4;;0.075;;-2.44;-0.94;10.47;0.06;-7.21;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;-2.44;-0.93;10.45;0.06;-6.43;-0.86;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;-2.83;-1.12;6.60;0.03;-6.36;-0.86;Beam | 3 - HEA 140 | L : 1.650 m
1;194;;0.825;;-2.84;-0.90;6.33;0.03;-1.02;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;194;;0.825;;-2.84;-0.90;6.33;0.03;-1.02;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;-2.88;-0.39;6.05;0.03;4.08;0.55;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;-3.52;-0.63;-0.31;-0.01;4.20;0.55;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.825;;-3.54;0.15;-0.60;0.00;3.83;0.77;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.825;;-3.54;0.15;-0.60;0.00;3.83;0.77;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;-3.55;0.30;-0.65;0.00;3.74;0.74;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;-3.57;0.99;-0.88;0.00;3.21;0.29;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;-4.19;0.78;-7.24;-0.03;3.33;0.29;Beam | 3 - HEA 140 | L : 1.575 m
1;196;;0.496;;-4.21;1.14;-7.41;-0.03;-0.30;-0.19;Beam | 3 - HEA 140 | L : 1.575 m
1;196;;0.787;;-4.22;1.29;-7.51;-0.04;-2.48;-0.55;Beam | 3 - HEA 140 | L : 1.575 m
1;196;;0.787;;-4.22;1.29;-7.51;-0.04;-2.48;-0.55;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;-4.26;1.48;-7.75;-0.03;-8.48;-1.69;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;-2.18;-0.36;14.02;0.29;-9.19;-1.78;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;-2.17;-0.34;14.01;0.29;-8.67;-1.75;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;-2.17;-0.34;14.01;0.29;-8.67;-1.75;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;-2.17;-0.32;14.00;0.29;-8.15;-1.72;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;-2.81;-1.64;7.65;0.05;-8.03;-1.72;Beam | 3 - HEA 140 | L : 1.650 m
1;197;;0.583;;-2.82;-1.51;7.47;0.05;-3.63;-0.77;Beam | 3 - HEA 140 | L : 1.650 m
1;197;;0.825;;-2.82;-1.42;7.39;0.05;-1.83;-0.41;Beam | 3 - HEA 140 | L : 1.650 m
1;197;;0.825;;-2.82;-1.42;7.39;0.05;-1.83;-0.41;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;-2.85;-0.92;7.11;0.05;4.15;0.56;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;-3.50;-1.23;0.76;0.01;4.27;0.56;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;-3.53;-0.48;0.47;0.01;4.78;1.28;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;-3.53;-0.48;0.47;0.01;4.78;1.28;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;-3.54;-0.24;0.39;0.01;4.87;1.36;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.290;;-3.55;0.04;0.30;0.01;4.95;1.38;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.490;;-3.55;0.28;0.22;0.01;5.01;1.35;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;-3.56;0.50;0.17;0.01;5.04;1.28;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;-4.18;-0.01;-6.19;-0.06;5.15;1.28;Beam | 3 - HEA 140 | L : 1.650 m
1;199;;0.645;;-4.19;0.69;-6.41;-0.06;1.08;1.06;Beam | 3 - HEA 140 | L : 1.650 m
1;199;;0.825;;-4.20;0.83;-6.48;-0.06;-0.08;0.92;Beam | 3 - HEA 140 | L : 1.650 m
1;199;;0.825;;-4.20;0.83;-6.48;-0.06;-0.08;0.92;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;-4.23;1.15;-6.74;-0.08;-5.54;0.05;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;190;141;0.000;N;1.08;0.15;-13.83;-0.17;-7.42;-0.92;Beam | 3 - HEA 140 | L : 0.075 m
1;196;5;1.575;N;-4.26;1.48;-7.75;-0.03;-8.48;-1.69;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;V_y;-4.26;1.48;-7.75;-0.03;-8.48;-1.69;Beam | 3 - HEA 140 | L : 1.575 m
1;197;153;0.000;V_y;-2.81;-1.64;7.65;0.05;-8.03;-1.72;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;-2.18;-0.36;14.02;0.29;-9.19;-1.78;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;1.08;0.17;-13.86;-0.17;-8.46;-0.94;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;-2.17;-0.32;14.00;0.29;-8.15;-1.72;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;1.08;0.15;-13.83;-0.17;-7.42;-0.92;Beam | 3 - HEA 140 | L : 0.075 m
1;2;139;1.650;M_y;-0.93;-0.07;6.26;0.03;5.43;0.64;Beam | 3 - HEA 140 | L : 1.650 m
1;3;3;0.000;M_y;-4.18;-0.86;8.02;0.02;-9.42;-0.94;Beam | 3 - HEA 140 | L : 1.575 m
1;198;;1.238;M_z;-3.54;-0.02;0.32;0.01;4.94;1.38;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_z;-2.18;-0.36;14.02;0.29;-9.19;-1.78;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;;1.08;1.48;14.02;0.29;5.43;1.38;
1;;;;;-4.26;-1.64;-13.86;-0.17;-9.42;-1.78;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-73.27;0.01;80.36;0.00;-264.68;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-72.82;0.01;78.59;0.00;-133.51;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-71.62;0.01;65.92;0.00;-133.97;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-71.35;0.01;64.00;0.00;-26.75;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-70.17;0.00;51.33;0.00;-27.21;-0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-69.99;0.00;49.31;0.00;55.84;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-68.80;0.02;36.64;0.01;55.38;-0.02;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-68.80;0.02;36.55;0.01;58.12;-0.02;Beam | 1 - IPE 500 | L : 0.075 m
