Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;-1.34;0.00;4.74;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;-1.30;0.00;4.33;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;-0.86;0.00;-0.05;0.00;3.62;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;-0.82;0.00;-0.45;0.00;3.20;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;-0.38;0.00;-4.83;0.00;3.12;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;-0.34;0.00;-5.24;0.00;-5.19;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;0.10;0.00;-9.62;0.00;-5.27;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;0.10;0.00;-9.64;0.00;-5.99;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;-2.05;0.00;5.16;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;-1.62;0.00;0.78;0.00;1.96;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;-1.58;0.00;0.37;0.00;2.90;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;-1.14;0.00;-4.01;0.00;2.82;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;-1.10;0.00;-4.42;0.00;-4.13;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;-0.83;0.00;-7.07;0.00;-4.18;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;-0.83;0.00;-7.11;0.00;-5.24;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;-0.16;0.00;7.20;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;-0.42;0.00;4.54;0.00;-4.35;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;-0.46;0.00;4.14;0.00;2.82;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;-0.90;0.00;-0.24;0.00;2.90;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;-0.94;0.00;-0.65;0.00;2.17;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;-1.38;0.00;-5.03;0.00;2.25;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;-1.42;0.00;-5.41;0.00;-5.98;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;-0.34;0.00;5.39;0.00;-5.65;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;-0.37;0.00;4.99;0.00;2.92;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;-0.82;0.00;0.61;0.00;3.00;0.00;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;-0.86;0.00;0.20;0.00;3.67;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;-1.29;0.00;-4.18;0.00;3.75;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;-1.33;0.00;-4.58;0.00;-3.48;0.00;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;5;153;0.075;N;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
1;199;151;0.000;V_y;-1.29;0.00;-4.18;0.00;3.75;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;V_y;-1.30;0.00;4.33;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;0.10;0.00;-9.64;0.00;-5.99;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;199;;0.206;M_T;-1.30;0.00;-4.23;0.00;2.88;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;2;;1.444;M_T;-1.30;0.00;4.39;0.00;2.80;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;M_y;-1.29;0.00;-4.18;0.00;3.75;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_z;-1.29;0.00;-4.18;0.00;3.75;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;4;4;0.000;M_z;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;;0.10;0.00;9.79;0.00;3.75;0.01;
1;;;;;-2.10;0.00;-9.64;0.00;-6.46;-0.01;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-50.45;-0.01;55.28;0.00;-175.83;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-50.19;-0.01;53.90;0.00;-85.73;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-49.34;-0.01;45.14;0.00;-86.05;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-49.16;-0.01;43.69;0.00;-12.75;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-48.33;-0.01;34.92;0.00;-13.07;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-48.19;-0.01;33.42;0.00;43.33;0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-47.36;0.00;24.66;0.00;43.00;0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-47.35;0.00;24.59;0.00;44.85;0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-47.46;0.00;23.74;0.00;44.85;0.01;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-47.34;0.00;22.27;0.00;81.09;0.01;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-46.50;0.00;13.51;0.00;80.77;0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-46.37;0.00;11.95;0.00;101.77;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-45.51;0.01;3.19;0.00;101.45;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-45.37;0.01;1.62;0.00;105.41;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-44.84;0.01;-3.69;0.00;105.22;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-44.82;0.01;-3.84;0.00;104.65;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-44.80;-0.01;4.10;0.00;104.65;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-44.81;-0.01;3.96;0.00;105.26;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-45.34;-0.01;-1.35;0.00;105.19;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-45.48;-0.01;-2.92;0.00;101.66;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-46.34;0.00;-11.68;0.00;101.55;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-46.47;0.00;-13.24;0.00;80.98;0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-47.32;0.00;-22.00;0.00;80.87;0.01;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-47.43;0.00;-23.47;0.00;45.05;0.01;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-47.32;0.00;-24.32;0.00;45.05;0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-47.33;0.00;-24.39;0.00;43.22;0.01;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-48.17;0.01;-33.15;0.00;43.11;0.01;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-48.30;0.01;-34.65;0.00;-12.85;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-49.14;0.01;-43.42;0.00;-12.96;0.00;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-49.32;0.01;-44.87;0.00;-85.82;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-50.16;0.01;-53.63;0.00;-85.94;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-50.42;0.01;-55.02;0.00;-175.60;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;13;14;0.000;N;-44.80;-0.01;4.10;0.00;104.65;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;11;12;0.000;N;-50.45;-0.01;55.28;0.00;-175.83;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;V_y;-50.42;0.01;-55.02;0.00;-175.60;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;11;12;0.000;V_y;-50.45;-0.01;55.28;0.00;-175.83;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;11;12;0.000;V_z;-50.45;-0.01;55.28;0.00;-175.83;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;V_z;-50.42;0.01;-55.02;0.00;-175.60;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;M_T;-44.84;0.01;-3.69;0.00;105.22;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;M_T;-44.81;-0.01;3.96;0.00;105.26;-0.02;Beam | 1 - IPE 500 | L : 0.150 m
2;166;117;1.650;M_y;-45.37;0.01;1.62;0.00;105.41;-0.02;Beam | 1 - IPE 500 | L : 1.650 m
2;11;12;0.000;M_y;-50.45;-0.01;55.28;0.00;-175.83;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
2;170;15;1.575;M_z;-47.43;0.00;-23.47;0.00;45.05;0.01;Beam | 1 - IPE 500 | L : 1.575 m
2;11;12;0.000;M_z;-50.45;-0.01;55.28;0.00;-175.83;-0.04;Beam | 1 - IPE 500 | L : 1.650 m
Total;;;;;-44.80;0.01;55.28;0.00;105.41;0.01;
